,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,請各單位在一月十四號中午之前提供獎勵事由回覆計管組報告完畢,請各單位在一月十四號呃中午之前提供假意是由回復計管組報告完畢,請各單位在一月十四號的中午之前提供資料事由那個主有組報告完畢,"[['呃', '的', 10, 11], ['假', '資', 17, 18], ['意', '料', 18, 19], ['是', '事', 19, 20], ['回', '那', 21, 22], ['復', '個', 22, 23], ['計', '主', 23, 24], ['管', '有', 24, 25]]",0.1724137931034483,0.2413793103448276
1,那重點是在固定式起重機升降機壓力容器及高壓氣體鋼瓶等,那重點是在固定死起中機新講積壓力用請及高壓請去剛評備,那尤點是在今週式號線的上機的極使測器做性案機片做測長,"[['重', '尤', 1, 2], ['固', '今', 5, 6], ['定', '週', 6, 7], ['死', '式', 7, 8], ['起', '號', 8, 9], ['中', '線', 9, 10], ['機', '的', 10, 11], ['新', '上', 11, 12], ['講', '機', 12, 13], ['積', '的', 13, 14], ['壓', '極', 14, 15], ['力', '使', 15, 16], ['用', '測', 16, 17], ['請', '器', 17, 18], ['及', '做', 18, 19], ['高', '性', 19, 20], ['壓', '案', 20, 21], ['請', '機', 21, 22], ['去', '片', 22, 23], ['剛', '做', 23, 24], ['評', '測', 24, 25], ['備', '長', 25, 26]]",0.4615384615384616,0.7692307692307693
2,受到管制禁止停車那請宣導同仁要配合而且要注意,受到管室盡止停冊那請宣導同仁要配合那且要注意,到主管制規制管訪那請宣導同仁要配合而且要注意,"[['受', '到', 0, 1], ['到', '主', 1, 2], ['室', '制', 3, 4], ['盡', '規', 4, 5], ['止', '制', 5, 6], ['停', '管', 6, 7], ['冊', '訪', 7, 8], ['那', '而', 17, 18]]",0.18181818181818185,0.2727272727272727
3,一請各單位在一月二十八號前中午完成一月份的報工,第一請各單位在一月八號前中午完成業份的報工,所一請各單位在一月八號前中午完成一項的檢核,"[['第', '所', 0, 1], ['業', '一', 16, 17], ['份', '項', 17, 18], ['報', '檢', 19, 20], ['工', '核', 20, 21]]",0.21739130434782608,0.30434782608695654
4,進行用戶接管的民挖作業那施工期間,進行用部呃結管林外作業那時光期間,進意接面派除的委用就業那施段計畫,"[['行', '意', 1, 2], ['用', '接', 2, 3], ['部', '面', 3, 4], ['呃', '派', 4, 5], ['結', '除', 5, 6], ['管', '的', 6, 7], ['林', '委', 7, 8], ['外', '用', 8, 9], ['作', '就', 9, 10], ['時', '施', 12, 13], ['光', '段', 13, 14], ['期', '計', 14, 15], ['間', '畫', 15, 16]]",0.5,0.6875
5,好先行檢查那第二件事是本院那個廢污水的接,阿先行檢查那第二件事是喔本院那個備屋水,好先行檢查那第二件事是在本院那個分工的,"[['阿', '好', 0, 1], ['喔', '在', 11, 12], ['備', '分', 16, 17], ['屋', '工', 17, 18], ['水', '的', 18, 19]]",0.3,0.25
6,遙控組簡組長資材在資材組上線然後全員到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,遙控組簡組長資材在資材組上線那全組到齊報告完畢,"[['然', '那', 14, 15], ['後', '全', 15, 16], ['全', '組', 16, 17]]",0.041666666666666664,0.125
7,呃院長室簽擬簽結的二級副主官以上長官的工作獎金,院長示簽以春節的二級副主管以上長官的工作獎金,呃旨也簽發簽結前那弟副主正以上長官的工作獎金,"[['院', '呃', 0, 1], ['長', '旨', 1, 2], ['示', '也', 2, 3], ['以', '發', 4, 5], ['春', '簽', 5, 6], ['節', '結', 6, 7], ['的', '前', 7, 8], ['二', '那', 8, 9], ['級', '弟', 9, 10], ['管', '正', 12, 13]]",0.2608695652173913,0.34782608695652173
8,一是一月十五及十六就是明後兩天院部工安室要到,一是一月十五即時六就行民後兩天令部工安室要到,一是一月十五及十差就是明後兩司院部工安室要到,"[['即', '及', 6, 7], ['時', '十', 7, 8], ['六', '差', 8, 9], ['行', '是', 10, 11], ['民', '明', 11, 12], ['天', '司', 14, 15], ['令', '院', 15, 16]]",0.2272727272727273,0.09090909090909091
9,今天也會到那個遙導控組天齊及資材組等單位,今天也會到那個遙導控組織實及指材組簡單位,今天也會到那個遙控會組真以及水材組等組長,"[['導', '控', 8, 9], ['控', '會', 9, 10], ['織', '真', 11, 12], ['實', '以', 12, 13], ['指', '水', 14, 15], ['簡', '等', 17, 18], ['單', '組', 18, 19], ['位', '長', 19, 20]]",0.2,0.35
10,本所來執行本年度第一季的作業安全督檢,本所來執行本年度必一記的阿這業安全督件,本所來執行那個防第年季的作用業務檢督檢,"[['本', '那', 5, 6], ['年', '個', 6, 7], ['度', '防', 7, 8], ['必', '第', 8, 9], ['一', '年', 9, 10], ['記', '季', 10, 11], ['阿', '作', 12, 13], ['這', '用', 13, 14], ['安', '務', 15, 16], ['全', '檢', 16, 17], ['件', '檢', 18, 19]]",0.2777777777777778,0.3888888888888889
11,那第二件事是那個本院的廢污水的接管工程,那第二件事謝個本院的費屋室的提管工程,那第二件事情是本院的智控處的接新會議,"[['謝', '情', 5, 6], ['個', '是', 6, 7], ['費', '智', 10, 11], ['屋', '控', 11, 12], ['室', '處', 12, 13], ['提', '接', 14, 15], ['管', '新', 15, 16], ['工', '會', 16, 17], ['程', '議', 17, 18]]",0.3157894736842105,0.47368421052631576
12,及參與人員以利報工及加班的申請作業,及參與人員以利報公及加班的申請作業,及參與人員以利報工及加班的申請作業,"[['公', '工', 8, 9]]",0.05882352941176471,0.0
13,好從今天開始大概有兩三星期的時間會在,那從今天開始大概有兩三個星期時間會在,那從今天開始大概有兩三個星期時間會在,[],0.16666666666666666,0.16666666666666666
14,電子所三零七三零九還有本所三一零館,呃電子所三零七三零九還有本所三一名館,呃電子所三三七三零六還有本所三一零的,"[['零', '三', 5, 6], ['九', '六', 9, 10], ['名', '零', 16, 17], ['館', '的', 17, 18]]",0.1176470588235294,0.23529411764705882
15,所長各位長官早工安組幾件事情提報,把所長各位長官早工安組阿幾件事性提報,呃所長各位長官早工安組有幾件事情提報,"[['把', '呃', 0, 1], ['阿', '有', 11, 12], ['性', '情', 15, 16]]",0.1875,0.125
16,承辦單位報告上次無管辦事項報告完畢,承辦單位報告上次無管辦事項報告完畢,承辦單位報告上次無管辦事項報告完畢,[],0.0,0.0
