,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,請各單位在一月十四號中午之前提供獎勵事由回覆計管組報告完畢,請各單位在一月十四號呃中午之前提供假意是由回復計管組報告完畢,請各單位在一月十四號的中午之前提供供意表給所批的以長報告完畢,"[['呃', '的', 10, 11], ['假', '供', 17, 18], ['是', '表', 19, 20], ['由', '給', 20, 21], ['回', '所', 21, 22], ['復', '批', 22, 23], ['計', '的', 23, 24], ['管', '以', 24, 25], ['組', '長', 25, 26]]",0.1724137931034483,0.3448275862068966
1,那重點是在固定式起重機升降機壓力容器及高壓氣體鋼瓶等,那重點是在固定死起中機新講積壓力用請及高壓請去剛評備,那續期是配固各式各電處進行載體生產並以衝式電體做完備,"[['重', '續', 1, 2], ['點', '期', 2, 3], ['在', '配', 4, 5], ['定', '各', 6, 7], ['死', '式', 7, 8], ['起', '各', 8, 9], ['中', '電', 9, 10], ['機', '處', 10, 11], ['新', '進', 11, 12], ['講', '行', 12, 13], ['積', '載', 13, 14], ['壓', '體', 14, 15], ['力', '生', 15, 16], ['用', '產', 16, 17], ['請', '並', 17, 18], ['及', '以', 18, 19], ['高', '衝', 19, 20], ['壓', '式', 20, 21], ['請', '電', 21, 22], ['去', '體', 22, 23], ['剛', '做', 23, 24], ['評', '完', 24, 25]]",0.4615384615384616,0.8076923076923077
2,受到管制禁止停車那請宣導同仁要配合而且要注意,受到管室盡止停冊那請宣導同仁要配合那且要注意,受到管制禁止停離那請宣導同仁要配合而且要注意,"[['室', '制', 3, 4], ['盡', '禁', 4, 5], ['冊', '離', 7, 8], ['那', '而', 17, 18]]",0.18181818181818185,0.045454545454545456
3,一請各單位在一月二十八號前中午完成一月份的報工,第一請各單位在一月八號前中午完成業份的報工,所一請各單位在一月八號前中午完成佐工的報工,"[['第', '所', 0, 1], ['業', '佐', 16, 17], ['份', '工', 17, 18]]",0.21739130434782608,0.2608695652173913
4,進行用戶接管的民挖作業那施工期間,進行用部呃結管林外作業那時光期間,進行裝續的配那另外配案那整防部了,"[['用', '裝', 2, 3], ['部', '續', 3, 4], ['呃', '的', 4, 5], ['結', '配', 5, 6], ['管', '那', 6, 7], ['林', '另', 7, 8], ['作', '配', 9, 10], ['業', '案', 10, 11], ['時', '整', 12, 13], ['光', '防', 13, 14], ['期', '部', 14, 15], ['間', '了', 15, 16]]",0.5,0.8125
5,好先行檢查那第二件事是本院那個廢污水的接,阿先行檢查那第二件事是喔本院那個備屋水,好先行檢查那第二件事是那本院那個新量處,"[['阿', '好', 0, 1], ['喔', '那', 11, 12], ['備', '新', 16, 17], ['屋', '量', 17, 18], ['水', '處', 18, 19]]",0.3,0.3
6,遙控組簡組長資材在資材組上線然後全員到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,[],0.041666666666666664,0.041666666666666664
7,呃院長室簽擬簽結的二級副主官以上長官的工作獎金,院長示簽以春節的二級副主管以上長官的工作獎金,院長室簽擬簽結的二級副主官以上長官的工作獎金,"[['示', '室', 2, 3], ['以', '擬', 4, 5], ['春', '簽', 5, 6], ['節', '結', 6, 7], ['管', '官', 12, 13]]",0.2608695652173913,0.043478260869565216
8,一是一月十五及十六就是明後兩天院部工安室要到,一是一月十五即時六就行民後兩天令部工安室要到,一是一月十五十十也就是明後兩天院部工行室要到,"[['即', '十', 6, 7], ['時', '十', 7, 8], ['六', '也', 8, 9], ['行', '是', 10, 11], ['民', '明', 11, 12], ['令', '院', 15, 16], ['安', '行', 18, 19]]",0.2272727272727273,0.13636363636363635
9,今天也會到那個遙導控組天齊及資材組等單位,今天也會到那個遙導控組織實及指材組簡單位,今天也會到那個遙遙控組組長及資材組簡組長,"[['導', '遙', 8, 9], ['織', '組', 11, 12], ['實', '長', 12, 13], ['指', '資', 14, 15], ['單', '組', 18, 19], ['位', '長', 19, 20]]",0.2,0.3
10,本所來執行本年度第一季的作業安全督檢,本所來執行本年度必一記的阿這業安全督件,本所來執行本年度第一季的工作業安全督檢,"[['必', '第', 8, 9], ['記', '季', 10, 11], ['阿', '工', 12, 13], ['這', '作', 13, 14], ['件', '檢', 18, 19]]",0.2777777777777778,0.05555555555555555
11,那第二件事是那個本院的廢污水的接管工程,那第二件事謝個本院的費屋室的提管工程,那第二件事那個本院的廢污案的解修案程,"[['謝', '那', 5, 6], ['費', '廢', 10, 11], ['屋', '污', 11, 12], ['室', '案', 12, 13], ['提', '解', 14, 15], ['管', '修', 15, 16], ['工', '案', 16, 17]]",0.3157894736842105,0.2631578947368421
12,及參與人員以利報工及加班的申請作業,及參與人員以利報公及加班的申請作業,及參與人員以利報工及加班的申請作業,"[['公', '工', 8, 9]]",0.05882352941176471,0.0
13,好從今天開始大概有兩三星期的時間會在,那從今天開始大概有兩三個星期時間會在,那從今天開始大概有兩三個星期時間會在,[],0.16666666666666666,0.16666666666666666
14,電子所三零七三零九還有本所三一零館,呃電子所三零七三零九還有本所三一名館,呃電子所三零七三三組還有本所三一零館,"[['零', '三', 8, 9], ['九', '組', 9, 10], ['名', '零', 16, 17]]",0.1176470588235294,0.17647058823529413
