,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,請各單位在一月十四號中午之前提供獎勵事由回覆計管組報告完畢,請各單位在一月十四號呃中午之前提供假意是由回復計管組報告完畢,請各位單在月一號四十呃午中前之供提勵獎事由覆回組次本告報畢完,"[['假', '獎', 10, 11], ['是', '事', 11, 12], ['意', '勵', 11, 12], ['計', '本', 14, 15], ['復', '覆', 14, 15], ['管', '次', 15, 16]]",0.1724137931034483,0.6206896551724138
1,那重點是在固定式起重機升降機壓力容器及高壓氣體鋼瓶等,那重點是在固定死起中機新講積壓力用請及高壓請去剛評備,那點重是在動展電子器階新硬增能體及量及動時加態速案執,"[['固', '展', 4, 5], ['死', '電', 5, 6], ['定', '動', 5, 6], ['起', '子', 6, 7], ['中', '階', 7, 8], ['機', '器', 8, 9], ['講', '增', 9, 10], ['壓', '體', 10, 11], ['積', '硬', 10, 11], ['用', '量', 11, 12], ['力', '能', 11, 12], ['請', '及', 12, 13], ['高', '時', 13, 14], ['請', '態', 14, 15], ['壓', '動', 14, 15], ['剛', '速', 15, 16], ['去', '加', 15, 16], ['評', '執', 16, 17], ['備', '案', 17, 18]]",0.4615384615384616,0.8461538461538461
2,受到管制禁止停車那請宣導同仁要配合而且要注意,受到管室盡止停冊那請宣導同仁要配合那且要注意,到或警管止管線停那請導宣仁同要合配而且要意注,"[['受', '或', 0, 1], ['盡', '管', 2, 3], ['室', '警', 2, 3], ['冊', '線', 4, 5], ['那', '而', 10, 11]]",0.18181818181818185,0.6363636363636364
3,一請各單位在一月二十八號前中午完成一月份的報工,第一請各單位在一月八號前中午完成業份的報工,以一請各位單在月一號八前午中成完工全的工簽,"[['第', '一', 0, 1], ['一', '以', 1, 2], ['業', '全', 10, 11], ['份', '工', 11, 12], ['報', '簽', 12, 13]]",0.21739130434782608,0.6086956521739131
4,進行用戶接管的民挖作業那施工期間,進行用部呃結管林外作業那時光期間,行還些火件配零的外業購那所請證部,"[['進', '還', 0, 1], ['用', '火', 1, 2], ['呃', '零', 2, 3], ['部', '些', 2, 3], ['林', '的', 3, 4], ['結', '配', 3, 4], ['管', '件', 4, 5], ['作', '購', 5, 6], ['時', '請', 7, 8], ['期', '部', 8, 9], ['光', '所', 8, 9], ['間', '證', 9, 10]]",0.5,0.875
5,好先行檢查那第二件事是本院那個廢污水的接,阿先行檢查那第二件事是喔本院那個備屋水,行先系查檢那二第件事是喔關本那個喔財水,"[['阿', '系', 0, 1], ['院', '關', 9, 10], ['備', '水', 11, 12], ['屋', '財', 12, 13], ['水', '喔', 13, 14]]",0.3,0.65
6,遙控組簡組長資材在資材組上線然後全員到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,組控遙簡長組材資在組材資線上後然到齊員告報畢完,"[['全', '到', 8, 9], ['到', '員', 9, 10]]",0.041666666666666664,0.5833333333333334
7,呃院長室簽擬簽結的二級副主官以上長官的工作獎金,院長示簽以春節的二級副主管以上長官的工作獎金,長院簽室擬結簽的級二及八副上以官長的作工金獎,"[['示', '室', 1, 2], ['以', '擬', 2, 3], ['春', '簽', 3, 4], ['節', '結', 4, 5], ['主', '八', 7, 8], ['管', '及', 8, 9]]",0.2608695652173913,0.6521739130434783
8,一是一月十五及十六就是明後兩天院部工安室要到,一是一月十五即時六就行民後兩天令部工安室要到,一是月一五十十及六就是明後兩天個院室長處要到,"[['即', '及', 4, 5], ['時', '十', 5, 6], ['行', '是', 7, 8], ['民', '明', 8, 9], ['令', '院', 12, 13], ['工', '處', 13, 14], ['部', '個', 13, 14], ['安', '長', 14, 15]]",0.2272727272727273,0.4090909090909091
9,今天也會到那個遙導控組天齊及資材組等單位,今天也會到那個遙導控組織實及指材組簡單位,天今也會到那個材資遙請組那個材遙組簡長組,"[['導', '資', 7, 8], ['實', '那', 8, 9], ['織', '請', 8, 9], ['控', '材', 8, 9], ['及', '個', 9, 10], ['指', '遙', 10, 11], ['單', '組', 13, 14], ['位', '長', 14, 15]]",0.2,0.7
10,本所來執行本年度第一季的作業安全督檢,本所來執行本年度必一記的阿這業安全督件,本所來行執季年本的一個工業作作全安檢督,"[['必', '的', 5, 6], ['度', '季', 6, 7], ['記', '個', 7, 8], ['的', '工', 8, 9], ['阿', '作', 9, 10], ['這', '作', 10, 11], ['件', '檢', 12, 13]]",0.2777777777777778,0.6666666666666666
