,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,請各單位在一月十四號中午之前提供獎勵事由回覆計管組報告完畢,請各單位在一月十四號呃中午之前提供假意是由回復計管組報告完畢,請有但果在第月★###360360★四號◆◆◆##360午◆##360前###360360供◆##360意◆◆◆◆天天天天天天天天天,"[['各', '有', 1, 2], ['單', '但', 2, 3], ['位', '果', 3, 4], ['一', '第', 4, 5], ['十', '★★★', 5, 6], ['四', '##360', 6, 7], ['呃', '◆◆', 6, 7], ['號', '##360', 7, 8], ['中', '◆◆', 7, 8], ['午', '##360', 8, 9], ['之', '◆◆', 8, 9], ['前', '##360', 9, 10], ['提', '##360', 9, 10], ['供', '##360', 10, 11], ['假', '◆◆', 10, 11], ['意', '##360', 11, 12], ['是', '◆◆', 11, 12], ['由', '◆◆', 12, 13], ['回', '天', 13, 14], ['復', '天', 14, 15], ['計', '天', 14, 15], ['管', '天', 15, 16], ['報', '天', 15, 16], ['組', '天', 16, 17], ['告', '天', 16, 17], ['完', '天', 16, 17], ['畢', '天', 17, 18]]",0.1724137931034483,2.0
1,那重點是在固定式起重機升降機壓力容器及高壓氣體鋼瓶等,那重點是在固定死起中機新講積壓力用請及高壓請去剛評備,但如果高中気気◆◆◆◆3360°0°機◆◆◆◆◆積◆◆◆力◆##360請◆◆天天天天天天天,"[['那', '但', 0, 1], ['重', '如', 1, 2], ['點', '果', 2, 3], ['是', '高', 2, 3], ['在', '中', 3, 4], ['固', '気', 4, 5], ['定', '気', 5, 6], ['死', '◆◆', 5, 6], ['起', '◆◆', 6, 7], ['中', '360°', 7, 8], ['機', '360°', 8, 9], ['新', '◆◆', 8, 9], ['講', '◆◆', 9, 10], ['積', '◆◆', 10, 11], ['壓', '◆◆', 10, 11], ['力', '◆◆', 11, 12], ['用', '◆◆', 11, 12], ['請', '##360', 12, 13], ['及', '◆◆', 12, 13], ['高', '天', 13, 14], ['壓', '天', 14, 15], ['請', '天', 14, 15], ['去', '天', 15, 16], ['剛', '天', 15, 16], ['評', '天', 16, 17], ['備', '天', 17, 18]]",0.4615384615384616,1.6538461538461537
2,受到管制禁止停車那請宣導同仁要配合而且要注意,受到管室盡止停冊那請宣導同仁要配合那且要注意,如果如果如果◆##360冊◆◆◆◆3360°0°導3360°0°仁360°3360°0°合360°360°天天天,"[['受', '如', 0, 1], ['到', '果', 1, 2], ['管', '如', 1, 2], ['室', '果', 2, 3], ['盡', '如', 2, 3], ['止', '果', 3, 4], ['停', '◆◆', 3, 4], ['冊', '##360', 4, 5], ['那', '◆◆', 4, 5], ['請', '◆◆', 5, 6], ['宣', '360°', 6, 7], ['導', '360°', 7, 8], ['同', '360°', 7, 8], ['仁', '360°', 8, 9], ['要', '360°', 8, 9], ['配', '360°', 9, 10], ['合', '360°', 10, 11], ['那', '360°', 10, 11], ['且', '360°', 11, 12], ['要', '天', 12, 13], ['注', '天', 13, 14], ['意', '天', 14, 15]]",0.18181818181818185,2.409090909090909
3,一請各單位在一月二十八號前中午完成一月份的報工,第一請各單位在一月八號前中午完成業份的報工,另、請所小的◆◆◆##360月◆##360號◆◆◆天午天天天天天天天,"[['第', '另', 0, 1], ['一', '、', 1, 2], ['各', '所', 2, 3], ['單', '小', 3, 4], ['位', '的', 4, 5], ['在', '◆◆', 4, 5], ['一', '◆◆', 5, 6], ['月', '##360', 6, 7], ['八', '◆◆', 6, 7], ['號', '##360', 7, 8], ['前', '◆◆', 7, 8], ['中', '◆◆', 8, 9], ['午', '天', 9, 10], ['完', '天', 9, 10], ['成', '天', 10, 11], ['業', '天', 10, 11], ['份', '天', 11, 12], ['的', '天', 11, 12], ['報', '天', 12, 13], ['工', '天', 13, 14]]",0.21739130434782608,1.3478260869565217
4,進行用戶接管的民挖作業那施工期間,進行用部呃結管林外作業那時光期間,林業お年◆###360360結管◆◆ても◆##360業◆◆3##◆◆0°光310°間,"[['進', '林', 0, 1], ['行', '業', 1, 2], ['用', 'お', 1, 2], ['部', '年', 2, 3], ['呃', '◆◆', 2, 3], ['結', '##360', 3, 4], ['林', '◆◆', 3, 4], ['管', '##360', 4, 5], ['外', 'ても', 4, 5], ['作', '◆◆', 5, 6], ['業', '##360', 6, 7], ['那', '◆◆', 6, 7], ['時', '360°', 7, 8], ['光', '##◆◆', 8, 9], ['期', '360°', 8, 9], ['間', '1', 9, 10]]",0.5,2.4375
5,好先行檢查那第二件事是本院那個廢污水的接,阿先行檢查那第二件事是喔本院那個備屋水,第果去[[UNK]NK]查ても◆##360二◆◆◆◆◆◆◆◆◆◆◆院天天天天天,"[['阿', '第', 0, 1], ['先', '果', 1, 2], ['檢', '[UNK]', 1, 2], ['行', '去', 2, 3], ['查', '[UNK]', 2, 3], ['那', 'ても', 2, 3], ['第', '◆◆', 3, 4], ['二', '##360', 4, 5], ['件', '◆◆', 4, 5], ['事', '◆◆', 5, 6], ['是', '◆◆', 6, 7], ['喔', '◆◆', 7, 8], ['本', '◆◆', 8, 9], ['院', '◆◆', 9, 10], ['那', '天', 9, 10], ['個', '天', 10, 11], ['備', '天', 11, 12], ['屋', '天', 12, 13], ['水', '天', 13, 14]]",0.3,1.85
6,遙控組簡組長資材在資材組上線然後全員到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,資後組資每後てても材◆◆◆#◆◆360材組◆◆◆線◆◆◆後◆◆天天天天天天,"[['遙', '資', 0, 1], ['控', '後', 1, 2], ['簡', '資', 1, 2], ['組', '每', 2, 3], ['長', '後', 3, 4], ['資', 'ても', 3, 4], ['材', 'ても', 4, 5], ['在', '◆◆', 4, 5], ['資', '◆◆', 5, 6], ['材', '##360', 6, 7], ['上', '◆◆', 6, 7], ['組', '◆◆', 7, 8], ['線', '◆◆', 7, 8], ['然', '◆◆', 7, 8], ['後', '◆◆', 8, 9], ['全', '◆◆', 8, 9], ['到', '天', 9, 10], ['齊', '天', 10, 11], ['報', '天', 10, 11], ['告', '天', 11, 12], ['完', '天', 11, 12], ['畢', '天', 12, 13]]",0.041666666666666664,1.2916666666666667
7,呃院長室簽擬簽結的二級副主官以上長官的工作獎金,院長示簽以春節的二級副主管以上長官的工作獎金,並表每年以由[た★##360★★★級◆###360360主管###360360上天天天天天天天,"[['院', '並', 0, 1], ['長', '表', 1, 2], ['示', '每', 1, 2], ['簽', '年', 2, 3], ['春', '由', 3, 4], ['節', '[', 4, 5], ['的', 'た', 4, 5], ['二', '★★★★★', 5, 6], ['級', '##360', 6, 7], ['副', '◆◆', 6, 7], ['主', '##360', 7, 8], ['以', '##360', 7, 8], ['管', '##360', 8, 9], ['上', '##360', 8, 9], ['長', '天', 8, 9], ['官', '天', 9, 10], ['的', '天', 9, 10], ['工', '天', 10, 11], ['作', '天', 11, 12], ['獎', '天', 11, 12], ['金', '天', 12, 13]]",0.2608695652173913,1.9130434782608696
8,一是一月十五及十六就是明後兩天院部工安室要到,一是一月十五即時六就行民後兩天令部工安室要到,就農一後民民◆##360時◆◆◆◆◆◆◆◆◆◆◆◆天3天0°部天天天天天,"[['一', '就', 0, 1], ['是', '農', 1, 2], ['月', '後', 3, 4], ['十', '民', 3, 4], ['五', '民', 4, 5], ['即', '◆◆', 4, 5], ['時', '##360', 5, 6], ['六', '◆◆', 5, 6], ['就', '◆◆', 6, 7], ['行', '◆◆', 7, 8], ['民', '◆◆', 8, 9], ['後', '◆◆', 9, 10], ['兩', '◆◆', 10, 11], ['令', '360°', 12, 13], ['部', '天', 13, 14], ['工', '天', 13, 14], ['安', '天', 14, 15], ['要', '天', 14, 15], ['室', '天', 15, 16], ['到', '天', 15, 16]]",0.2272727272727273,1.5
9,今天也會到那個遙導控組天齊及資材組等單位,今天也會到那個遙導控組織實及指材組簡單位,同時然我formг◆◆◆###360360導控###360360織##360##360天天天天天天,"[['今', '同', 0, 1], ['天', '時', 1, 2], ['也', '然', 1, 2], ['會', '我', 2, 3], ['到', 'form', 3, 4], ['那', 'г', 4, 5], ['個', '◆◆', 5, 6], ['遙', '◆◆', 6, 7], ['導', '##360', 7, 8], ['組', '##360', 7, 8], ['控', '##360', 8, 9], ['織', '##360', 8, 9], ['實', '##360', 8, 9], ['及', '##360', 9, 10], ['指', '天', 10, 11], ['材', '天', 11, 12], ['組', '天', 11, 12], ['簡', '天', 12, 13], ['單', '天', 13, 14], ['位', '天', 14, 15]]",0.2,2.35
