,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,請各單位在一月十四號中午之前提供獎勵事由回覆計管組報告完畢,請各單位在一月十四號呃中午之前提供假意是由回復計管組報告完畢,請各單位在一月十四號的中午之前提供獎勵事由回復計管組報告完畢,"[['呃', '的', 10, 11], ['假', '獎', 17, 18], ['意', '勵', 18, 19], ['是', '事', 19, 20]]",0.1724137931034483,0.06896551724137931
1,那重點是在固定式起重機升降機壓力容器及高壓氣體鋼瓶等,那重點是在固定死起中機新講積壓力用請及高壓請去剛評備,那重點是在固定資產上的專案相極的資料請加速投資做準備,"[['死', '資', 7, 8], ['起', '產', 8, 9], ['中', '上', 9, 10], ['機', '的', 10, 11], ['新', '專', 11, 12], ['講', '案', 12, 13], ['積', '相', 13, 14], ['壓', '極', 14, 15], ['力', '的', 15, 16], ['用', '資', 16, 17], ['請', '料', 17, 18], ['及', '請', 18, 19], ['高', '加', 19, 20], ['壓', '速', 20, 21], ['請', '投', 21, 22], ['去', '資', 22, 23], ['剛', '做', 23, 24], ['評', '準', 24, 25]]",0.4615384615384616,0.7307692307692307
2,受到管制禁止停車那請宣導同仁要配合而且要注意,受到管室盡止停冊那請宣導同仁要配合那且要注意,受到管制禁止停車那請宣導同仁要配合而且要注意,"[['室', '制', 3, 4], ['盡', '禁', 4, 5], ['冊', '車', 7, 8], ['那', '而', 17, 18]]",0.18181818181818185,0.0
3,一請各單位在一月二十八號前中午完成一月份的報工,第一請各單位在一月八號前中午完成業份的報工,第一請各單位在一月八號前中午完成報工的報工,"[['業', '報', 16, 17], ['份', '工', 17, 18]]",0.21739130434782608,0.2608695652173913
4,進行用戶接管的民挖作業那施工期間,進行用部呃結管林外作業那時光期間,進行調書研結轉證的作業那這段期間,"[['用', '調', 2, 3], ['部', '書', 3, 4], ['呃', '研', 4, 5], ['管', '轉', 6, 7], ['林', '證', 7, 8], ['外', '的', 8, 9], ['時', '這', 12, 13], ['光', '段', 13, 14]]",0.5,0.5625
5,好先行檢查那第二件事是本院那個廢污水的接,阿先行檢查那第二件事是喔本院那個備屋水,好先行檢查那第二件事是跟本院那個結案的,"[['阿', '好', 0, 1], ['喔', '跟', 11, 12], ['備', '結', 16, 17], ['屋', '案', 17, 18], ['水', '的', 18, 19]]",0.3,0.25
6,遙控組簡組長資材在資材組上線然後全員到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,[],0.041666666666666664,0.041666666666666664
7,呃院長室簽擬簽結的二級副主官以上長官的工作獎金,院長示簽以春節的二級副主管以上長官的工作獎金,院長要求各本院的二級副主管以上長官的工作獎金,"[['示', '要', 2, 3], ['簽', '求', 3, 4], ['以', '各', 4, 5], ['春', '本', 5, 6], ['節', '院', 6, 7]]",0.2608695652173913,0.30434782608695654
8,一是一月十五及十六就是明後兩天院部工安室要到,一是一月十五即時六就行民後兩天令部工安室要到,一是一月十五及十也就是明後兩天院部工安室要到,"[['即', '及', 6, 7], ['時', '十', 7, 8], ['六', '也', 8, 9], ['行', '是', 10, 11], ['民', '明', 11, 12], ['令', '院', 15, 16]]",0.2272727272727273,0.045454545454545456
9,今天也會到那個遙導控組天齊及資材組等單位,今天也會到那個遙導控組織實及指材組簡單位,今天也會到那個遙導控組天齊及資材組等單位,"[['織', '天', 11, 12], ['實', '齊', 12, 13], ['指', '資', 14, 15], ['簡', '等', 17, 18]]",0.2,0.0
