,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,請各單位在一月十四號中午之前提供獎勵事由回覆計管組報告完畢,請各單位在一月十四號呃中午之前提供假意是由回復計管組報告完畢,請各單位在一月十四號呃中午之前提供正次事否我覆本次組報告完畢,"[['假', '正', 17, 18], ['意', '次', 18, 19], ['是', '事', 19, 20], ['由', '否', 20, 21], ['回', '我', 21, 22], ['復', '覆', 22, 23], ['計', '本', 23, 24], ['管', '次', 24, 25]]",0.1724137931034483,0.2413793103448276
1,那重點是在固定式起重機升降機壓力容器及高壓氣體鋼瓶等,那重點是在固定死起中機新講積壓力用請及高壓請去剛評備,那重點是在所所式資器位的增的極應量以用時個機體做執案,"[['固', '所', 5, 6], ['定', '所', 6, 7], ['死', '式', 7, 8], ['起', '資', 8, 9], ['中', '器', 9, 10], ['機', '位', 10, 11], ['新', '的', 11, 12], ['講', '增', 12, 13], ['積', '的', 13, 14], ['壓', '極', 14, 15], ['力', '應', 15, 16], ['用', '量', 16, 17], ['請', '以', 17, 18], ['及', '用', 18, 19], ['高', '時', 19, 20], ['壓', '個', 20, 21], ['請', '機', 21, 22], ['去', '體', 22, 23], ['剛', '做', 23, 24], ['評', '執', 24, 25], ['備', '案', 25, 26]]",0.4615384615384616,0.7307692307692307
2,受到管制禁止停車那請宣導同仁要配合而且要注意,受到管室盡止停冊那請宣導同仁要配合那且要注意,請指管制或到停線那請宣導同仁要配合而且要注意,"[['受', '請', 0, 1], ['到', '指', 1, 2], ['室', '制', 3, 4], ['盡', '或', 4, 5], ['止', '到', 5, 6], ['冊', '線', 7, 8], ['那', '而', 17, 18]]",0.18181818181818185,0.22727272727272727
3,一請各單位在一月二十八號前中午完成一月份的報工,第一請各單位在一月八號前中午完成業份的報工,所一請各單位在一月八號前中午完成驗工的簽工,"[['第', '所', 0, 1], ['業', '驗', 16, 17], ['份', '工', 17, 18], ['報', '簽', 19, 20]]",0.21739130434782608,0.30434782608695654
4,進行用戶接管的民挖作業那施工期間,進行用部呃結管林外作業那時光期間,呃軍結部修植的委的購業那施段部證,"[['進', '呃', 0, 1], ['行', '軍', 1, 2], ['用', '結', 2, 3], ['呃', '修', 4, 5], ['結', '植', 5, 6], ['管', '的', 6, 7], ['林', '委', 7, 8], ['外', '的', 8, 9], ['作', '購', 9, 10], ['時', '施', 12, 13], ['光', '段', 13, 14], ['期', '部', 14, 15], ['間', '證', 15, 16]]",0.5,0.75
5,好先行檢查那第二件事是本院那個廢污水的接,阿先行檢查那第二件事是喔本院那個備屋水,系先行檢查那第二件事是喔本院那個水財喔,"[['阿', '系', 0, 1], ['備', '水', 16, 17], ['屋', '財', 17, 18], ['水', '喔', 18, 19]]",0.3,0.3
6,遙控組簡組長資材在資材組上線然後全員到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,遙控組簡組長資材在資材組上線長全全員齊報告完畢,"[['然', '長', 14, 15], ['後', '全', 15, 16], ['到', '員', 17, 18]]",0.041666666666666664,0.125
7,呃院長室簽擬簽結的二級副主官以上長官的工作獎金,院長示簽以春節的二級副主管以上長官的工作獎金,呃簽也核以簽級的二級副八及以上長官的工作獎金,"[['院', '呃', 0, 1], ['長', '簽', 1, 2], ['示', '也', 2, 3], ['簽', '核', 3, 4], ['春', '簽', 5, 6], ['節', '級', 6, 7], ['主', '八', 11, 12], ['管', '及', 12, 13]]",0.2608695652173913,0.34782608695652173
8,一是一月十五及十六就是明後兩天院部工安室要到,一是一月十五即時六就行民後兩天令部工安室要到,一是一月十日及十前執是明後兩司院部處長室要到,"[['五', '日', 5, 6], ['即', '及', 6, 7], ['時', '十', 7, 8], ['六', '前', 8, 9], ['就', '執', 9, 10], ['行', '是', 10, 11], ['民', '明', 11, 12], ['天', '司', 14, 15], ['令', '院', 15, 16], ['工', '處', 17, 18], ['安', '長', 18, 19]]",0.2272727272727273,0.2727272727272727
9,今天也會到那個遙導控組天齊及資材組等單位,今天也會到那個遙導控組織實及指材組簡單位,今天也會到那個遙材控組天長及指材組等組長,"[['導', '材', 8, 9], ['織', '天', 11, 12], ['實', '長', 12, 13], ['簡', '等', 17, 18], ['單', '組', 18, 19], ['位', '長', 19, 20]]",0.2,0.25
