,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,請各單位在一月十四號中午之前提供獎勵事由回覆計管組報告完畢,請各單位在一月十四號呃中午之前提供假意是由回復計管組報告完畢,天天欠欠天天°063◆◆°063◆◆063##°063°063◆◆°063°063°063◆◆◆◆◆◆◆◆°063ㄟ的算中負告的畢,"[['請', '天', 0, 1], ['各', '天', 1, 2], ['單', '欠', 2, 3], ['位', '欠', 3, 4], ['在', '天', 4, 5], ['一', '天', 5, 6], ['月', '360°', 6, 7], ['十', '◆◆', 7, 8], ['四', '360°', 8, 9], ['號', '◆◆', 9, 10], ['呃', '##360', 10, 11], ['中', '360°', 11, 12], ['午', '360°', 12, 13], ['之', '◆◆', 13, 14], ['前', '360°', 14, 15], ['提', '360°', 15, 16], ['供', '360°', 16, 17], ['假', '◆◆', 17, 18], ['意', '◆◆', 18, 19], ['是', '◆◆', 19, 20], ['由', '◆◆', 20, 21], ['回', '360°', 21, 22], ['復', 'ㄟ', 22, 23], ['計', '的', 23, 24], ['管', '算', 24, 25], ['組', '中', 25, 26], ['報', '負', 26, 27], ['完', '的', 28, 29]]",0.1724137931034483,2.1724137931034484
1,那重點是在固定式起重機升降機壓力容器及高壓氣體鋼瓶等,那重點是在固定死起中機新講積壓力用請及高壓請去剛評備,天天天天天天063##063##°063°063°063°063◆◆°063063##°063°063°063ニ按壓力不看機。,"[['那', '天', 0, 1], ['重', '天', 1, 2], ['點', '天', 2, 3], ['是', '天', 3, 4], ['在', '天', 4, 5], ['固', '天', 5, 6], ['定', '##360', 6, 7], ['死', '##360', 7, 8], ['起', '360°', 8, 9], ['中', '360°', 9, 10], ['機', '360°', 10, 11], ['新', '360°', 11, 12], ['講', '◆◆', 12, 13], ['積', '360°', 13, 14], ['壓', '##360', 14, 15], ['力', '360°', 15, 16], ['用', '360°', 16, 17], ['請', '360°', 17, 18], ['及', 'ニ', 18, 19], ['高', '按', 19, 20], ['請', '力', 21, 22], ['去', '不', 22, 23], ['剛', '看', 23, 24], ['評', '機', 24, 25], ['備', '。', 25, 26]]",0.4615384615384616,2.3846153846153846
2,受到管制禁止停車那請宣導同仁要配合而且要注意,受到管室盡止停冊那請宣導同仁要配合那且要注意,天天天天天◆◆◆◆063##063##◆◆◆◆063##◆◆◆◆◆◆]KNU[合管請要注意,"[['受', '天', 0, 1], ['到', '天', 1, 2], ['管', '天', 2, 3], ['室', '天', 3, 4], ['盡', '天', 4, 5], ['止', '◆◆', 5, 6], ['停', '◆◆', 6, 7], ['冊', '##360', 7, 8], ['那', '##360', 8, 9], ['請', '◆◆', 9, 10], ['宣', '◆◆', 10, 11], ['導', '##360', 11, 12], ['同', '◆◆', 12, 13], ['仁', '◆◆', 13, 14], ['要', '◆◆', 14, 15], ['配', '[UNK]', 15, 16], ['那', '管', 17, 18], ['且', '請', 18, 19]]",0.18181818181818185,1.8636363636363635
3,一請各單位在一月二十八號前中午完成一月份的報工,第一請各單位在一月八號前中午完成業份的報工,天天天天°063°063°063063##063##◆◆◆◆◆◆°063=◆◆ㄟ上務登登名,"[['第', '天', 0, 1], ['一', '天', 1, 2], ['請', '天', 2, 3], ['各', '天', 3, 4], ['單', '360°', 4, 5], ['位', '360°', 5, 6], ['在', '360°', 6, 7], ['一', '##360', 7, 8], ['月', '##360', 8, 9], ['八', '◆◆', 9, 10], ['號', '◆◆', 10, 11], ['前', '◆◆', 11, 12], ['中', '360°', 12, 13], ['午', '=', 13, 14], ['完', '◆◆', 14, 15], ['成', 'ㄟ', 15, 16], ['業', '上', 16, 17], ['份', '務', 17, 18], ['的', '登', 18, 19], ['報', '登', 19, 20], ['工', '名', 20, 21]]",0.21739130434782608,1.9565217391304348
4,進行用戶接管的民挖作業那施工期間,進行用部呃結管林外作業那時光期間,°063◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆(一最好。,"[['進', '360°', 0, 1], ['行', '◆◆', 1, 2], ['用', '◆◆', 2, 3], ['部', '◆◆', 3, 4], ['呃', '◆◆', 4, 5], ['結', '◆◆', 5, 6], ['管', '◆◆', 6, 7], ['林', '◆◆', 7, 8], ['外', '◆◆', 8, 9], ['作', '◆◆', 9, 10], ['業', '◆◆', 10, 11], ['那', '(', 11, 12], ['時', '一', 12, 13], ['光', '最', 13, 14], ['期', '好', 14, 15], ['間', '。', 15, 16]]",0.5,1.8125
5,好先行檢查那第二件事是本院那個廢污水的接,阿先行檢查那第二件事是喔本院那個備屋水,天天天°063◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆063##◆◆そ一地案。,"[['阿', '天', 0, 1], ['先', '天', 1, 2], ['行', '天', 2, 3], ['檢', '360°', 3, 4], ['查', '◆◆', 4, 5], ['那', '◆◆', 5, 6], ['第', '◆◆', 6, 7], ['二', '◆◆', 7, 8], ['件', '◆◆', 8, 9], ['事', '◆◆', 9, 10], ['是', '◆◆', 10, 11], ['喔', '◆◆', 11, 12], ['本', '##360', 12, 13], ['院', '◆◆', 13, 14], ['那', 'そ', 14, 15], ['個', '一', 15, 16], ['備', '地', 16, 17], ['屋', '案', 17, 18], ['水', '。', 18, 19]]",0.3,1.75
6,遙控組簡組長資材在資材組上線然後全員到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,天天天天天°063063##◆◆◆◆063##063##°063°063°063◆◆°063*資資就告資畢,"[['遙', '天', 0, 1], ['控', '天', 1, 2], ['組', '天', 2, 3], ['簡', '天', 3, 4], ['組', '天', 4, 5], ['長', '360°', 5, 6], ['資', '##360', 6, 7], ['材', '◆◆', 7, 8], ['在', '◆◆', 8, 9], ['資', '##360', 9, 10], ['材', '##360', 10, 11], ['組', '360°', 11, 12], ['上', '360°', 12, 13], ['線', '360°', 13, 14], ['然', '◆◆', 14, 15], ['後', '360°', 15, 16], ['全', '*', 16, 17], ['到', '資', 17, 18], ['齊', '資', 18, 19], ['報', '就', 19, 20], ['完', '資', 21, 22]]",0.041666666666666664,2.125
7,呃院長室簽擬簽結的二級副主官以上長官的工作獎金,院長示簽以春節的二級副主管以上長官的工作獎金,天天天天°063°063◆◆◆◆◆◆063##°063°063063##◆◆◆◆(的代身作為金,"[['院', '天', 0, 1], ['長', '天', 1, 2], ['示', '天', 2, 3], ['簽', '天', 3, 4], ['以', '360°', 4, 5], ['春', '360°', 5, 6], ['節', '◆◆', 6, 7], ['的', '◆◆', 7, 8], ['二', '◆◆', 8, 9], ['級', '##360', 9, 10], ['副', '360°', 10, 11], ['主', '360°', 11, 12], ['管', '##360', 12, 13], ['以', '◆◆', 13, 14], ['上', '◆◆', 14, 15], ['長', '(', 15, 16], ['官', '的', 16, 17], ['的', '代', 17, 18], ['工', '身', 18, 19], ['獎', '為', 20, 21]]",0.2608695652173913,1.9130434782608696
8,一是一月十五及十六就是明後兩天院部工安室要到,一是一月十五即時六就行民後兩天令部工安室要到,天天天天°063°063°063°063°063°0631°063°063◆◆天]KNU[，開的工開求,"[['一', '天', 0, 1], ['是', '天', 1, 2], ['一', '天', 2, 3], ['月', '天', 3, 4], ['十', '360°', 4, 5], ['五', '360°', 5, 6], ['即', '360°', 6, 7], ['時', '360°', 7, 8], ['六', '360°', 8, 9], ['就', '360°', 9, 10], ['行', '1', 10, 11], ['民', '360°', 11, 12], ['後', '360°', 12, 13], ['兩', '◆◆', 13, 14], ['令', '[UNK]', 15, 16], ['部', '，', 16, 17], ['工', '開', 17, 18], ['安', '的', 18, 19], ['室', '工', 19, 20], ['要', '開', 20, 21], ['到', '求', 21, 22]]",0.2272727272727273,2.272727272727273
9,今天也會到那個遙導控組天齊及資材組等單位,今天也會到那個遙導控組織實及指材組簡單位,天天天天天°063◆◆◆◆063##063##°063◆◆◆◆063##((的實單。,"[['今', '天', 0, 1], ['也', '天', 2, 3], ['會', '天', 3, 4], ['到', '天', 4, 5], ['那', '360°', 5, 6], ['個', '◆◆', 6, 7], ['遙', '◆◆', 7, 8], ['導', '##360', 8, 9], ['控', '##360', 9, 10], ['組', '360°', 10, 11], ['織', '◆◆', 11, 12], ['實', '◆◆', 12, 13], ['及', '##360', 13, 14], ['指', '(', 14, 15], ['材', '(', 15, 16], ['組', '的', 16, 17], ['簡', '實', 17, 18], ['位', '。', 19, 20]]",0.2,2.0
