,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,請各單位在一月十四號中午之前提供獎勵事由回覆計管組報告完畢,請各單位在一月十四號呃中午之前提供假意是由回復計管組報告完畢,請各單位在一月十四號呃中午之前提供獎勵事由回覆本次組報告完畢,"[['假', '獎', 17, 18], ['意', '勵', 18, 19], ['是', '事', 19, 20], ['復', '覆', 22, 23], ['計', '本', 23, 24], ['管', '次', 24, 25]]",0.1724137931034483,0.10344827586206896
1,那重點是在固定式起重機升降機壓力容器及高壓氣體鋼瓶等,那重點是在固定死起中機新講積壓力用請及高壓請去剛評備,那重點是在展動電子階器新增硬體能量及及時動態加速執案,"[['固', '展', 5, 6], ['定', '動', 6, 7], ['死', '電', 7, 8], ['起', '子', 8, 9], ['中', '階', 9, 10], ['機', '器', 10, 11], ['講', '增', 12, 13], ['積', '硬', 13, 14], ['壓', '體', 14, 15], ['力', '能', 15, 16], ['用', '量', 16, 17], ['請', '及', 17, 18], ['高', '時', 19, 20], ['壓', '動', 20, 21], ['請', '態', 21, 22], ['去', '加', 22, 23], ['剛', '速', 23, 24], ['評', '執', 24, 25], ['備', '案', 25, 26]]",0.4615384615384616,0.7692307692307693
2,受到管制禁止停車那請宣導同仁要配合而且要注意,受到管室盡止停冊那請宣導同仁要配合那且要注意,或到管警管止停線那請宣導同仁要配合而且要注意,"[['受', '或', 0, 1], ['室', '警', 3, 4], ['盡', '管', 4, 5], ['冊', '線', 7, 8], ['那', '而', 17, 18]]",0.18181818181818185,0.18181818181818182
3,一請各單位在一月二十八號前中午完成一月份的報工,第一請各單位在一月八號前中午完成業份的報工,一以請各單位在一月八號前中午完成全工的簽工,"[['第', '一', 0, 1], ['一', '以', 1, 2], ['業', '全', 16, 17], ['份', '工', 17, 18], ['報', '簽', 19, 20]]",0.21739130434782608,0.30434782608695654
4,進行用戶接管的民挖作業那施工期間,進行用部呃結管林外作業那時光期間,還行火些零配件的外購業那請所部證,"[['進', '還', 0, 1], ['用', '火', 2, 3], ['部', '些', 3, 4], ['呃', '零', 4, 5], ['結', '配', 5, 6], ['管', '件', 6, 7], ['林', '的', 7, 8], ['作', '購', 9, 10], ['時', '請', 12, 13], ['光', '所', 13, 14], ['期', '部', 14, 15], ['間', '證', 15, 16]]",0.5,0.8125
5,好先行檢查那第二件事是本院那個廢污水的接,阿先行檢查那第二件事是喔本院那個備屋水,系先行檢查那第二件事是喔本關那個水財喔,"[['阿', '系', 0, 1], ['院', '關', 13, 14], ['備', '水', 16, 17], ['屋', '財', 17, 18], ['水', '喔', 18, 19]]",0.3,0.35
6,遙控組簡組長資材在資材組上線然後全員到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,遙控組簡組長資材在資材組上線然後到員齊報告完畢,"[['全', '到', 16, 17], ['到', '員', 17, 18]]",0.041666666666666664,0.08333333333333333
7,呃院長室簽擬簽結的二級副主官以上長官的工作獎金,院長示簽以春節的二級副主管以上長官的工作獎金,院長室簽擬簽結的二級副八及以上長官的工作獎金,"[['示', '室', 2, 3], ['以', '擬', 4, 5], ['春', '簽', 5, 6], ['節', '結', 6, 7], ['主', '八', 11, 12], ['管', '及', 12, 13]]",0.2608695652173913,0.13043478260869565
8,一是一月十五及十六就是明後兩天院部工安室要到,一是一月十五即時六就行民後兩天令部工安室要到,一是一月十五及十六就是明後兩天院個處長室要到,"[['即', '及', 6, 7], ['時', '十', 7, 8], ['行', '是', 10, 11], ['民', '明', 11, 12], ['令', '院', 15, 16], ['部', '個', 16, 17], ['工', '處', 17, 18], ['安', '長', 18, 19]]",0.2272727272727273,0.13636363636363635
9,今天也會到那個遙導控組天齊及資材組等單位,今天也會到那個遙導控組織實及指材組簡單位,今天也會到那個遙資材組請那個遙材組簡組長,"[['導', '資', 8, 9], ['控', '材', 9, 10], ['織', '請', 11, 12], ['實', '那', 12, 13], ['及', '個', 13, 14], ['指', '遙', 14, 15], ['單', '組', 18, 19], ['位', '長', 19, 20]]",0.2,0.45
