,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,請各單位在一月十四號中午之前提供獎勵事由回覆計管組報告完畢,請各單位在一月十四號呃中午之前提供假意是由回復計管組報告完畢,請各請請在請請請請請請請請報報那報那那那所那那那那報報報報二,"[['單', '請', 2, 3], ['位', '請', 3, 4], ['一', '請', 5, 6], ['月', '請', 6, 7], ['十', '請', 7, 8], ['四', '請', 8, 9], ['號', '請', 9, 10], ['呃', '請', 10, 11], ['中', '請', 11, 12], ['午', '請', 12, 13], ['之', '報', 13, 14], ['前', '報', 14, 15], ['提', '那', 15, 16], ['供', '報', 16, 17], ['假', '那', 17, 18], ['意', '那', 18, 19], ['是', '那', 19, 20], ['由', '所', 20, 21], ['回', '那', 21, 22], ['復', '那', 22, 23], ['計', '那', 23, 24], ['管', '那', 24, 25], ['組', '報', 25, 26], ['告', '報', 27, 28], ['完', '報', 28, 29], ['畢', '二', 29, 30]]",0.1724137931034483,0.896551724137931
1,那重點是在固定式起重機升降機壓力容器及高壓氣體鋼瓶等,那重點是在固定死起中機新講積壓力用請及高壓請去剛評備,那第那那那那那那那那那那那那那那那那那那那那那那那二,"[['重', '第', 1, 2], ['點', '那', 2, 3], ['是', '那', 3, 4], ['在', '那', 4, 5], ['固', '那', 5, 6], ['定', '那', 6, 7], ['死', '那', 7, 8], ['起', '那', 8, 9], ['中', '那', 9, 10], ['機', '那', 10, 11], ['新', '那', 11, 12], ['講', '那', 12, 13], ['積', '那', 13, 14], ['壓', '那', 14, 15], ['力', '那', 15, 16], ['用', '那', 16, 17], ['請', '那', 17, 18], ['及', '那', 18, 19], ['高', '那', 19, 20], ['壓', '那', 20, 21], ['請', '那', 21, 22], ['去', '那', 22, 23], ['剛', '那', 23, 24], ['評', '那', 24, 25], ['備', '二', 25, 26]]",0.4615384615384616,0.9615384615384616
2,受到管制禁止停車那請宣導同仁要配合而且要注意,受到管室盡止停冊那請宣導同仁要配合那且要注意,受到到到到到在一那在在那那那那那那那還那一二,"[['管', '到', 2, 3], ['室', '到', 3, 4], ['盡', '到', 4, 5], ['止', '到', 5, 6], ['停', '在', 6, 7], ['冊', '一', 7, 8], ['請', '在', 9, 10], ['宣', '在', 10, 11], ['導', '那', 11, 12], ['同', '那', 12, 13], ['仁', '那', 13, 14], ['要', '那', 14, 15], ['配', '那', 15, 16], ['合', '那', 16, 17], ['且', '還', 18, 19], ['要', '那', 19, 20], ['注', '一', 20, 21], ['意', '二', 21, 22]]",0.18181818181818185,0.8636363636363636
3,一請各單位在一月二十八號前中午完成一月份的報工,第一請各單位在一月八號前中午完成業份的報工,第一請一一請請一請請一一一請那所我所北上二,"[['各', '一', 3, 4], ['單', '一', 4, 5], ['位', '請', 5, 6], ['在', '請', 6, 7], ['月', '請', 8, 9], ['八', '請', 9, 10], ['號', '一', 10, 11], ['前', '一', 11, 12], ['中', '一', 12, 13], ['午', '請', 13, 14], ['完', '那', 14, 15], ['成', '所', 15, 16], ['業', '我', 16, 17], ['份', '所', 17, 18], ['的', '北', 18, 19], ['報', '上', 19, 20], ['工', '二', 20, 21]]",0.21739130434782608,0.9130434782608695
4,進行用戶接管的民挖作業那施工期間,進行用部呃結管林外作業那時光期間,進全我本鐵那那專那那那而在一預二,"[['行', '全', 1, 2], ['用', '我', 2, 3], ['部', '本', 3, 4], ['呃', '鐵', 4, 5], ['結', '那', 5, 6], ['管', '那', 6, 7], ['林', '專', 7, 8], ['外', '那', 8, 9], ['作', '那', 9, 10], ['業', '那', 10, 11], ['那', '而', 11, 12], ['時', '在', 12, 13], ['光', '一', 13, 14], ['期', '預', 14, 15], ['間', '二', 15, 16]]",0.5,0.9375
5,好先行檢查那第二件事是本院那個廢污水的接,阿先行檢查那第二件事是喔本院那個備屋水,好先好好好那報報那另那那那那那六六北二,"[['阿', '好', 0, 1], ['行', '好', 2, 3], ['檢', '好', 3, 4], ['查', '好', 4, 5], ['第', '報', 6, 7], ['二', '報', 7, 8], ['件', '那', 8, 9], ['事', '另', 9, 10], ['是', '那', 10, 11], ['喔', '那', 11, 12], ['本', '那', 12, 13], ['院', '那', 13, 14], ['個', '六', 15, 16], ['備', '六', 16, 17], ['屋', '北', 17, 18], ['水', '二', 18, 19]]",0.3,0.8
6,遙控組簡組長資材在資材組上線然後全員到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,遙遙遙遙遙那那然然然然然然那然那那那那報那請二,"[['控', '遙', 1, 2], ['組', '遙', 2, 3], ['簡', '遙', 3, 4], ['組', '遙', 4, 5], ['長', '那', 5, 6], ['資', '那', 6, 7], ['材', '然', 7, 8], ['在', '然', 8, 9], ['資', '然', 9, 10], ['材', '然', 10, 11], ['組', '然', 11, 12], ['上', '然', 12, 13], ['線', '那', 13, 14], ['後', '那', 15, 16], ['全', '那', 16, 17], ['到', '那', 17, 18], ['齊', '那', 18, 19], ['告', '那', 20, 21], ['完', '請', 21, 22], ['畢', '二', 22, 23]]",0.041666666666666664,0.875
7,呃院長室簽擬簽結的二級副主官以上長官的工作獎金,院長示簽以春節的二級副主管以上長官的工作獎金,院呃呃呃以呃呃呃二本本本本以本中此中中中中二,"[['長', '呃', 1, 2], ['示', '呃', 2, 3], ['簽', '呃', 3, 4], ['春', '呃', 5, 6], ['節', '呃', 6, 7], ['的', '呃', 7, 8], ['級', '本', 9, 10], ['副', '本', 10, 11], ['主', '本', 11, 12], ['管', '本', 12, 13], ['上', '本', 14, 15], ['長', '中', 15, 16], ['官', '此', 16, 17], ['的', '中', 17, 18], ['工', '中', 18, 19], ['作', '中', 19, 20], ['獎', '中', 20, 21], ['金', '二', 21, 22]]",0.2608695652173913,0.8695652173913043
8,一是一月十五及十六就是明後兩天院部工安室要到,一是一月十五即時六就行民後兩天令部工安室要到,一是一一十五一一一一一一一另另一那那那那中二,"[['月', '一', 3, 4], ['即', '一', 6, 7], ['時', '一', 7, 8], ['六', '一', 8, 9], ['就', '一', 9, 10], ['行', '一', 10, 11], ['民', '一', 11, 12], ['後', '一', 12, 13], ['兩', '另', 13, 14], ['天', '另', 14, 15], ['令', '一', 15, 16], ['部', '那', 16, 17], ['工', '那', 17, 18], ['安', '那', 18, 19], ['室', '那', 19, 20], ['要', '中', 20, 21], ['到', '二', 21, 22]]",0.2272727272727273,0.7727272727272727
9,今天也會到那個遙導控組天齊及資材組等單位,今天也會到那個遙導控組織實及指材組簡單位,今今那那那那那經經經經經經那那請那中全二,"[['天', '今', 1, 2], ['也', '那', 2, 3], ['會', '那', 3, 4], ['到', '那', 4, 5], ['個', '那', 6, 7], ['遙', '經', 7, 8], ['導', '經', 8, 9], ['控', '經', 9, 10], ['組', '經', 10, 11], ['織', '經', 11, 12], ['實', '經', 12, 13], ['及', '那', 13, 14], ['指', '那', 14, 15], ['材', '請', 15, 16], ['組', '那', 16, 17], ['簡', '中', 17, 18], ['單', '全', 18, 19], ['位', '二', 19, 20]]",0.2,0.9
10,本所來執行本年度第一季的作業安全督檢,本所來執行本年度必一記的阿這業安全督件,本本本本今本今今今今第第本中中中全我二,"[['所', '本', 1, 2], ['來', '本', 2, 3], ['執', '本', 3, 4], ['行', '今', 4, 5], ['年', '今', 6, 7], ['度', '今', 7, 8], ['必', '今', 8, 9], ['一', '今', 9, 10], ['記', '第', 10, 11], ['的', '第', 11, 12], ['阿', '本', 12, 13], ['這', '中', 13, 14], ['業', '中', 14, 15], ['安', '中', 15, 16], ['督', '我', 17, 18], ['件', '二', 18, 19]]",0.2777777777777778,0.8888888888888888
11,那第二件事是那個本院的廢污水的接管工程,那第二件事謝個本院的費屋室的提管工程,那那那那那那那那那二那第今中我我我二,"[['第', '那', 1, 2], ['二', '那', 2, 3], ['件', '那', 3, 4], ['事', '那', 4, 5], ['謝', '那', 5, 6], ['個', '那', 6, 7], ['本', '那', 7, 8], ['院', '那', 8, 9], ['的', '二', 9, 10], ['費', '那', 10, 11], ['屋', '第', 11, 12], ['室', '今', 12, 13], ['的', '中', 13, 14], ['提', '我', 14, 15], ['管', '我', 15, 16], ['工', '我', 16, 17], ['程', '二', 17, 18]]",0.3157894736842105,0.8947368421052632
12,及參與人員以利報工及加班的申請作業,及參與人員以利報公及加班的申請作業,及及及及及及及及及及那呃第第請目二,"[['參', '及', 1, 2], ['與', '及', 2, 3], ['人', '及', 3, 4], ['員', '及', 4, 5], ['以', '及', 5, 6], ['利', '及', 6, 7], ['報', '及', 7, 8], ['公', '及', 8, 9], ['加', '那', 10, 11], ['班', '呃', 11, 12], ['的', '第', 12, 13], ['申', '第', 13, 14], ['作', '目', 15, 16], ['業', '二', 16, 17]]",0.05882352941176471,0.8235294117647058
13,好從今天開始大概有兩三星期的時間會在,那從今天開始大概有兩三個星期時間會在,那從好好從在在在在那那那而那那那我二,"[['今', '好', 2, 3], ['天', '好', 3, 4], ['開', '從', 4, 5], ['始', '在', 5, 6], ['大', '在', 6, 7], ['概', '在', 7, 8], ['有', '在', 8, 9], ['兩', '那', 9, 10], ['三', '那', 10, 11], ['個', '那', 11, 12], ['星', '而', 12, 13], ['期', '那', 13, 14], ['時', '那', 14, 15], ['間', '那', 15, 16], ['會', '我', 16, 17], ['在', '二', 17, 18]]",0.16666666666666666,0.9444444444444444
14,電子所三零七三零九還有本所三一零館,呃電子所三零七三零九還有本所三一名館,呃電呃電三電電三那那那第本第這中北二,"[['子', '呃', 2, 3], ['所', '電', 3, 4], ['零', '電', 5, 6], ['七', '電', 6, 7], ['零', '那', 8, 9], ['九', '那', 9, 10], ['還', '那', 10, 11], ['有', '第', 11, 12], ['所', '第', 13, 14], ['三', '這', 14, 15], ['一', '中', 15, 16], ['名', '北', 16, 17], ['館', '二', 17, 18]]",0.1176470588235294,0.8235294117647058
