,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,請各單位在一月十四號中午之前提供獎勵事由回覆計管組報告完畢,請各單位在一月十四號呃中午之前提供假意是由回復計管組報告完畢,請各單位在一月十四號呃中午之前提供資本我會回覆計管組報告完畢,"[['假', '資', 17, 18], ['意', '本', 18, 19], ['是', '我', 19, 20], ['由', '會', 20, 21], ['復', '覆', 22, 23]]",0.1724137931034483,0.1724137931034483
1,那重點是在固定式起重機升降機壓力容器及高壓氣體鋼瓶等,那重點是在固定死起中機新講積壓力用請及高壓請去剛評備,那重點是在固定燃氣中心的材料還不能使用高壓爐去做評估,"[['死', '燃', 7, 8], ['起', '氣', 8, 9], ['機', '心', 10, 11], ['新', '的', 11, 12], ['講', '材', 12, 13], ['積', '料', 13, 14], ['壓', '還', 14, 15], ['力', '不', 15, 16], ['用', '能', 16, 17], ['請', '使', 17, 18], ['及', '用', 18, 19], ['請', '爐', 21, 22], ['剛', '做', 23, 24], ['備', '估', 25, 26]]",0.4615384615384616,0.6538461538461539
2,受到管制禁止停車那請宣導同仁要配合而且要注意,受到管室盡止停冊那請宣導同仁要配合那且要注意,受到管制禁止停車那請宣導同仁要配合而且要注意,"[['室', '制', 3, 4], ['盡', '禁', 4, 5], ['冊', '車', 7, 8], ['那', '而', 17, 18]]",0.18181818181818185,0.0
3,一請各單位在一月二十八號前中午完成一月份的報工,第一請各單位在一月八號前中午完成業份的報工,第一請各單位在一月八號前中午完成業務的報工,"[['份', '務', 17, 18]]",0.21739130434782608,0.2608695652173913
4,進行用戶接管的民挖作業那施工期間,進行用部呃結管林外作業那時光期間,進行彈塔的陸動制的作業那目光就是,"[['用', '彈', 2, 3], ['部', '塔', 3, 4], ['呃', '的', 4, 5], ['結', '陸', 5, 6], ['管', '動', 6, 7], ['林', '制', 7, 8], ['外', '的', 8, 9], ['時', '目', 12, 13], ['期', '就', 14, 15], ['間', '是', 15, 16]]",0.5,0.6875
5,好先行檢查那第二件事是本院那個廢污水的接,阿先行檢查那第二件事是喔本院那個備屋水,好先行檢查那第二件事是將本院那個方便的,"[['阿', '好', 0, 1], ['喔', '將', 11, 12], ['備', '方', 16, 17], ['屋', '便', 17, 18], ['水', '的', 18, 19]]",0.3,0.25
6,遙控組簡組長資材在資材組上線然後全員到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,遙控組簡組長資材在資材組上線然後呈到齊報告完畢,"[['全', '呈', 16, 17]]",0.041666666666666664,0.08333333333333333
7,呃院長室簽擬簽結的二級副主官以上長官的工作獎金,院長示簽以春節的二級副主管以上長官的工作獎金,院長室簽結核結前二級副主管以上長官的工作獎金,"[['示', '室', 2, 3], ['以', '結', 4, 5], ['春', '核', 5, 6], ['節', '結', 6, 7], ['的', '前', 7, 8]]",0.2608695652173913,0.21739130434782608
8,一是一月十五及十六就是明後兩天院部工安室要到,一是一月十五即時六就行民後兩天令部工安室要到,一是一月十五號時候就是前後兩天院部工安室要到,"[['即', '號', 6, 7], ['六', '候', 8, 9], ['行', '是', 10, 11], ['民', '前', 11, 12], ['令', '院', 15, 16]]",0.2272727272727273,0.18181818181818182
9,今天也會到那個遙導控組天齊及資材組等單位,今天也會到那個遙導控組織實及指材組簡單位,今天也會到那個遙導控組那實施指管組等單位,"[['織', '那', 11, 12], ['及', '施', 13, 14], ['材', '管', 15, 16], ['簡', '等', 17, 18]]",0.2,0.25
10,本所來執行本年度第一季的作業安全督檢,本所來執行本年度必一記的阿這業安全督件,本所來執行本年度這個季期的這個安全督檢,"[['必', '這', 8, 9], ['一', '個', 9, 10], ['記', '季', 10, 11], ['的', '期', 11, 12], ['阿', '的', 12, 13], ['業', '個', 14, 15], ['件', '檢', 18, 19]]",0.2777777777777778,0.2777777777777778
11,那第二件事是那個本院的廢污水的接管工程,那第二件事謝個本院的費屋室的提管工程,那第二件事情是本院的建用也的更新工程,"[['謝', '情', 5, 6], ['個', '是', 6, 7], ['費', '建', 10, 11], ['屋', '用', 11, 12], ['室', '也', 12, 13], ['提', '更', 14, 15], ['管', '新', 15, 16]]",0.3157894736842105,0.42105263157894735
12,及參與人員以利報工及加班的申請作業,及參與人員以利報公及加班的申請作業,及參與人員以利報工及加班的申請作業,"[['公', '工', 8, 9]]",0.05882352941176471,0.0
13,好從今天開始大概有兩三星期的時間會在,那從今天開始大概有兩三個星期時間會在,那從今天開始大概有兩三個星期時間會在,[],0.16666666666666666,0.16666666666666666
14,電子所三零七三零九還有本所三一零館,呃電子所三零七三零九還有本所三一名館,呃電子所三零七三零九還有本所三一零啊,"[['名', '零', 16, 17], ['館', '啊', 17, 18]]",0.1176470588235294,0.11764705882352941
15,所長各位長官早工安組幾件事情提報,把所長各位長官早工安組阿幾件事性提報,呃所長各位長官早工安組本幾件事情提報,"[['把', '呃', 0, 1], ['阿', '本', 11, 12], ['性', '情', 15, 16]]",0.1875,0.125
16,承辦單位報告上次無管辦事項報告完畢,承辦單位報告上次無管辦事項報告完畢,承辦單位報告上次無管辦事項報告完畢,[],0.0,0.0
17,不要因為方便任意跨入管制區,好不要因為幫便院益畫入管制去,好不好因為幫忙幹部都在他制內,"[['要', '好', 2, 3], ['便', '忙', 6, 7], ['院', '幹', 7, 8], ['益', '部', 8, 9], ['畫', '都', 9, 10], ['入', '在', 10, 11], ['管', '他', 11, 12], ['去', '內', 13, 14]]",0.4615384615384616,0.7692307692307693
18,所長副所長各位長官大家好召開第二次晨會,所長副所長各位長官大家好召開第二次晨會,所長副所長各位長官大家好召開第二次晨會,[],0.0,0.0
19,承辦單位報告所長好報告所長回報人數,承辦單位報告週長好報告所長回報人數,承辦單位報告所長好報告所長回報人數,"[['週', '所', 6, 7]]",0.05882352941176471,0.0
20,好附近館舍的部份停車格會陸續的,阿附近管舍部份評的可能回陸續的,阿最近部份部份海測可能是陸製的,"[['附', '最', 1, 2], ['管', '部', 3, 4], ['舍', '份', 4, 5], ['評', '海', 7, 8], ['的', '測', 8, 9], ['回', '是', 11, 12], ['續', '製', 13, 14]]",0.5333333333333333,0.7333333333333333
21,報告所長財務組本週無提報事項,報告所長財務組本週無提報事項,報告所長財務組本週無提報事項,[],0.0,0.0
22,而遭到糾舉還有影響安全,找到九據還有影響安全,第第三次還有影響安全,"[['找', '第', 0, 1], ['到', '第', 1, 2], ['九', '三', 2, 3], ['據', '次', 3, 4]]",0.3636363636363637,0.45454545454545453
23,天頻吳主持人在計管組上線,天頻吳主持人在計管組上線,天頻吳主持人在計管組上線,[],0.0,0.0
24,精電組胡組長在電子戰組上線,精電組胡組長在電子戰組上線,精電組胡組長在電子戰組上線,[],0.0,0.0
25,由楊建文副主持人代理上線,由楊建文副主持人代理上線,由楊建文副主持人代理上線,[],0.0,0.0
26,那請相關單位配合那本組會在,那請相關單位配合那本組會在,那請相關單位配合那本組會在,[],0.0,0.0
27,全員到齊然後大成計畫,全元到齊然後大成計畫,全員整齊然後完成計畫,"[['元', '員', 1, 2], ['到', '整', 2, 3], ['大', '完', 6, 7]]",0.1,0.2
28,好請財務組黃組長,好請財務組黃組長,好請財務組黃組長,[],0.0,0.0
29,所長好今天應到三十一員,所長好今天應到三十一員,所長好今天應到三十一員,[],0.0,0.0
30,好現在請鍾計管組鍾組長,好加請中計管組鍾組長,好鍾請鍾計管組鍾組長,"[['加', '鍾', 1, 2], ['中', '鍾', 3, 4]]",0.2727272727272727,0.18181818181818182
31,好好請繼續,好好請繼續,好好請繼續,[],0.0,0.0
32,通信組導控組遙控組天頻專管組天齊專管組天齊系工組等六個單位,通信組導控組遙控組陳頻專管組天齊專管組天齊是工組本六個單位,通信組導控組遙控組大成專管組天齊專管組天齊系工組等六個單位,"[['陳', '大', 9, 10], ['頻', '成', 10, 11], ['是', '系', 21, 22], ['本', '等', 24, 25]]",0.10344827586206896,0.06896551724137931
33,將於明天明天由楊副所長帶隊前往辦理以上是一項報告報告完畢,將於明天喔你那有楊副所長拜對喔而前忙辦理第三十一項報告報告完畢,將於明天由你們有楊副所長拜訪本而不在辦理這三十一項報告報告完畢,"[['喔', '由', 4, 5], ['那', '們', 6, 7], ['對', '訪', 13, 14], ['喔', '本', 14, 15], ['前', '不', 16, 17], ['忙', '在', 17, 18], ['第', '這', 20, 21]]",0.42857142857142855,0.4642857142857143
34,將簽奉副所長核定之需求規劃書含審查表送本組續辦報告完畢,將簽工副所長核定資需求規劃書安審查表重本組續辦報告完畢,將簽奉副所長核定之需求規劃書含審查表送本組續辦報告完畢,"[['工', '奉', 2, 3], ['資', '之', 8, 9], ['安', '含', 14, 15], ['重', '送', 18, 19]]",0.14814814814814814,0.0
35,呃所長還有各位長官早安品後組本周有一項報告那配合那個,呃所長還有各位長官早安龍品後組本週的一項報告喔那跟那個,呃所長還有各位長官早安喔品後組本週的一項報告喔那請那個,"[['龍', '喔', 11, 12], ['跟', '請', 24, 25]]",0.2307692307692308,0.23076923076923078
36,八年研究試製的急單提案請各個需求單位在一月三十一號之前,八年研究是製的及團提案請各需求單位在一月三十一要之前,八年研究案新建案第二案請各需求單位在一月三十一號之前,"[['是', '案', 4, 5], ['製', '新', 5, 6], ['的', '建', 6, 7], ['及', '案', 7, 8], ['團', '第', 8, 9], ['提', '二', 9, 10], ['要', '號', 23, 24]]",0.1851851851851852,0.25925925925925924
37,一零八年一月十五日上線將本院定額微額履約,一零八年一月十五日上線將本院定額唯有履約,一零八年一月十五日上線將本院定額成實履約,"[['唯', '成', 16, 17], ['有', '實', 17, 18]]",0.1,0.1
