,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,請各單位在一月十四號中午之前提供獎勵事由回覆計管組報告完畢,請各單位在一月十四號呃中午之前提供假意是由回復計管組報告完畢,請各單位在一月十四號的中午之前提供本令明否回覆計管組報告完畢,"[['呃', '的', 10, 11], ['假', '本', 17, 18], ['意', '令', 18, 19], ['是', '明', 19, 20], ['由', '否', 20, 21], ['復', '覆', 22, 23]]",0.1724137931034483,0.1724137931034483
1,那重點是在固定式起重機升降機壓力容器及高壓氣體鋼瓶等,那重點是在固定死起中機新講積壓力用請及高壓請去剛評備,那重點是在固定式起重機升燃機壓力器以及高壓引材的裝備,"[['死', '式', 7, 8], ['中', '重', 9, 10], ['新', '升', 11, 12], ['講', '燃', 12, 13], ['積', '機', 13, 14], ['用', '器', 16, 17], ['請', '以', 17, 18], ['請', '引', 21, 22], ['去', '材', 22, 23], ['剛', '的', 23, 24], ['評', '裝', 24, 25]]",0.4615384615384616,0.3076923076923077
2,受到管制禁止停車那請宣導同仁要配合而且要注意,受到管室盡止停冊那請宣導同仁要配合那且要注意,受到管制禁止停車那請宣導同仁要配合那個要注意,"[['室', '制', 3, 4], ['盡', '禁', 4, 5], ['冊', '車', 7, 8], ['且', '個', 18, 19]]",0.18181818181818185,0.09090909090909091
3,一請各單位在一月二十八號前中午完成一月份的報工,第一請各單位在一月八號前中午完成業份的報工,第一請各單位在一月五號前中午完成報工的報工,"[['八', '五', 9, 10], ['業', '報', 16, 17], ['份', '工', 17, 18]]",0.21739130434782608,0.30434782608695654
4,進行用戶接管的民挖作業那施工期間,進行用部呃結管林外作業那時光期間,進行院部的結婚證的作業那這段期間,"[['用', '院', 2, 3], ['呃', '的', 4, 5], ['管', '婚', 6, 7], ['林', '證', 7, 8], ['外', '的', 8, 9], ['時', '這', 12, 13], ['光', '段', 13, 14]]",0.5,0.5625
5,好先行檢查那第二件事是本院那個廢污水的接,阿先行檢查那第二件事是喔本院那個備屋水,好先行檢查那第二件事是是本院那個信用房,"[['阿', '好', 0, 1], ['喔', '是', 11, 12], ['備', '信', 16, 17], ['屋', '用', 17, 18], ['水', '房', 18, 19]]",0.3,0.3
6,遙控組簡組長資材在資材組上線然後全員到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,[],0.041666666666666664,0.041666666666666664
7,呃院長室簽擬簽結的二級副主官以上長官的工作獎金,院長示簽以春節的二級副主管以上長官的工作獎金,院長室簽擬相關的二級副主管以上長官的工作獎金,"[['示', '室', 2, 3], ['以', '擬', 4, 5], ['春', '相', 5, 6], ['節', '關', 6, 7]]",0.2608695652173913,0.17391304347826086
8,一是一月十五及十六就是明後兩天院部工安室要到,一是一月十五即時六就行民後兩天令部工安室要到,一是一月十五及十也就是明後兩天院部工安室要到,"[['即', '及', 6, 7], ['時', '十', 7, 8], ['六', '也', 8, 9], ['行', '是', 10, 11], ['民', '明', 11, 12], ['令', '院', 15, 16]]",0.2272727272727273,0.045454545454545456
9,今天也會到那個遙導控組天齊及資材組等單位,今天也會到那個遙導控組織實及指材組簡單位,今天也會到那個遙導控組天齊及資材組等單位,"[['織', '天', 11, 12], ['實', '齊', 12, 13], ['指', '資', 14, 15], ['簡', '等', 17, 18]]",0.2,0.0
10,本所來執行本年度第一季的作業安全督檢,本所來執行本年度必一記的阿這業安全督件,本所來執行本年度第一項的的這個安全督檢,"[['必', '第', 8, 9], ['記', '項', 10, 11], ['阿', '的', 12, 13], ['業', '個', 14, 15], ['件', '檢', 18, 19]]",0.2777777777777778,0.2222222222222222
11,那第二件事是那個本院的廢污水的接管工程,那第二件事謝個本院的費屋室的提管工程,那第二件事情是本院的科研案的加管工程,"[['謝', '情', 5, 6], ['個', '是', 6, 7], ['費', '科', 10, 11], ['屋', '研', 11, 12], ['室', '案', 12, 13], ['提', '加', 14, 15]]",0.3157894736842105,0.3684210526315789
12,及參與人員以利報工及加班的申請作業,及參與人員以利報公及加班的申請作業,及參與人員以利報工及加班的申請作業,"[['公', '工', 8, 9]]",0.05882352941176471,0.0
13,好從今天開始大概有兩三星期的時間會在,那從今天開始大概有兩三個星期時間會在,那從今天開始大概有兩三個星期時間會在,[],0.16666666666666666,0.16666666666666666
14,電子所三零七三零九還有本所三一零館,呃電子所三零七三零九還有本所三一名館,呃電子所三零七三零九還有本所三一零館,"[['名', '零', 16, 17]]",0.1176470588235294,0.058823529411764705
15,所長各位長官早工安組幾件事情提報,把所長各位長官早工安組阿幾件事性提報,呃所長各位長官早工安組有幾件事情提報,"[['把', '呃', 0, 1], ['阿', '有', 11, 12], ['性', '情', 15, 16]]",0.1875,0.125
16,承辦單位報告上次無管辦事項報告完畢,承辦單位報告上次無管辦事項報告完畢,承辦單位報告上次無管辦事項報告完畢,[],0.0,0.0
17,不要因為方便任意跨入管制區,好不要因為幫便院益畫入管制去,而不要因為方便大舉進入管制區,"[['好', '而', 0, 1], ['幫', '方', 5, 6], ['院', '大', 7, 8], ['益', '舉', 8, 9], ['畫', '進', 9, 10], ['去', '區', 13, 14]]",0.4615384615384616,0.3076923076923077
