,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,請各單位在一月十四號中午之前提供獎勵事由回覆計管組報告完畢,請各單位在一月十四號呃中午之前提供假意是由回復計管組報告完畢,請各單位在一月十四號的中午之前提供簡副事由回復王管組報告完畢,"[['呃', '的', 10, 11], ['假', '簡', 17, 18], ['意', '副', 18, 19], ['是', '事', 19, 20], ['計', '王', 23, 24]]",0.1724137931034483,0.1724137931034483
1,那重點是在固定式起重機升降機壓力容器及高壓氣體鋼瓶等,那重點是在固定死起中機新講積壓力用請及高壓請去剛評備,那目點是在今月底的那個新建的第使次案子喔也請做好準備,"[['重', '目', 1, 2], ['固', '今', 5, 6], ['定', '月', 6, 7], ['死', '底', 7, 8], ['起', '的', 8, 9], ['中', '那', 9, 10], ['機', '個', 10, 11], ['講', '建', 12, 13], ['積', '的', 13, 14], ['壓', '第', 14, 15], ['力', '使', 15, 16], ['用', '次', 16, 17], ['請', '案', 17, 18], ['及', '子', 18, 19], ['高', '喔', 19, 20], ['壓', '也', 20, 21], ['去', '做', 22, 23], ['剛', '好', 23, 24], ['評', '準', 24, 25]]",0.4615384615384616,0.8461538461538461
2,受到管制禁止停車那請宣導同仁要配合而且要注意,受到管室盡止停冊那請宣導同仁要配合那且要注意,受工期間必會停檢那請宣導同仁要配合而且要注意,"[['到', '工', 1, 2], ['管', '期', 2, 3], ['室', '間', 3, 4], ['盡', '必', 4, 5], ['止', '會', 5, 6], ['冊', '檢', 7, 8], ['那', '而', 17, 18]]",0.18181818181818185,0.2727272727272727
3,一請各單位在一月二十八號前中午完成一月份的報工,第一請各單位在一月八號前中午完成業份的報工,第一請各單位在一月八號前中前完成報份的報核,"[['午', '前', 13, 14], ['業', '報', 16, 17], ['工', '核', 20, 21]]",0.21739130434782608,0.30434782608695654
4,進行用戶接管的民挖作業那施工期間,進行用部呃結管林外作業那時光期間,呃專案組要執行委外作業那春照明底,"[['進', '呃', 0, 1], ['行', '專', 1, 2], ['用', '案', 2, 3], ['部', '組', 3, 4], ['呃', '要', 4, 5], ['結', '執', 5, 6], ['管', '行', 6, 7], ['林', '委', 7, 8], ['時', '春', 12, 13], ['光', '照', 13, 14], ['期', '明', 14, 15], ['間', '底', 15, 16]]",0.5,0.8125
5,好先行檢查那第二件事是本院那個廢污水的接,阿先行檢查那第二件事是喔本院那個備屋水,好先行檢謝那第二件事是那本院那裝備工檢,"[['阿', '好', 0, 1], ['查', '謝', 4, 5], ['喔', '那', 11, 12], ['個', '裝', 15, 16], ['屋', '工', 17, 18], ['水', '檢', 18, 19]]",0.3,0.4
6,遙控組簡組長資材在資材組上線然後全員到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,遙控組簡組長請員在資材組上線然準全員齊報告完畢,"[['資', '請', 6, 7], ['材', '員', 7, 8], ['後', '準', 15, 16], ['到', '員', 17, 18]]",0.041666666666666664,0.16666666666666666
7,呃院長室簽擬簽結的二級副主官以上長官的工作獎金,院長示簽以春節的二級副主管以上長官的工作獎金,院裁定是在本院的二級副上元以上固官的工取時員,"[['長', '裁', 1, 2], ['示', '定', 2, 3], ['簽', '是', 3, 4], ['以', '在', 4, 5], ['春', '本', 5, 6], ['節', '院', 6, 7], ['主', '上', 11, 12], ['管', '元', 12, 13], ['長', '固', 15, 16], ['作', '取', 19, 20], ['獎', '時', 20, 21], ['金', '員', 21, 22]]",0.2608695652173913,0.5652173913043478
8,一是一月十五及十六就是明後兩天院部工安室要到,一是一月十五即時六就行民後兩天令部工安室要到,一是一月十日星拜六就是明後兩天本部的安室要到,"[['五', '日', 5, 6], ['即', '星', 6, 7], ['時', '拜', 7, 8], ['行', '是', 10, 11], ['民', '明', 11, 12], ['令', '本', 15, 16], ['工', '的', 17, 18]]",0.2272727272727273,0.22727272727272727
9,今天也會到那個遙導控組天齊及資材組等單位,今天也會到那個遙導控組織實及指材組簡單位,今天也會到那個遙材控組組以及資材組等單位,"[['導', '材', 8, 9], ['織', '組', 11, 12], ['實', '以', 12, 13], ['指', '資', 14, 15], ['簡', '等', 17, 18]]",0.2,0.15
10,本所來執行本年度第一季的作業安全督檢,本所來執行本年度必一記的阿這業安全督件,本所來執行購做務必要求的工個經費的減核,"[['本', '購', 5, 6], ['年', '做', 6, 7], ['度', '務', 7, 8], ['一', '要', 9, 10], ['記', '求', 10, 11], ['阿', '工', 12, 13], ['這', '個', 13, 14], ['業', '經', 14, 15], ['安', '費', 15, 16], ['全', '的', 16, 17], ['督', '減', 17, 18], ['件', '核', 18, 19]]",0.2777777777777778,0.7222222222222222
11,那第二件事是那個本院的廢污水的接管工程,那第二件事謝個本院的費屋室的提管工程,那第二件事那個本院的廢裝案的接修工程,"[['謝', '那', 5, 6], ['費', '廢', 10, 11], ['屋', '裝', 11, 12], ['室', '案', 12, 13], ['提', '接', 14, 15], ['管', '修', 15, 16]]",0.3157894736842105,0.21052631578947367
12,及參與人員以利報工及加班的申請作業,及參與人員以利報公及加班的申請作業,及參與人員以利報工及加班的認請作業,"[['公', '工', 8, 9], ['申', '認', 13, 14]]",0.05882352941176471,0.058823529411764705
13,好從今天開始大概有兩三星期的時間會在,那從今天開始大概有兩三個星期時間會在,那從今天開始大概有兩三個星期時間會在,[],0.16666666666666666,0.16666666666666666
14,電子所三零七三零九還有本所三一零館,呃電子所三零七三零九還有本所三一名館,呃電子所三零七電零組還有本所三工守組,"[['三', '電', 7, 8], ['九', '組', 9, 10], ['一', '工', 15, 16], ['名', '守', 16, 17], ['館', '組', 17, 18]]",0.1176470588235294,0.35294117647058826
15,所長各位長官早工安組幾件事情提報,把所長各位長官早工安組阿幾件事性提報,呃所長各位長官早工安組有幾件事情提報,"[['把', '呃', 0, 1], ['阿', '有', 11, 12], ['性', '情', 15, 16]]",0.1875,0.125
