,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,請各單位在一月十四號中午之前提供獎勵事由回覆計管組報告完畢,請各單位在一月十四號呃中午之前提供假意是由回復計管組報告完畢,請各單位在一月十四號呃八點之前提成是不是呃送交到本組報告完畢,"[['中', '八', 11, 12], ['午', '點', 12, 13], ['供', '成', 16, 17], ['假', '是', 17, 18], ['意', '不', 18, 19], ['由', '呃', 20, 21], ['回', '送', 21, 22], ['復', '交', 22, 23], ['計', '到', 23, 24], ['管', '本', 24, 25]]",0.1724137931034483,0.41379310344827586
1,那重點是在固定式起重機升降機壓力容器及高壓氣體鋼瓶等,那重點是在固定死起中機新講積壓力用請及高壓請去剛評備,那重點是在因一月份的因應作生產支用以及預購的剛需產項,"[['固', '因', 5, 6], ['定', '一', 6, 7], ['死', '月', 7, 8], ['起', '份', 8, 9], ['中', '的', 9, 10], ['機', '因', 10, 11], ['新', '應', 11, 12], ['講', '作', 12, 13], ['積', '生', 13, 14], ['壓', '產', 14, 15], ['力', '支', 15, 16], ['請', '以', 17, 18], ['高', '預', 19, 20], ['壓', '購', 20, 21], ['請', '的', 21, 22], ['去', '剛', 22, 23], ['剛', '需', 23, 24], ['評', '產', 24, 25], ['備', '項', 25, 26]]",0.4615384615384616,0.7692307692307693
2,受到管制禁止停車那請宣導同仁要配合而且要注意,受到管室盡止停冊那請宣導同仁要配合那且要注意,在計管室進行抽示那請宣導同仁要配合而且要注意,"[['受', '在', 0, 1], ['到', '計', 1, 2], ['盡', '進', 4, 5], ['止', '行', 5, 6], ['停', '抽', 6, 7], ['冊', '示', 7, 8], ['那', '而', 17, 18]]",0.18181818181818185,0.3181818181818182
3,一請各單位在一月二十八號前中午完成一月份的報工,第一請各單位在一月八號前中午完成業份的報工,所外請各單位在一月八號前前利用七月份的假個,"[['第', '所', 0, 1], ['一', '外', 1, 2], ['中', '前', 12, 13], ['午', '利', 13, 14], ['完', '用', 14, 15], ['成', '七', 15, 16], ['業', '月', 16, 17], ['報', '假', 19, 20], ['工', '個', 20, 21]]",0.21739130434782608,0.4782608695652174
4,進行用戶接管的民挖作業那施工期間,進行用部呃結管林外作業那時光期間,欸軍通部來行行對外通關那春會參在,"[['進', '欸', 0, 1], ['行', '軍', 1, 2], ['用', '通', 2, 3], ['呃', '來', 4, 5], ['結', '行', 5, 6], ['管', '行', 6, 7], ['林', '對', 7, 8], ['作', '通', 9, 10], ['業', '關', 10, 11], ['時', '春', 12, 13], ['光', '會', 13, 14], ['期', '參', 14, 15], ['間', '在', 15, 16]]",0.5,0.9375
5,好先行檢查那第二件事是本院那個廢污水的接,阿先行檢查那第二件事是喔本院那個備屋水,做先的檢查那第二件事是說本院那個智年的,"[['阿', '做', 0, 1], ['行', '的', 2, 3], ['喔', '說', 11, 12], ['備', '智', 16, 17], ['屋', '年', 17, 18], ['水', '的', 18, 19]]",0.3,0.35
6,遙控組簡組長資材在資材組上線然後全員到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,遙那組胡組長請材在通材組上會那安全測業報告完畢,"[['控', '那', 1, 2], ['簡', '胡', 3, 4], ['資', '請', 6, 7], ['資', '通', 9, 10], ['線', '會', 13, 14], ['然', '那', 14, 15], ['後', '安', 15, 16], ['到', '測', 17, 18], ['齊', '業', 18, 19]]",0.041666666666666664,0.4166666666666667
7,呃院長室簽擬簽結的二級副主官以上長官的工作獎金,院長示簽以春節的二級副主管以上長官的工作獎金,呃公布給各單位的主級副主級以上長官的所人那會,"[['院', '呃', 0, 1], ['長', '公', 1, 2], ['示', '布', 2, 3], ['簽', '給', 3, 4], ['以', '各', 4, 5], ['春', '單', 5, 6], ['節', '位', 6, 7], ['二', '主', 8, 9], ['管', '級', 12, 13], ['工', '所', 18, 19], ['作', '人', 19, 20], ['獎', '那', 20, 21], ['金', '會', 21, 22]]",0.2608695652173913,0.5652173913043478
8,一是一月十五及十六就是明後兩天院部工安室要到,一是一月十五即時六就行民後兩天令部工安室要到,一是一月十五及十六就是明後兩天院部工安室要到,"[['即', '及', 6, 7], ['時', '十', 7, 8], ['行', '是', 10, 11], ['民', '明', 11, 12], ['令', '院', 15, 16]]",0.2272727272727273,0.0
9,今天也會到那個遙導控組天齊及資材組等單位,今天也會到那個遙導控組織實及指材組簡單位,今天也會到那個遙電組做精電組的兩個各一位,"[['導', '電', 8, 9], ['控', '組', 9, 10], ['組', '做', 10, 11], ['織', '精', 11, 12], ['實', '電', 12, 13], ['及', '組', 13, 14], ['指', '的', 14, 15], ['材', '兩', 15, 16], ['組', '個', 16, 17], ['簡', '各', 17, 18], ['單', '一', 18, 19]]",0.2,0.55
10,本所來執行本年度第一季的作業安全督檢,本所來執行本年度必一記的阿這業安全督件,本所來執行的個不同登記的一作業的保固一,"[['本', '的', 5, 6], ['年', '個', 6, 7], ['度', '不', 7, 8], ['必', '同', 8, 9], ['一', '登', 9, 10], ['阿', '一', 12, 13], ['這', '作', 13, 14], ['安', '的', 15, 16], ['全', '保', 16, 17], ['督', '固', 17, 18], ['件', '一', 18, 19]]",0.2777777777777778,0.6111111111111112
11,那第二件事是那個本院的廢污水的接管工程,那第二件事謝個本院的費屋室的提管工程,那第二件事那個本院的年年項的固固工資,"[['謝', '那', 5, 6], ['費', '年', 10, 11], ['屋', '年', 11, 12], ['室', '項', 12, 13], ['提', '固', 14, 15], ['管', '固', 15, 16], ['程', '資', 17, 18]]",0.3157894736842105,0.3684210526315789
12,及參與人員以利報工及加班的申請作業,及參與人員以利報公及加班的申請作業,及參與人員實利工休及財班的申證手料,"[['以', '實', 5, 6], ['報', '工', 7, 8], ['公', '休', 8, 9], ['加', '財', 10, 11], ['請', '證', 14, 15], ['作', '手', 15, 16], ['業', '料', 16, 17]]",0.05882352941176471,0.4117647058823529
13,好從今天開始大概有兩三星期的時間會在,那從今天開始大概有兩三個星期時間會在,那從今天開始大概有兩三個月期間就會在,"[['星', '月', 12, 13], ['時', '間', 14, 15], ['間', '就', 15, 16]]",0.16666666666666666,0.3333333333333333
