,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,請各單位在一月十四號中午之前提供獎勵事由回覆計管組報告完畢,請各單位在一月十四號呃中午之前提供假意是由回復計管組報告完畢,請各單位在一月十四號呃中午之前提供獎勵事由回覆的理由報告完畢,"[['假', '獎', 17, 18], ['意', '勵', 18, 19], ['是', '事', 19, 20], ['復', '覆', 22, 23], ['計', '的', 23, 24], ['管', '理', 24, 25], ['組', '由', 25, 26]]",0.1724137931034483,0.13793103448275862
1,那重點是在固定式起重機升降機壓力容器及高壓氣體鋼瓶等,那重點是在固定死起中機新講積壓力用請及高壓請去剛評備,那特點是在今週資器有有有案的極沿小低有時邀機度做調正,"[['重', '特', 1, 2], ['固', '今', 5, 6], ['定', '週', 6, 7], ['死', '資', 7, 8], ['起', '器', 8, 9], ['中', '有', 9, 10], ['機', '有', 10, 11], ['新', '有', 11, 12], ['講', '案', 12, 13], ['積', '的', 13, 14], ['壓', '極', 14, 15], ['力', '沿', 15, 16], ['用', '小', 16, 17], ['請', '低', 17, 18], ['及', '有', 18, 19], ['高', '時', 19, 20], ['壓', '邀', 20, 21], ['請', '機', 21, 22], ['去', '度', 22, 23], ['剛', '做', 23, 24], ['評', '調', 24, 25], ['備', '正', 25, 26]]",0.4615384615384616,0.8461538461538461
2,受到管制禁止停車那請宣導同仁要配合而且要注意,受到管室盡止停冊那請宣導同仁要配合那且要注意,在計管制而止停車那請宣導同仁要配合而且要注意,"[['受', '在', 0, 1], ['到', '計', 1, 2], ['室', '制', 3, 4], ['盡', '而', 4, 5], ['冊', '車', 7, 8], ['那', '而', 17, 18]]",0.18181818181818185,0.13636363636363635
3,一請各單位在一月二十八號前中午完成一月份的報工,第一請各單位在一月八號前中午完成業份的報工,一一請各單位在一月八號前中午完成年報的審工,"[['第', '一', 0, 1], ['業', '年', 16, 17], ['份', '報', 17, 18], ['報', '審', 19, 20]]",0.21739130434782608,0.30434782608695654
4,進行用戶接管的民挖作業那施工期間,進行用部呃結管林外作業那時光期間,進行交個盤屬的保鑑作業那施段還有,"[['用', '交', 2, 3], ['部', '個', 3, 4], ['呃', '盤', 4, 5], ['結', '屬', 5, 6], ['管', '的', 6, 7], ['林', '保', 7, 8], ['外', '鑑', 8, 9], ['時', '施', 12, 13], ['光', '段', 13, 14], ['期', '還', 14, 15], ['間', '有', 15, 16]]",0.5,0.5625
5,好先行檢查那第二件事是本院那個廢污水的接,阿先行檢查那第二件事是喔本院那個備屋水,好先行檢查那第二件事是喔本院那個資年所,"[['阿', '好', 0, 1], ['備', '資', 16, 17], ['屋', '年', 17, 18], ['水', '所', 18, 19]]",0.3,0.3
6,遙控組簡組長資材在資材組上線然後全員到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,遙控組簡組長資材在資材組上線那後全到齊報告完畢,"[['然', '那', 14, 15]]",0.041666666666666664,0.08333333333333333
7,呃院長室簽擬簽結的二級副主官以上長官的工作獎金,院長示簽以春節的二級副主管以上長官的工作獎金,呃公室簽擬簽結前時候副主官以上長官的工作獎金,"[['院', '呃', 0, 1], ['長', '公', 1, 2], ['示', '室', 2, 3], ['以', '擬', 4, 5], ['春', '簽', 5, 6], ['節', '結', 6, 7], ['的', '前', 7, 8], ['二', '時', 8, 9], ['級', '候', 9, 10], ['管', '官', 12, 13]]",0.2608695652173913,0.21739130434782608
8,一是一月十五及十六就是明後兩天院部工安室要到,一是一月十五即時六就行民後兩天令部工安室要到,一是一月十五及十候執是明後天司院部工安室要到,"[['即', '及', 6, 7], ['時', '十', 7, 8], ['六', '候', 8, 9], ['就', '執', 9, 10], ['行', '是', 10, 11], ['民', '明', 11, 12], ['兩', '天', 13, 14], ['天', '司', 14, 15], ['令', '院', 15, 16]]",0.2272727272727273,0.18181818181818182
9,今天也會到那個遙導控組天齊及資材組等單位,今天也會到那個遙導控組織實及指材組簡單位,今天也會到那個遙資組組天以及水材組等單長,"[['導', '資', 8, 9], ['控', '組', 9, 10], ['織', '天', 11, 12], ['實', '以', 12, 13], ['指', '水', 14, 15], ['簡', '等', 17, 18], ['位', '長', 19, 20]]",0.2,0.25
