,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,請各單位在一月十四號中午之前提供獎勵事由回覆計管組報告完畢,請各單位在一月十四號呃中午之前提供假意是由回復計管組報告完畢,請各單位在一月十四號的中午之前提供資料事由回覆的以長報告完畢,"[['呃', '的', 10, 11], ['假', '資', 17, 18], ['意', '料', 18, 19], ['是', '事', 19, 20], ['復', '覆', 22, 23], ['計', '的', 23, 24], ['管', '以', 24, 25], ['組', '長', 25, 26]]",0.1724137931034483,0.20689655172413793
1,那重點是在固定式起重機升降機壓力容器及高壓氣體鋼瓶等,那重點是在固定死起中機新講積壓力用請及高壓請去剛評備,那重討是在本日式資上域那提的極使系以降時材感體做完備,"[['點', '討', 2, 3], ['固', '本', 5, 6], ['定', '日', 6, 7], ['死', '式', 7, 8], ['起', '資', 8, 9], ['中', '上', 9, 10], ['機', '域', 10, 11], ['新', '那', 11, 12], ['講', '提', 12, 13], ['積', '的', 13, 14], ['壓', '極', 14, 15], ['力', '使', 15, 16], ['用', '系', 16, 17], ['請', '以', 17, 18], ['及', '降', 18, 19], ['高', '時', 19, 20], ['壓', '材', 20, 21], ['請', '感', 21, 22], ['去', '體', 22, 23], ['剛', '做', 23, 24], ['評', '完', 24, 25]]",0.4615384615384616,0.7692307692307693
2,受到管制禁止停車那請宣導同仁要配合而且要注意,受到管室盡止停冊那請宣導同仁要配合那且要注意,到計管制禁止停離那請宣導同仁要配合而且要注意,"[['受', '到', 0, 1], ['到', '計', 1, 2], ['室', '制', 3, 4], ['盡', '禁', 4, 5], ['冊', '離', 7, 8], ['那', '而', 17, 18]]",0.18181818181818185,0.13636363636363635
3,一請各單位在一月二十八號前中午完成一月份的報工,第一請各單位在一月八號前中午完成業份的報工,所一請各單位在一月八號前中午完成佐工的報工,"[['第', '所', 0, 1], ['業', '佐', 16, 17], ['份', '工', 17, 18]]",0.21739130434782608,0.2608695652173913
4,進行用戶接管的民挖作業那施工期間,進行用部呃結管林外作業那時光期間,全軍那個結配個戶的作業那施工部了,"[['進', '全', 0, 1], ['行', '軍', 1, 2], ['用', '那', 2, 3], ['部', '個', 3, 4], ['呃', '結', 4, 5], ['結', '配', 5, 6], ['管', '個', 6, 7], ['林', '戶', 7, 8], ['外', '的', 8, 9], ['時', '施', 12, 13], ['光', '工', 13, 14], ['期', '部', 14, 15], ['間', '了', 15, 16]]",0.5,0.6875
5,好先行檢查那第二件事是本院那個廢污水的接,阿先行檢查那第二件事是喔本院那個備屋水,好先行檢查那第二件事是那本院那個新量處,"[['阿', '好', 0, 1], ['喔', '那', 11, 12], ['備', '新', 16, 17], ['屋', '量', 17, 18], ['水', '處', 18, 19]]",0.3,0.3
6,遙控組簡組長資材在資材組上線然後全員到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,[],0.041666666666666664,0.041666666666666664
7,呃院長室簽擬簽結的二級副主官以上長官的工作獎金,院長示簽以春節的二級副主管以上長官的工作獎金,呃長室簽各簽結的二級副主官以上長官的工作獎金,"[['院', '呃', 0, 1], ['示', '室', 2, 3], ['以', '各', 4, 5], ['春', '簽', 5, 6], ['節', '結', 6, 7], ['管', '官', 12, 13]]",0.2608695652173913,0.08695652173913043
8,一是一月十五及十六就是明後兩天院部工安室要到,一是一月十五即時六就行民後兩天令部工安室要到,一是一月十五及十後就是明後兩天院部工行室要到,"[['即', '及', 6, 7], ['時', '十', 7, 8], ['六', '後', 8, 9], ['行', '是', 10, 11], ['民', '明', 11, 12], ['令', '院', 15, 16], ['安', '行', 18, 19]]",0.2272727272727273,0.09090909090909091
9,今天也會到那個遙導控組天齊及資材組等單位,今天也會到那個遙導控組織實及指材組簡單位,今天也會到那個遙材組組玄齊及資材組等組長,"[['導', '材', 8, 9], ['控', '組', 9, 10], ['織', '玄', 11, 12], ['實', '齊', 12, 13], ['指', '資', 14, 15], ['簡', '等', 17, 18], ['單', '組', 18, 19], ['位', '長', 19, 20]]",0.2,0.25
