,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,請各單位在一月十四號中午之前提供獎勵事由回覆計管組報告完畢,請各單位在一月十四號呃中午之前提供假意是由回復計管組報告完畢,請各單位在九月十四號的中午之前及前星期是否回應計劃局報告完畢,"[['一', '九', 5, 6], ['呃', '的', 10, 11], ['提', '及', 15, 16], ['供', '前', 16, 17], ['假', '星', 17, 18], ['意', '期', 18, 19], ['由', '否', 20, 21], ['復', '應', 22, 23], ['管', '劃', 24, 25], ['組', '局', 25, 26]]",0.1724137931034483,0.3793103448275862
1,那重點是在固定式起重機升降機壓力容器及高壓氣體鋼瓶等,那重點是在固定死起中機新講積壓力用請及高壓請去剛評備,另一點是在固定電路中，輸出電壓過大時，高壓請勿使用。,"[['那', '另', 0, 1], ['重', '一', 1, 2], ['死', '電', 7, 8], ['起', '路', 8, 9], ['機', '，', 10, 11], ['新', '輸', 11, 12], ['講', '出', 12, 13], ['積', '電', 13, 14], ['力', '過', 15, 16], ['用', '大', 16, 17], ['請', '時', 17, 18], ['及', '，', 18, 19], ['去', '勿', 22, 23], ['剛', '使', 23, 24], ['評', '用', 24, 25], ['備', '。', 25, 26]]",0.4615384615384616,0.6923076923076923
2,受到管制禁止停車那請宣導同仁要配合而且要注意,受到管室盡止停冊那請宣導同仁要配合那且要注意,受到心理攻擊時，那麼各位同學要配合，也要注意,"[['管', '心', 2, 3], ['室', '理', 3, 4], ['盡', '攻', 4, 5], ['止', '擊', 5, 6], ['停', '時', 6, 7], ['冊', '，', 7, 8], ['請', '麼', 9, 10], ['宣', '各', 10, 11], ['導', '位', 11, 12], ['仁', '學', 13, 14], ['那', '，', 17, 18], ['且', '也', 18, 19]]",0.18181818181818185,0.5454545454545454
3,一請各單位在一月二十八號前中午完成一月份的報工,第一請各單位在一月八號前中午完成業份的報工,第一，各單位在六月十日的中午完成業務的報名,"[['請', '，', 2, 3], ['一', '六', 7, 8], ['八', '十', 9, 10], ['號', '日', 10, 11], ['前', '的', 11, 12], ['份', '務', 17, 18], ['工', '名', 20, 21]]",0.21739130434782608,0.4782608695652174
4,進行用戶接管的民挖作業那施工期間,進行用部呃結管林外作業那時光期間,進行用軟件結構做的作業那種最好。,"[['部', '軟', 3, 4], ['呃', '件', 4, 5], ['管', '構', 6, 7], ['林', '做', 7, 8], ['外', '的', 8, 9], ['時', '種', 12, 13], ['光', '最', 13, 14], ['期', '好', 14, 15], ['間', '。', 15, 16]]",0.5,0.625
5,好先行檢查那第二件事是本院那個廢污水的接,阿先行檢查那第二件事是喔本院那個備屋水,王先生檢查了第二件事是什麼的那個檔案。,"[['阿', '王', 0, 1], ['行', '生', 2, 3], ['那', '了', 5, 6], ['喔', '什', 11, 12], ['本', '麼', 12, 13], ['院', '的', 13, 14], ['備', '檔', 16, 17], ['屋', '案', 17, 18], ['水', '。', 18, 19]]",0.3,0.55
6,遙控組簡組長資材在資材組上線然後全員到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,使用最簡單的資材在資材的上陣之後將方位報告完畢,"[['遙', '使', 0, 1], ['控', '用', 1, 2], ['組', '最', 2, 3], ['組', '單', 4, 5], ['長', '的', 5, 6], ['組', '的', 11, 12], ['線', '陣', 13, 14], ['然', '之', 14, 15], ['全', '將', 16, 17], ['到', '方', 17, 18], ['齊', '位', 18, 19]]",0.041666666666666664,0.5
7,呃院長室簽擬簽結的二級副主官以上長官的工作獎金,院長示簽以春節的二級副主管以上長官的工作獎金,院長規範：院長的獎金為主管以上長官的工作獎金,"[['示', '規', 2, 3], ['簽', '範', 3, 4], ['以', '：', 4, 5], ['春', '院', 5, 6], ['節', '長', 6, 7], ['二', '獎', 8, 9], ['級', '金', 9, 10], ['副', '為', 10, 11]]",0.2608695652173913,0.43478260869565216
8,一是一月十五及十六就是明後兩天院部工安室要到,一是一月十五即時六就行民後兩天令部工安室要到,於是八月十五病逝，滿足不了兩天內的工作的要求,"[['一', '於', 0, 1], ['一', '八', 2, 3], ['即', '病', 6, 7], ['時', '逝', 7, 8], ['六', '，', 8, 9], ['就', '滿', 9, 10], ['行', '足', 10, 11], ['民', '不', 11, 12], ['後', '了', 12, 13], ['令', '內', 15, 16], ['部', '的', 16, 17], ['安', '作', 18, 19], ['室', '的', 19, 20], ['到', '求', 21, 22]]",0.2272727272727273,0.6363636363636364
9,今天也會到那個遙導控組天齊及資材組等單位,今天也會到那個遙導控組織實及指材組簡單位,今天你會到一個掌控控制的實體指定店下單。,"[['也', '你', 2, 3], ['那', '一', 5, 6], ['遙', '掌', 7, 8], ['導', '控', 8, 9], ['組', '制', 10, 11], ['織', '的', 11, 12], ['及', '體', 13, 14], ['材', '定', 15, 16], ['組', '店', 16, 17], ['簡', '下', 17, 18], ['位', '。', 19, 20]]",0.2,0.65
10,本所來執行本年度第一季的作業安全督檢,本所來執行本年度必一記的阿這業安全督件,本表屬執行本年度必要項的「一個安全」。,"[['所', '表', 1, 2], ['來', '屬', 2, 3], ['一', '要', 9, 10], ['記', '項', 10, 11], ['阿', '「', 12, 13], ['這', '一', 13, 14], ['業', '個', 14, 15], ['督', '」', 17, 18], ['件', '。', 18, 19]]",0.2777777777777778,0.5555555555555556
11,那第二件事是那個本院的廢污水的接管工程,那第二件事謝個本院的費屋室的提管工程,那第二件事謝謝醫院的副院長的提醒吧。,"[['個', '謝', 6, 7], ['本', '醫', 7, 8], ['費', '副', 10, 11], ['屋', '院', 11, 12], ['室', '長', 12, 13], ['管', '醒', 15, 16], ['工', '吧', 16, 17], ['程', '。', 17, 18]]",0.3157894736842105,0.5789473684210527
12,及參與人員以利報工及加班的申請作業,及參與人員以利報公及加班的申請作業,的參與人員以及報名及獲獎。申請作業,"[['及', '的', 0, 1], ['利', '及', 6, 7], ['公', '名', 8, 9], ['加', '獲', 10, 11], ['班', '獎', 11, 12], ['的', '。', 12, 13]]",0.05882352941176471,0.35294117647058826
13,好從今天開始大概有兩三星期的時間會在,那從今天開始大概有兩三個星期時間會在,「從今天開始大概有兩三個星期時間會在,"[['那', '「', 0, 1]]",0.16666666666666666,0.16666666666666666
