,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,請各單位在一月十四號中午之前提供獎勵事由回覆計管組報告完畢,請各單位在一月十四號呃中午之前提供假意是由回復計管組報告完畢,請各單位在一月十四號就中午之前提供資料事由回覆計管組報告完畢,"[['呃', '就', 10, 11], ['假', '資', 17, 18], ['意', '料', 18, 19], ['是', '事', 19, 20], ['復', '覆', 22, 23]]",0.1724137931034483,0.10344827586206896
1,那重點是在固定式起重機升降機壓力容器及高壓氣體鋼瓶等,那重點是在固定死起中機新講積壓力用請及高壓請去剛評備,那重點是在固定區域的較常的高壓應用以及成本要做好準備,"[['死', '區', 7, 8], ['起', '域', 8, 9], ['中', '的', 9, 10], ['機', '較', 10, 11], ['新', '常', 11, 12], ['講', '的', 12, 13], ['積', '高', 13, 14], ['力', '應', 15, 16], ['請', '以', 17, 18], ['高', '成', 19, 20], ['壓', '本', 20, 21], ['請', '要', 21, 22], ['去', '做', 22, 23], ['剛', '好', 23, 24], ['評', '準', 24, 25]]",0.4615384615384616,0.6538461538461539
2,受到管制禁止停車那請宣導同仁要配合而且要注意,受到管室盡止停冊那請宣導同仁要配合那且要注意,喔計管組禁止送送那請宣導同仁要配合而且要注意,"[['受', '喔', 0, 1], ['到', '計', 1, 2], ['室', '組', 3, 4], ['盡', '禁', 4, 5], ['停', '送', 6, 7], ['冊', '送', 7, 8], ['那', '而', 17, 18]]",0.18181818181818185,0.22727272727272727
3,一請各單位在一月二十八號前中午完成一月份的報工,第一請各單位在一月八號前中午完成業份的報工,第一請各單位在一月五號前中午完成月份的報工,"[['八', '五', 9, 10], ['業', '月', 16, 17]]",0.21739130434782608,0.21739130434782608
4,進行用戶接管的民挖作業那施工期間,進行用部呃結管林外作業那時光期間,進行院部的官校對外作業那春節期間,"[['用', '院', 2, 3], ['呃', '的', 4, 5], ['結', '官', 5, 6], ['管', '校', 6, 7], ['林', '對', 7, 8], ['時', '春', 12, 13], ['光', '節', 13, 14]]",0.5,0.5625
5,好先行檢查那第二件事是本院那個廢污水的接,阿先行檢查那第二件事是喔本院那個備屋水,好先行檢查那第二件事是阿本院那個廢污水,"[['阿', '好', 0, 1], ['喔', '阿', 11, 12], ['備', '廢', 16, 17], ['屋', '污', 17, 18]]",0.3,0.15
6,遙控組簡組長資材在資材組上線然後全員到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,遙控組簡組長資材在資材組上線然後人到齊報告完畢,"[['全', '人', 16, 17]]",0.041666666666666664,0.08333333333333333
7,呃院長室簽擬簽結的二級副主官以上長官的工作獎金,院長示簽以春節的二級副主管以上長官的工作獎金,院要求所跨二級副二級副主管以上長官的工作獎金,"[['長', '要', 1, 2], ['示', '求', 2, 3], ['簽', '所', 3, 4], ['以', '跨', 4, 5], ['春', '二', 5, 6], ['節', '級', 6, 7], ['的', '副', 7, 8]]",0.2608695652173913,0.391304347826087
8,一是一月十五及十六就是明後兩天院部工安室要到,一是一月十五即時六就行民後兩天令部工安室要到,一是一月十五星十六執行明後兩司令部工安室要到,"[['即', '星', 6, 7], ['時', '十', 7, 8], ['就', '執', 9, 10], ['民', '明', 11, 12], ['天', '司', 14, 15]]",0.2272727272727273,0.22727272727272727
9,今天也會到那個遙導控組天齊及資材組等單位,今天也會到那個遙導控組織實及指材組簡單位,今天也會到那個遙導控組天齊及資材組等單位,"[['織', '天', 11, 12], ['實', '齊', 12, 13], ['指', '資', 14, 15], ['簡', '等', 17, 18]]",0.2,0.0
10,本所來執行本年度第一季的作業安全督檢,本所來執行本年度必一記的阿這業安全督件,本所來執行本年度第一季的季作業安全督檢,"[['必', '第', 8, 9], ['記', '季', 10, 11], ['阿', '季', 12, 13], ['這', '作', 13, 14], ['件', '檢', 18, 19]]",0.2777777777777778,0.05555555555555555
11,那第二件事是那個本院的廢污水的接管工程,那第二件事謝個本院的費屋室的提管工程,那第二件事情那本院的建立案的存修工程,"[['謝', '情', 5, 6], ['個', '那', 6, 7], ['費', '建', 10, 11], ['屋', '立', 11, 12], ['室', '案', 12, 13], ['提', '存', 14, 15], ['管', '修', 15, 16]]",0.3157894736842105,0.3684210526315789
12,及參與人員以利報工及加班的申請作業,及參與人員以利報公及加班的申請作業,及參與人員以利報工及加班的申請作業,"[['公', '工', 8, 9]]",0.05882352941176471,0.0
13,好從今天開始大概有兩三星期的時間會在,那從今天開始大概有兩三個星期時間會在,那從今天開始大概有兩三個星期時間會在,[],0.16666666666666666,0.16666666666666666
14,電子所三零七三零九還有本所三一零館,呃電子所三零七三零九還有本所三一名館,呃電子所三零七三零九還有本所三個賓館,"[['一', '個', 15, 16], ['名', '賓', 16, 17]]",0.1176470588235294,0.17647058823529413
15,所長各位長官早工安組幾件事情提報,把所長各位長官早工安組阿幾件事性提報,呃所長各位長官早工安組有幾件事情提報,"[['把', '呃', 0, 1], ['阿', '有', 11, 12], ['性', '情', 15, 16]]",0.1875,0.125
16,承辦單位報告上次無管辦事項報告完畢,承辦單位報告上次無管辦事項報告完畢,承辦單位報告上次無管辦事項報告完畢,[],0.0,0.0
17,不要因為方便任意跨入管制區,好不要因為幫便院益畫入管制去,呃不要因為方副那個收入管制的,"[['好', '呃', 0, 1], ['幫', '方', 5, 6], ['便', '副', 6, 7], ['院', '那', 7, 8], ['益', '個', 8, 9], ['畫', '收', 9, 10], ['去', '的', 13, 14]]",0.4615384615384616,0.46153846153846156
18,所長副所長各位長官大家好召開第二次晨會,所長副所長各位長官大家好召開第二次晨會,所長副所長各位長官大家好召開第二次晨會,[],0.0,0.0
19,承辦單位報告所長好報告所長回報人數,承辦單位報告週長好報告所長回報人數,承辦單位報告所長好報告所長回報人數,"[['週', '所', 6, 7]]",0.05882352941176471,0.0
20,好附近館舍的部份停車格會陸續的,阿附近管舍部份評的可能回陸續的,好附關軟體部份陸續不能夠陸續的,"[['阿', '好', 0, 1], ['近', '關', 2, 3], ['管', '軟', 3, 4], ['舍', '體', 4, 5], ['評', '陸', 7, 8], ['的', '續', 8, 9], ['可', '不', 9, 10], ['回', '夠', 11, 12]]",0.5333333333333333,0.6
21,報告所長財務組本週無提報事項,報告所長財務組本週無提報事項,報告所長財務組本週無提報事項,[],0.0,0.0
22,而遭到糾舉還有影響安全,找到九據還有影響安全,九月霜劇仍將影響安班,"[['找', '九', 0, 1], ['到', '月', 1, 2], ['九', '霜', 2, 3], ['據', '劇', 3, 4], ['還', '仍', 4, 5], ['有', '將', 5, 6], ['全', '班', 9, 10]]",0.3636363636363637,0.7272727272727273
23,天頻吳主持人在計管組上線,天頻吳主持人在計管組上線,天頻吳主持人在計管組上線,[],0.0,0.0
24,精電組胡組長在電子戰組上線,精電組胡組長在電子戰組上線,精電組胡組長在電子戰組上線,[],0.0,0.0
25,由楊建文副主持人代理上線,由楊建文副主持人代理上線,由楊建文副主持人代理上線,[],0.0,0.0
26,那請相關單位配合那本組會在,那請相關單位配合那本組會在,那請相關單位配合那本組會在,[],0.0,0.0
27,全員到齊然後大成計畫,全元到齊然後大成計畫,乾元天齊然後大成計畫,"[['全', '乾', 0, 1], ['到', '天', 2, 3]]",0.1,0.3
28,好請財務組黃組長,好請財務組黃組長,好請財務組黃組長,[],0.0,0.0
29,所長好今天應到三十一員,所長好今天應到三十一員,所長好今天應到三十一員,[],0.0,0.0
30,好現在請鍾計管組鍾組長,好加請中計管組鍾組長,好請計算計管組鍾組長,"[['加', '請', 1, 2], ['請', '計', 2, 3], ['中', '算', 3, 4]]",0.2727272727272727,0.36363636363636365
31,好好請繼續,好好請繼續,好好請繼續,[],0.0,0.0
32,通信組導控組遙控組天頻專管組天齊專管組天齊系工組等六個單位,通信組導控組遙控組陳頻專管組天齊專管組天齊是工組本六個單位,通信組導控組遙控組天頻專管組天齊專管組天齊系工組等六個單位,"[['陳', '天', 9, 10], ['是', '系', 21, 22], ['本', '等', 24, 25]]",0.10344827586206896,0.0
33,將於明天明天由楊副所長帶隊前往辦理以上是一項報告報告完畢,將於明天喔你那有楊副所長拜對喔而前忙辦理第三十一項報告報告完畢,由於明天有派那個楊副所長針對喔目前在辦理這七十一項報告報告完畢,"[['將', '由', 0, 1], ['喔', '有', 4, 5], ['你', '派', 5, 6], ['有', '個', 7, 8], ['拜', '針', 12, 13], ['而', '目', 15, 16], ['忙', '在', 17, 18], ['第', '這', 20, 21], ['三', '七', 21, 22]]",0.42857142857142855,0.4642857142857143
34,將簽奉副所長核定之需求規劃書含審查表送本組續辦報告完畢,將簽工副所長核定資需求規劃書安審查表重本組續辦報告完畢,將簽奉副所長核定之需求規劃文含審查表送本組續辦報告完畢,"[['工', '奉', 2, 3], ['資', '之', 8, 9], ['書', '文', 13, 14], ['安', '含', 14, 15], ['重', '送', 18, 19]]",0.14814814814814814,0.037037037037037035
35,呃所長還有各位長官早安品後組本周有一項報告那配合那個,呃所長還有各位長官早安龍品後組本週的一項報告喔那跟那個,呃所長還有各位長官早安喔品後組本週有一項報告喔那請那個,"[['龍', '喔', 11, 12], ['的', '有', 17, 18], ['跟', '請', 24, 25]]",0.2307692307692308,0.19230769230769232
36,八年研究試製的急單提案請各個需求單位在一月三十一號之前,八年研究是製的及團提案請各需求單位在一月三十一要之前,八年研究試製的急單提案請各需求單位在一月三十一號之前,"[['是', '試', 4, 5], ['及', '急', 7, 8], ['團', '單', 8, 9], ['要', '號', 23, 24]]",0.1851851851851852,0.037037037037037035
37,一零八年一月十五日上線將本院定額微額履約,一零八年一月十五日上線將本院定額唯有履約,一零八年一月十五日上線將本院定額還款履約,"[['唯', '還', 16, 17], ['有', '款', 17, 18]]",0.1,0.1
38,第三件是奉旨示將安排所長在一月二十三的上的下星期,第三件事是奉解是將安排所長在一月二三點上下事蹟,第三件事是了就是將安排所長在一月十三號以前召開,"[['奉', '了', 5, 6], ['解', '就', 6, 7], ['二', '十', 16, 17], ['點', '號', 18, 19], ['上', '以', 19, 20], ['下', '前', 20, 21], ['事', '召', 21, 22], ['蹟', '開', 22, 23]]",0.3333333333333333,0.4583333333333333
39,那最後是所長剛指示的事項已洽詢該所的工安組組長,那最後謝所長剛解示的事項一搶詢開攝的工安組組長,那最後是所長剛指示的事項已洽詢該所的工安組組長,"[['謝', '是', 3, 4], ['解', '指', 7, 8], ['一', '已', 12, 13], ['搶', '洽', 13, 14], ['開', '該', 15, 16], ['攝', '所', 16, 17]]",0.2608695652173913,0.0
40,第一點本所各單位跨年度工令共有三十張分屬,第一點本所各單位跨年度工電共有三十張分屬,第一點本所各單位跨年度應管共有三十張分屬,"[['工', '應', 11, 12], ['電', '管', 12, 13]]",0.05,0.1
41,所長各位副所長各位長官大家早本週無提報事項報告完畢,所長各位副所長各位長官大家早本週無提報事項報告完畢,所長各位副所長各位長官大家早本週無提報事項報告完畢,[],0.0,0.0
42,三及一月三十下下星期三兩天執行春節前的,三七月三次向想下事十三兩天執行春節前的,三一月每天就是一月十三兩天執行春節前的,"[['七', '一', 1, 2], ['三', '每', 3, 4], ['次', '天', 4, 5], ['向', '就', 5, 6], ['想', '是', 6, 7], ['下', '一', 7, 8], ['事', '月', 8, 9]]",0.3684210526315789,0.42105263157894735
43,所長好各位長官大家好整規組本週一件事情提報那有關一百零,欸所長好各位長官大家好整規組本週一件事情提喔那有關一百零,欸所長好各位長官大家好整規組本週一件事情提報那有關一百零,"[['喔', '報', 21, 22]]",0.07407407407407407,0.037037037037037035
44,採購結果納入廠商評鑑管理請各單位配合報告完畢,採購結果納陸廠商評鑑管理請各單位配合報告完畢,採購結果納入廠商評鑑管理請各單位配合報告完畢,"[['陸', '入', 5, 6]]",0.045454545454545456,0.0
