,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,請各單位在一月十四號中午之前提供獎勵事由回覆計管組報告完畢,請各單位在一月十四號呃中午之前提供假意是由回復計管組報告完畢,請各單位在一月十四號呃中午之前提供獎勵事由回覆計管組報告完畢,"[['假', '獎', 17, 18], ['意', '勵', 18, 19], ['是', '事', 19, 20], ['復', '覆', 22, 23]]",0.1724137931034483,0.034482758620689655
1,那重點是在固定式起重機升降機壓力容器及高壓氣體鋼瓶等,那重點是在固定死起中機新講積壓力用請及高壓請去剛評備,那特點是在本週一號開始會進行送作測序那目前在完成那個,"[['重', '特', 1, 2], ['固', '本', 5, 6], ['定', '週', 6, 7], ['死', '一', 7, 8], ['起', '號', 8, 9], ['中', '開', 9, 10], ['機', '始', 10, 11], ['新', '會', 11, 12], ['講', '進', 12, 13], ['積', '行', 13, 14], ['壓', '送', 14, 15], ['力', '作', 15, 16], ['用', '測', 16, 17], ['請', '序', 17, 18], ['及', '那', 18, 19], ['高', '目', 19, 20], ['壓', '前', 20, 21], ['請', '在', 21, 22], ['去', '完', 22, 23], ['剛', '成', 23, 24], ['評', '那', 24, 25], ['備', '個', 25, 26]]",0.4615384615384616,0.8461538461538461
2,受到管制禁止停車那請宣導同仁要配合而且要注意,受到管室盡止停冊那請宣導同仁要配合那且要注意,在計管室辦做檢檢那請宣導同仁要配合而且要注意,"[['受', '在', 0, 1], ['到', '計', 1, 2], ['盡', '辦', 4, 5], ['止', '做', 5, 6], ['停', '檢', 6, 7], ['冊', '檢', 7, 8], ['那', '而', 17, 18]]",0.18181818181818185,0.3181818181818182
3,一請各單位在一月二十八號前中午完成一月份的報工,第一請各單位在一月八號前中午完成業份的報工,一一請各單位在一月八號前中午完成年報的報工,"[['第', '一', 0, 1], ['業', '年', 16, 17], ['份', '報', 17, 18]]",0.21739130434782608,0.2608695652173913
4,進行用戶接管的民挖作業那施工期間,進行用部呃結管林外作業那時光期間,進行交個彈護及補檢作業那施段期間,"[['用', '交', 2, 3], ['部', '個', 3, 4], ['呃', '彈', 4, 5], ['結', '護', 5, 6], ['管', '及', 6, 7], ['林', '補', 7, 8], ['外', '檢', 8, 9], ['時', '施', 12, 13], ['光', '段', 13, 14]]",0.5,0.5
5,好先行檢查那第二件事是本院那個廢污水的接,阿先行檢查那第二件事是喔本院那個備屋水,好先行檢查那第二件事是喔本院那個資資組,"[['阿', '好', 0, 1], ['備', '資', 16, 17], ['屋', '資', 17, 18], ['水', '組', 18, 19]]",0.3,0.3
6,遙控組簡組長資材在資材組上線然後全員到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,遙控組簡組長資材在資材組上線那後員到齊報告完畢,"[['然', '那', 14, 15], ['全', '員', 16, 17]]",0.041666666666666664,0.08333333333333333
7,呃院長室簽擬簽結的二級副主官以上長官的工作獎金,院長示簽以春節的二級副主管以上長官的工作獎金,呃公關領關主會的二級副主官以上長官的工作獎金,"[['院', '呃', 0, 1], ['長', '公', 1, 2], ['示', '關', 2, 3], ['簽', '領', 3, 4], ['以', '關', 4, 5], ['春', '主', 5, 6], ['節', '會', 6, 7], ['管', '官', 12, 13]]",0.2608695652173913,0.30434782608695654
8,一是一月十五及十六就是明後兩天院部工安室要到,一是一月十五即時六就行民後兩天令部工安室要到,一是一月十五及十六執行明後兩國防部工安室要到,"[['即', '及', 6, 7], ['時', '十', 7, 8], ['就', '執', 9, 10], ['民', '明', 11, 12], ['天', '國', 14, 15], ['令', '防', 15, 16]]",0.2272727272727273,0.18181818181818182
9,今天也會到那個遙導控組天齊及資材組等單位,今天也會到那個遙導控組織實及指材組簡單位,今天也會到那個遙資組通齊組及系材組等單位,"[['導', '資', 8, 9], ['控', '組', 9, 10], ['組', '通', 10, 11], ['織', '齊', 11, 12], ['實', '組', 12, 13], ['指', '系', 14, 15], ['簡', '等', 17, 18]]",0.2,0.25
10,本所來執行本年度第一季的作業安全督檢,本所來執行本年度必一記的阿這業安全督件,本所來執行那年工令標準的作作業執管規定,"[['本', '那', 5, 6], ['度', '工', 7, 8], ['必', '令', 8, 9], ['一', '標', 9, 10], ['記', '準', 10, 11], ['阿', '作', 12, 13], ['這', '作', 13, 14], ['安', '執', 15, 16], ['全', '管', 16, 17], ['督', '規', 17, 18], ['件', '定', 18, 19]]",0.2777777777777778,0.5555555555555556
11,那第二件事是那個本院的廢污水的接管工程,那第二件事謝個本院的費屋室的提管工程,那第二件事那個本院的廢建纜的接管工程,"[['謝', '那', 5, 6], ['費', '廢', 10, 11], ['屋', '建', 11, 12], ['室', '纜', 12, 13], ['提', '接', 14, 15]]",0.3157894736842105,0.15789473684210525
12,及參與人員以利報工及加班的申請作業,及參與人員以利報公及加班的申請作業,及參與人員以利報工及加班的申請作業,"[['公', '工', 8, 9]]",0.05882352941176471,0.0
13,好從今天開始大概有兩三星期的時間會在,那從今天開始大概有兩三個星期時間會在,那從今天開始大概有兩三個星期一間會在,"[['時', '一', 14, 15]]",0.16666666666666666,0.2222222222222222
14,電子所三零七三零九還有本所三一零館,呃電子所三零七三零九還有本所三一名館,呃電子所三十七三三九還有本所三個展位,"[['零', '十', 5, 6], ['零', '三', 8, 9], ['一', '個', 15, 16], ['名', '展', 16, 17], ['館', '位', 17, 18]]",0.1176470588235294,0.35294117647058826
15,所長各位長官早工安組幾件事情提報,把所長各位長官早工安組阿幾件事性提報,呃所長各位長官早工安組有幾件事情提報,"[['把', '呃', 0, 1], ['阿', '有', 11, 12], ['性', '情', 15, 16]]",0.1875,0.125
16,承辦單位報告上次無管辦事項報告完畢,承辦單位報告上次無管辦事項報告完畢,承辦單位報告上次無管辦事項報告完畢,[],0.0,0.0
17,不要因為方便任意跨入管制區,好不要因為幫便院益畫入管制去,那目長已議協調各計畫不要過去,"[['好', '那', 0, 1], ['不', '目', 1, 2], ['要', '長', 2, 3], ['因', '已', 3, 4], ['為', '議', 4, 5], ['幫', '協', 5, 6], ['便', '調', 6, 7], ['院', '各', 7, 8], ['益', '計', 8, 9], ['入', '不', 10, 11], ['管', '要', 11, 12], ['制', '過', 12, 13]]",0.4615384615384616,1.0769230769230769
18,所長副所長各位長官大家好召開第二次晨會,所長副所長各位長官大家好召開第二次晨會,所長副所長各位長官大家好召開第二次晨會,[],0.0,0.0
19,承辦單位報告所長好報告所長回報人數,承辦單位報告週長好報告所長回報人數,承辦單位報告所長好報告所長回報人數,"[['週', '所', 6, 7]]",0.05882352941176471,0.0
20,好附近館舍的部份停車格會陸續的,阿附近管舍部份評的可能回陸續的,好精算的這部測評喔我今天早班就,"[['阿', '好', 0, 1], ['附', '精', 1, 2], ['近', '算', 2, 3], ['管', '的', 3, 4], ['舍', '這', 4, 5], ['份', '測', 6, 7], ['的', '喔', 8, 9], ['可', '我', 9, 10], ['能', '今', 10, 11], ['回', '天', 11, 12], ['陸', '早', 12, 13], ['續', '班', 13, 14], ['的', '就', 14, 15]]",0.5333333333333333,0.9333333333333333
21,報告所長財務組本週無提報事項,報告所長財務組本週無提報事項,報告所長導管組本週無提報事項,"[['財', '導', 4, 5], ['務', '管', 5, 6]]",0.0,0.14285714285714285
22,而遭到糾舉還有影響安全,找到九據還有影響安全,千計次珊還有行何意議,"[['找', '千', 0, 1], ['到', '計', 1, 2], ['九', '次', 2, 3], ['據', '珊', 3, 4], ['影', '行', 6, 7], ['響', '何', 7, 8], ['安', '意', 8, 9], ['全', '議', 9, 10]]",0.3636363636363637,0.8181818181818182
23,天頻吳主持人在計管組上線,天頻吳主持人在計管組上線,天頻吳主持人在計管組上線,[],0.0,0.0
24,精電組胡組長在電子戰組上線,精電組胡組長在電子戰組上線,精電組胡組長在電子戰組上線,[],0.0,0.0
25,由楊建文副主持人代理上線,由楊建文副主持人代理上線,由楊建文副主持人代理上線,[],0.0,0.0
26,那請相關單位配合那本組會在,那請相關單位配合那本組會在,那請相關單位配合那本組會在,[],0.0,0.0
27,全員到齊然後大成計畫,全元到齊然後大成計畫,全員到齊然後大成計畫,"[['元', '員', 1, 2]]",0.1,0.0
28,好請財務組黃組長,好請財務組黃組長,好請財務組黃組長,[],0.0,0.0
29,所長好今天應到三十一員,所長好今天應到三十一員,所長好今天應到三十一員,[],0.0,0.0
30,好現在請鍾計管組鍾組長,好加請中計管組鍾組長,好我題請計計組鍾組長,"[['加', '我', 1, 2], ['請', '題', 2, 3], ['中', '請', 3, 4], ['管', '計', 5, 6]]",0.2727272727272727,0.36363636363636365
31,好好請繼續,好好請繼續,好好請他們,"[['繼', '他', 3, 4], ['續', '們', 4, 5]]",0.0,0.4
32,通信組導控組遙控組天頻專管組天齊專管組天齊系工組等六個單位,通信組導控組遙控組陳頻專管組天齊專管組天齊是工組本六個單位,通信組導控組遙控組天頻專管組天齊專管組天齊系工組等六個單位,"[['陳', '天', 9, 10], ['是', '系', 21, 22], ['本', '等', 24, 25]]",0.10344827586206896,0.0
33,將於明天明天由楊副所長帶隊前往辦理以上是一項報告報告完畢,將於明天喔你那有楊副所長拜對喔而前忙辦理第三十一項報告報告完畢,將於明天半午三請楊茂來禮拜四派員前往辦理提牌好一項報告報告完畢,"[['喔', '半', 4, 5], ['你', '午', 5, 6], ['那', '三', 6, 7], ['有', '請', 7, 8], ['副', '茂', 9, 10], ['所', '來', 10, 11], ['長', '禮', 11, 12], ['對', '四', 13, 14], ['喔', '派', 14, 15], ['而', '員', 15, 16], ['忙', '往', 17, 18], ['第', '提', 20, 21], ['三', '牌', 21, 22], ['十', '好', 22, 23]]",0.42857142857142855,0.5
34,將簽奉副所長核定之需求規劃書含審查表送本組續辦報告完畢,將簽工副所長核定資需求規劃書安審查表重本組續辦報告完畢,將簽奉副所長核定之需求規劃書含審表表送本組續辦報告完畢,"[['工', '奉', 2, 3], ['資', '之', 8, 9], ['安', '含', 14, 15], ['查', '表', 16, 17], ['重', '送', 18, 19]]",0.14814814814814814,0.037037037037037035
35,呃所長還有各位長官早安品後組本周有一項報告那配合那個,呃所長還有各位長官早安龍品後組本週的一項報告喔那跟那個,呃所長還有各位長官早安喔品後組本週有一項報告喔那請那個,"[['龍', '喔', 11, 12], ['的', '有', 17, 18], ['跟', '請', 24, 25]]",0.2307692307692308,0.19230769230769232
36,八年研究試製的急單提案請各個需求單位在一月三十一號之前,八年研究是製的及團提案請各需求單位在一月三十一要之前,八年以究新製的學究案案請各需求單位在一月三十一號之前,"[['研', '以', 2, 3], ['是', '新', 4, 5], ['及', '學', 7, 8], ['團', '究', 8, 9], ['提', '案', 9, 10], ['要', '號', 23, 24]]",0.1851851851851852,0.2222222222222222
37,一零八年一月十五日上線將本院定額微額履約,一零八年一月十五日上線將本院定額唯有履約,一一天年一月十五日上線將本院定額微額履約,"[['零', '一', 1, 2], ['八', '天', 2, 3], ['唯', '微', 16, 17], ['有', '額', 17, 18]]",0.1,0.1
38,第三件是奉旨示將安排所長在一月二十三的上的下星期,第三件事是奉解是將安排所長在一月二三點上下事蹟,第三件事是奉長示將安排所長在明週的核會上選參席,"[['解', '長', 6, 7], ['是', '示', 7, 8], ['一', '明', 14, 15], ['月', '週', 15, 16], ['二', '的', 16, 17], ['三', '核', 17, 18], ['點', '會', 18, 19], ['下', '選', 20, 21], ['事', '參', 21, 22], ['蹟', '席', 22, 23]]",0.3333333333333333,0.5
