,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,請各單位在一月十四號中午之前提供獎勵事由回覆計管組報告完畢,請各單位在一月十四號呃中午之前提供假意是由回復計管組報告完畢,請各單位在一月十四號的中午之前提供資料呃供回給計管組報告完畢,"[['呃', '的', 10, 11], ['假', '資', 17, 18], ['意', '料', 18, 19], ['是', '呃', 19, 20], ['由', '供', 20, 21], ['復', '給', 22, 23]]",0.1724137931034483,0.20689655172413793
1,那重點是在固定式起重機升降機壓力容器及高壓氣體鋼瓶等,那重點是在固定死起中機新講積壓力用請及高壓請去剛評備,那重討是在本是的各單案有什加的使用性很重煩的一個紀導,"[['點', '討', 2, 3], ['固', '本', 5, 6], ['定', '是', 6, 7], ['死', '的', 7, 8], ['起', '各', 8, 9], ['中', '單', 9, 10], ['機', '案', 10, 11], ['新', '有', 11, 12], ['講', '什', 12, 13], ['積', '加', 13, 14], ['壓', '的', 14, 15], ['力', '使', 15, 16], ['請', '性', 17, 18], ['及', '很', 18, 19], ['高', '重', 19, 20], ['壓', '煩', 20, 21], ['請', '的', 21, 22], ['去', '一', 22, 23], ['剛', '個', 23, 24], ['評', '紀', 24, 25], ['備', '導', 25, 26]]",0.4615384615384616,0.8461538461538461
2,受到管制禁止停車那請宣導同仁要配合而且要注意,受到管室盡止停冊那請宣導同仁要配合那且要注意,到計管室去行說務那請宣導同仁要配合而且要注意,"[['受', '到', 0, 1], ['到', '計', 1, 2], ['盡', '去', 4, 5], ['止', '行', 5, 6], ['停', '說', 6, 7], ['冊', '務', 7, 8], ['那', '而', 17, 18]]",0.18181818181818185,0.3181818181818182
3,一請各單位在一月二十八號前中午完成一月份的報工,第一請各單位在一月八號前中午完成業份的報工,所一請各單位在一月八號前中午完成佐工的報報,"[['第', '所', 0, 1], ['業', '佐', 16, 17], ['份', '工', 17, 18], ['工', '報', 20, 21]]",0.21739130434782608,0.30434782608695654
4,進行用戶接管的民挖作業那施工期間,進行用部呃結管林外作業那時光期間,全軍結行他個個護的作練那這段期間,"[['進', '全', 0, 1], ['行', '軍', 1, 2], ['用', '結', 2, 3], ['部', '行', 3, 4], ['呃', '他', 4, 5], ['結', '個', 5, 6], ['管', '個', 6, 7], ['林', '護', 7, 8], ['外', '的', 8, 9], ['業', '練', 10, 11], ['時', '這', 12, 13], ['光', '段', 13, 14]]",0.5,0.75
5,好先行檢查那第二件事是本院那個廢污水的接,阿先行檢查那第二件事是喔本院那個備屋水,好先行檢查那第二件事是那本院那個新感處,"[['阿', '好', 0, 1], ['喔', '那', 11, 12], ['備', '新', 16, 17], ['屋', '感', 17, 18], ['水', '處', 18, 19]]",0.3,0.3
6,遙控組簡組長資材在資材組上線然後全員到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,[],0.041666666666666664,0.041666666666666664
7,呃院長室簽擬簽結的二級副主官以上長官的工作獎金,院長示簽以春節的二級副主管以上長官的工作獎金,呃長官或上級官的二級副主官以上長官的工作獎金,"[['院', '呃', 0, 1], ['示', '官', 2, 3], ['簽', '或', 3, 4], ['以', '上', 4, 5], ['春', '級', 5, 6], ['節', '官', 6, 7], ['管', '官', 12, 13]]",0.2608695652173913,0.2608695652173913
8,一是一月十五及十六就是明後兩天院部工安室要到,一是一月十五即時六就行民後兩天令部工安室要到,一是一月十五及十六就是明後兩天院部工安室要到,"[['即', '及', 6, 7], ['時', '十', 7, 8], ['行', '是', 10, 11], ['民', '明', 11, 12], ['令', '院', 15, 16]]",0.2272727272727273,0.0
9,今天也會到那個遙導控組天齊及資材組等單位,今天也會到那個遙導控組織實及指材組簡單位,今天也會到那個遙材組組材組及資材組等單位,"[['導', '材', 8, 9], ['控', '組', 9, 10], ['織', '材', 11, 12], ['實', '組', 12, 13], ['指', '資', 14, 15], ['簡', '等', 17, 18]]",0.2,0.2
10,本所來執行本年度第一季的作業安全督檢,本所來執行本年度必一記的阿這業安全督件,本所來執行採年務第一季的工作業安全督檢,"[['本', '採', 5, 6], ['度', '務', 7, 8], ['必', '第', 8, 9], ['記', '季', 10, 11], ['阿', '工', 12, 13], ['這', '作', 13, 14], ['件', '檢', 18, 19]]",0.2777777777777778,0.16666666666666666
11,那第二件事是那個本院的廢污水的接管工程,那第二件事謝個本院的費屋室的提管工程,那第二件事那個本院的廢污案的接管工程,"[['謝', '那', 5, 6], ['費', '廢', 10, 11], ['屋', '污', 11, 12], ['室', '案', 12, 13], ['提', '接', 14, 15]]",0.3157894736842105,0.10526315789473684
12,及參與人員以利報工及加班的申請作業,及參與人員以利報公及加班的申請作業,及參與人員以利報工及加班的申請作業,"[['公', '工', 8, 9]]",0.05882352941176471,0.0
13,好從今天開始大概有兩三星期的時間會在,那從今天開始大概有兩三個星期時間會在,那從今天開始大概有兩三個星期時間會在,[],0.16666666666666666,0.16666666666666666
