,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,請各單位在一月十四號中午之前提供獎勵事由回覆計管組報告完畢,請各單位在一月十四號呃中午之前提供假意是由回復計管組報告完畢,請各單位在九月十四號的中午之前提供注期，否回報監畫局報告完畢,"[['一', '九', 5, 6], ['呃', '的', 10, 11], ['假', '注', 17, 18], ['意', '期', 18, 19], ['是', '，', 19, 20], ['由', '否', 20, 21], ['復', '報', 22, 23], ['計', '監', 23, 24], ['管', '畫', 24, 25], ['組', '局', 25, 26]]",0.1724137931034483,0.3448275862068966
1,那重點是在固定式起重機升降機壓力容器及高壓氣體鋼瓶等,那重點是在固定死起中機新講積壓力用請及高壓請去剛評備,但一點是不決定的機的重械累的的使，壓去減手用注做設。,"[['那', '但', 0, 1], ['重', '一', 1, 2], ['在', '不', 4, 5], ['固', '決', 5, 6], ['死', '的', 7, 8], ['起', '機', 8, 9], ['中', '的', 9, 10], ['機', '重', 10, 11], ['新', '械', 11, 12], ['講', '累', 12, 13], ['積', '的', 13, 14], ['壓', '的', 14, 15], ['力', '使', 15, 16], ['用', '，', 16, 17], ['請', '壓', 17, 18], ['及', '去', 18, 19], ['高', '減', 19, 20], ['壓', '手', 20, 21], ['請', '用', 21, 22], ['去', '注', 22, 23], ['剛', '做', 23, 24], ['評', '設', 24, 25], ['備', '。', 25, 26]]",0.4615384615384616,0.8846153846153846
2,受到管制禁止停車那請宣導同仁要配合而且要注意,受到管室盡止停冊那請宣導同仁要配合那且要注意,若託處理禁快注止，且領位同時要配合而也要注意,"[['受', '若', 0, 1], ['到', '託', 1, 2], ['管', '處', 2, 3], ['室', '理', 3, 4], ['盡', '禁', 4, 5], ['止', '快', 5, 6], ['停', '注', 6, 7], ['冊', '止', 7, 8], ['那', '，', 8, 9], ['請', '且', 9, 10], ['宣', '領', 10, 11], ['導', '位', 11, 12], ['仁', '時', 13, 14], ['那', '而', 17, 18], ['且', '也', 18, 19]]",0.18181818181818185,0.5909090909090909
3,一請各單位在一月二十八號前中午完成一月份的報工,第一請各單位在一月八號前中午完成業份的報工,十一，求單位在八月十號的中午完成月務的施名,"[['第', '十', 0, 1], ['請', '，', 2, 3], ['各', '求', 3, 4], ['一', '八', 7, 8], ['八', '十', 9, 10], ['前', '的', 11, 12], ['業', '月', 16, 17], ['份', '務', 17, 18], ['報', '施', 19, 20], ['工', '名', 20, 21]]",0.21739130434782608,0.4782608695652174
4,進行用戶接管的民挖作業那施工期間,進行用部呃結管林外作業那時光期間,在軍大水的水的以的作業的時的期。,"[['進', '在', 0, 1], ['行', '軍', 1, 2], ['用', '大', 2, 3], ['部', '水', 3, 4], ['呃', '的', 4, 5], ['結', '水', 5, 6], ['管', '的', 6, 7], ['林', '以', 7, 8], ['外', '的', 8, 9], ['那', '的', 11, 12], ['光', '的', 13, 14], ['間', '。', 15, 16]]",0.5,0.75
5,好先行檢查那第二件事是本院那個廢污水的接,阿先行檢查那第二件事是喔本院那個備屋水,要進生去查的第二件事是喔醫的那裝房用。,"[['阿', '要', 0, 1], ['先', '進', 1, 2], ['行', '生', 2, 3], ['檢', '去', 3, 4], ['那', '的', 5, 6], ['本', '醫', 12, 13], ['院', '的', 13, 14], ['個', '裝', 15, 16], ['備', '房', 16, 17], ['屋', '用', 17, 18], ['水', '。', 18, 19]]",0.3,0.7
6,遙控組簡組長資材在資材組上線然後全員到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,監材組的化的資材組資材上上，之後再組位報告完畢,"[['遙', '監', 0, 1], ['控', '材', 1, 2], ['簡', '的', 3, 4], ['組', '化', 4, 5], ['長', '的', 5, 6], ['在', '組', 8, 9], ['組', '上', 11, 12], ['線', '，', 13, 14], ['然', '之', 14, 15], ['全', '再', 16, 17], ['到', '組', 17, 18], ['齊', '位', 18, 19]]",0.041666666666666664,0.5416666666666666
7,呃院長室簽擬簽結的二級副主官以上長官的工作獎金,院長示簽以春節的二級副主管以上長官的工作獎金,市表給表年下定給二級為主管以上長官的工作獎金,"[['院', '市', 0, 1], ['長', '表', 1, 2], ['示', '給', 2, 3], ['簽', '表', 3, 4], ['以', '年', 4, 5], ['春', '下', 5, 6], ['節', '定', 6, 7], ['的', '給', 7, 8], ['副', '為', 10, 11]]",0.2608695652173913,0.4782608695652174
8,一是一月十五及十六就是明後兩天院部工安室要到,一是一月十五即時六就行民後兩天令部工安室要到,就年九月十五零十到日是，這是天全，保作都報求,"[['一', '就', 0, 1], ['是', '年', 1, 2], ['一', '九', 2, 3], ['即', '零', 6, 7], ['時', '十', 7, 8], ['六', '到', 8, 9], ['就', '日', 9, 10], ['行', '是', 10, 11], ['民', '，', 11, 12], ['後', '這', 12, 13], ['兩', '是', 13, 14], ['令', '全', 15, 16], ['部', '，', 16, 17], ['工', '保', 17, 18], ['安', '作', 18, 19], ['室', '都', 19, 20], ['要', '報', 20, 21], ['到', '求', 21, 22]]",0.2272727272727273,0.7272727272727273
9,今天也會到那個遙導控組天齊及資材組等單位,今天也會到那個遙導控組織實及指材組簡單位,今天我看把一個把控的制真以現導令的的單。,"[['也', '我', 2, 3], ['會', '看', 3, 4], ['到', '把', 4, 5], ['那', '一', 5, 6], ['遙', '把', 7, 8], ['導', '控', 8, 9], ['控', '的', 9, 10], ['組', '制', 10, 11], ['織', '真', 11, 12], ['實', '以', 12, 13], ['及', '現', 13, 14], ['指', '導', 14, 15], ['材', '令', 15, 16], ['組', '的', 16, 17], ['簡', '的', 17, 18], ['位', '。', 19, 20]]",0.2,0.8
