,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,請各單位在一月十四號中午之前提供獎勵事由回覆計管組報告完畢,請各單位在一月十四號呃中午之前提供假意是由回復計管組報告完畢,請各單位在一月十十號呃九午之前提供也就是說本文給本組報告完畢,"[['四', '十', 8, 9], ['中', '九', 11, 12], ['假', '也', 17, 18], ['意', '就', 18, 19], ['由', '說', 20, 21], ['回', '本', 21, 22], ['復', '文', 22, 23], ['計', '給', 23, 24], ['管', '本', 24, 25]]",0.1724137931034483,0.3793103448275862
1,那重點是在固定式起重機升降機壓力容器及高壓氣體鋼瓶等,那重點是在固定死起中機新講積壓力用請及高壓請去剛評備,那主其是現在在訓練線的學生積極生產在各時份接用剛剛的,"[['重', '主', 1, 2], ['點', '其', 2, 3], ['在', '現', 4, 5], ['固', '在', 5, 6], ['定', '在', 6, 7], ['死', '訓', 7, 8], ['起', '練', 8, 9], ['中', '線', 9, 10], ['機', '的', 10, 11], ['新', '學', 11, 12], ['講', '生', 12, 13], ['壓', '極', 14, 15], ['力', '生', 15, 16], ['用', '產', 16, 17], ['請', '在', 17, 18], ['及', '各', 18, 19], ['高', '時', 19, 20], ['壓', '份', 20, 21], ['請', '接', 21, 22], ['去', '用', 22, 23], ['評', '剛', 24, 25], ['備', '的', 25, 26]]",0.4615384615384616,0.9230769230769231
2,受到管制禁止停車那請宣導同仁要配合而且要注意,受到管室盡止停冊那請宣導同仁要配合那且要注意,就期管制就邊通離那請宣導同仁要配合那也要注意,"[['受', '就', 0, 1], ['到', '期', 1, 2], ['室', '制', 3, 4], ['盡', '就', 4, 5], ['止', '邊', 5, 6], ['停', '通', 6, 7], ['冊', '離', 7, 8], ['且', '也', 18, 19]]",0.18181818181818185,0.36363636363636365
3,一請各單位在一月二十八號前中午完成一月份的報工,第一請各單位在一月八號前中午完成業份的報工,所以請各單位在一月五號前能夠完成庫款的清點,"[['第', '所', 0, 1], ['一', '以', 1, 2], ['八', '五', 9, 10], ['中', '能', 12, 13], ['午', '夠', 13, 14], ['業', '庫', 16, 17], ['份', '款', 17, 18], ['報', '清', 19, 20], ['工', '點', 20, 21]]",0.21739130434782608,0.5217391304347826
4,進行用戶接管的民挖作業那施工期間,進行用部呃結管林外作業那時光期間,進行了部隊隊隊式防灘隊的火戰演測,"[['用', '了', 2, 3], ['呃', '隊', 4, 5], ['結', '隊', 5, 6], ['管', '隊', 6, 7], ['林', '式', 7, 8], ['外', '防', 8, 9], ['作', '灘', 9, 10], ['業', '隊', 10, 11], ['那', '的', 11, 12], ['時', '火', 12, 13], ['光', '戰', 13, 14], ['期', '演', 14, 15], ['間', '測', 15, 16]]",0.5,0.875
5,好先行檢查那第二件事是本院那個廢污水的接,阿先行檢查那第二件事是喔本院那個備屋水,來就的說查那第二件事是說本院那個智年所,"[['阿', '來', 0, 1], ['先', '就', 1, 2], ['行', '的', 2, 3], ['檢', '說', 3, 4], ['喔', '說', 11, 12], ['備', '智', 16, 17], ['屋', '年', 17, 18], ['水', '所', 18, 19]]",0.3,0.5
6,遙控組簡組長資材在資材組上線然後全員到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,遙那組簡組長請材在資材組上線然後全員齊報告完畢,"[['控', '那', 1, 2], ['資', '請', 6, 7], ['到', '員', 17, 18]]",0.041666666666666664,0.125
7,呃院長室簽擬簽結的二級副主官以上長官的工作獎金,院長示簽以春節的二級副主管以上長官的工作獎金,還長主持會後室的那個副主官以上長官的休作狀制,"[['院', '還', 0, 1], ['示', '主', 2, 3], ['簽', '持', 3, 4], ['以', '會', 4, 5], ['春', '後', 5, 6], ['節', '室', 6, 7], ['二', '那', 8, 9], ['級', '個', 9, 10], ['管', '官', 12, 13], ['工', '休', 18, 19], ['獎', '狀', 20, 21], ['金', '制', 21, 22]]",0.2608695652173913,0.5217391304347826
8,一是一月十五及十六就是明後兩天院部工安室要到,一是一月十五即時六就行民後兩天令部工安室要到,一是一月十五號喔也就是明後兩天財部的核次要到,"[['即', '號', 6, 7], ['時', '喔', 7, 8], ['六', '也', 8, 9], ['行', '是', 10, 11], ['民', '明', 11, 12], ['令', '財', 15, 16], ['工', '的', 17, 18], ['安', '核', 18, 19], ['室', '次', 19, 20]]",0.2272727272727273,0.3181818181818182
9,今天也會到那個遙導控組天齊及資材組等單位,今天也會到那個遙導控組織實及指材組簡單位,今天也會到那個遙資控組那實施遙材組簡組長,"[['導', '資', 8, 9], ['織', '那', 11, 12], ['及', '施', 13, 14], ['指', '遙', 14, 15], ['單', '組', 18, 19], ['位', '長', 19, 20]]",0.2,0.4
10,本所來執行本年度第一季的作業安全督檢,本所來執行本年度必一記的阿這業安全督件,本所來執行本年度第一季的作作的安全檢護,"[['必', '第', 8, 9], ['記', '季', 10, 11], ['阿', '作', 12, 13], ['這', '作', 13, 14], ['業', '的', 14, 15], ['督', '檢', 17, 18], ['件', '護', 18, 19]]",0.2777777777777778,0.2222222222222222
11,那第二件事是那個本院的廢污水的接管工程,那第二件事謝個本院的費屋室的提管工程,那第二件事情是本年的第一次的清檢會會,"[['謝', '情', 5, 6], ['個', '是', 6, 7], ['院', '年', 8, 9], ['費', '第', 10, 11], ['屋', '一', 11, 12], ['室', '次', 12, 13], ['提', '清', 14, 15], ['管', '檢', 15, 16], ['工', '會', 16, 17], ['程', '會', 17, 18]]",0.3157894736842105,0.5789473684210527
12,及參與人員以利報工及加班的申請作業,及參與人員以利報公及加班的申請作業,及參與人員辦利報工及參後的申工作業,"[['以', '辦', 5, 6], ['公', '工', 8, 9], ['加', '參', 10, 11], ['班', '後', 11, 12], ['請', '工', 14, 15]]",0.05882352941176471,0.23529411764705882
13,好從今天開始大概有兩三星期的時間會在,那從今天開始大概有兩三個星期時間會在,那從今天開始大概有兩三個月期時間會在,"[['星', '月', 12, 13]]",0.16666666666666666,0.2222222222222222
14,電子所三零七三零九還有本所三一零館,呃電子所三零七三零九還有本所三一名館,光電電館三三電館本組還有本所電書館廖,"[['呃', '光', 0, 1], ['子', '電', 2, 3], ['所', '館', 3, 4], ['零', '三', 5, 6], ['七', '電', 6, 7], ['三', '館', 7, 8], ['零', '本', 8, 9], ['九', '組', 9, 10], ['三', '電', 14, 15], ['一', '書', 15, 16], ['名', '館', 16, 17], ['館', '廖', 17, 18]]",0.1176470588235294,0.7058823529411765
15,所長各位長官早工安組幾件事情提報,把所長各位長官早工安組阿幾件事性提報,呃所長各位長官早工安組阿幾件事情提報,"[['把', '呃', 0, 1], ['性', '情', 15, 16]]",0.1875,0.125
16,承辦單位報告上次無管辦事項報告完畢,承辦單位報告上次無管辦事項報告完畢,承辦單位報告上次無管辦事項報告完畢,[],0.0,0.0
17,不要因為方便任意跨入管制區,好不要因為幫便院益畫入管制去,還是要讓讓太便利家進入行制區,"[['好', '還', 0, 1], ['不', '是', 1, 2], ['因', '讓', 3, 4], ['為', '讓', 4, 5], ['幫', '太', 5, 6], ['院', '利', 7, 8], ['益', '家', 8, 9], ['畫', '進', 9, 10], ['管', '行', 11, 12], ['去', '區', 13, 14]]",0.4615384615384616,0.6923076923076923
18,所長副所長各位長官大家好召開第二次晨會,所長副所長各位長官大家好召開第二次晨會,所長副所長各位長官大家好召開第二次晨會,[],0.0,0.0
19,承辦單位報告所長好報告所長回報人數,承辦單位報告週長好報告所長回報人數,承辦單位報告主長好報告所長回報人數,"[['週', '主', 6, 7]]",0.05882352941176471,0.058823529411764705
20,好附近館舍的部份停車格會陸續的,阿附近管舍部份評的可能回陸續的,阿因為現在還在國委部在會收式的,"[['附', '因', 1, 2], ['近', '為', 2, 3], ['管', '現', 3, 4], ['舍', '在', 4, 5], ['部', '還', 5, 6], ['份', '在', 6, 7], ['評', '國', 7, 8], ['的', '委', 8, 9], ['可', '部', 9, 10], ['能', '在', 10, 11], ['回', '會', 11, 12], ['陸', '收', 12, 13], ['續', '式', 13, 14]]",0.5333333333333333,0.8666666666666667
21,報告所長財務組本週無提報事項,報告所長財務組本週無提報事項,報告所長財信組本週無提報事項,"[['務', '信', 5, 6]]",0.0,0.07142857142857142
22,而遭到糾舉還有影響安全,找到九據還有影響安全,他個人盤中有五十的買,"[['找', '他', 0, 1], ['到', '個', 1, 2], ['九', '人', 2, 3], ['據', '盤', 3, 4], ['還', '中', 4, 5], ['影', '五', 6, 7], ['響', '十', 7, 8], ['安', '的', 8, 9], ['全', '買', 9, 10]]",0.3636363636363637,0.9090909090909091
23,天頻吳主持人在計管組上線,天頻吳主持人在計管組上線,天頻吳主持人在計議組上線,"[['管', '議', 8, 9]]",0.0,0.08333333333333333
24,精電組胡組長在電子戰組上線,精電組胡組長在電子戰組上線,精電組胡組長在電電中組上線,"[['子', '電', 8, 9], ['戰', '中', 9, 10]]",0.0,0.15384615384615385
25,由楊建文副主持人代理上線,由楊建文副主持人代理上線,由楊科文副組計組代理上線,"[['建', '科', 2, 3], ['主', '組', 5, 6], ['持', '計', 6, 7], ['人', '組', 7, 8]]",0.0,0.3333333333333333
26,那請相關單位配合那本組會在,那請相關單位配合那本組會在,那請相關單位配合那本組會在,[],0.0,0.0
27,全員到齊然後大成計畫,全元到齊然後大成計畫,全面檢示然後大成計畫,"[['元', '面', 1, 2], ['到', '檢', 2, 3], ['齊', '示', 3, 4]]",0.1,0.3
28,好請財務組黃組長,好請財務組黃組長,好請財務組黃組長,[],0.0,0.0
29,所長好今天應到三十一員,所長好今天應到三十一員,所長好今天應到三十一員,[],0.0,0.0
30,好現在請鍾計管組鍾組長,好加請中計管組鍾組長,好請請計計管組鍾組長,"[['加', '請', 1, 2], ['中', '計', 3, 4]]",0.2727272727272727,0.2727272727272727
31,好好請繼續,好好請繼續,好來請說說,"[['好', '來', 1, 2], ['繼', '說', 3, 4], ['續', '說', 4, 5]]",0.0,0.6
32,通信組導控組遙控組天頻專管組天齊專管組天齊系工組等六個單位,通信組導控組遙控組陳頻專管組天齊專管組天齊是工組本六個單位,計別組通控組遙控組天頻遙管組天齊專管組天齊系工組等六個專域,"[['通', '計', 0, 1], ['信', '別', 1, 2], ['導', '通', 3, 4], ['陳', '天', 9, 10], ['專', '遙', 11, 12], ['是', '系', 21, 22], ['本', '等', 24, 25], ['單', '專', 27, 28], ['位', '域', 28, 29]]",0.10344827586206896,0.20689655172413793
33,將於明天明天由楊副所長帶隊前往辦理以上是一項報告報告完畢,將於明天喔你那有楊副所長拜對喔而前忙辦理第三十一項報告報告完畢,將於明天喔由那個楊副所要參訪我完成聯協以上上十一項報告報告完畢,"[['你', '由', 5, 6], ['有', '個', 7, 8], ['長', '要', 11, 12], ['拜', '參', 12, 13], ['對', '訪', 13, 14], ['喔', '我', 14, 15], ['而', '完', 15, 16], ['前', '成', 16, 17], ['忙', '聯', 17, 18], ['辦', '協', 18, 19], ['理', '以', 19, 20], ['第', '上', 20, 21], ['三', '上', 21, 22]]",0.42857142857142855,0.5
34,將簽奉副所長核定之需求規劃書含審查表送本組續辦報告完畢,將簽工副所長核定資需求規劃書安審查表重本組續辦報告完畢,將在工作會上核供資料的協明書以排統點送本組收送報告完畢,"[['簽', '在', 1, 2], ['副', '作', 3, 4], ['所', '會', 4, 5], ['長', '上', 5, 6], ['定', '供', 7, 8], ['需', '料', 9, 10], ['求', '的', 10, 11], ['規', '協', 11, 12], ['劃', '明', 12, 13], ['安', '以', 14, 15], ['審', '排', 15, 16], ['查', '統', 16, 17], ['表', '點', 17, 18], ['重', '送', 18, 19], ['續', '收', 21, 22], ['辦', '送', 22, 23]]",0.14814814814814814,0.6296296296296297
35,呃所長還有各位長官早安品後組本周有一項報告那配合那個,呃所長還有各位長官早安龍品後組本週的一項報告喔那跟那個,呃所長還有各位長官早家好品後組本週有一項報告喔那請那個,"[['安', '家', 10, 11], ['龍', '好', 11, 12], ['的', '有', 17, 18], ['跟', '請', 24, 25]]",0.2307692307692308,0.23076923076923078
36,八年研究試製的急單提案請各個需求單位在一月三十一號之前,八年研究是製的及團提案請各需求單位在一月三十一要之前,一年一年沿用的呃連隊案請各需求單位在一月三十一號完前,"[['八', '一', 0, 1], ['研', '一', 2, 3], ['究', '年', 3, 4], ['是', '沿', 4, 5], ['製', '用', 5, 6], ['及', '呃', 7, 8], ['團', '連', 8, 9], ['提', '隊', 9, 10], ['要', '號', 23, 24], ['之', '完', 24, 25]]",0.1851851851851852,0.37037037037037035
37,一零八年一月十五日上線將本院定額微額履約,一零八年一月十五日上線將本院定額唯有履約,自系統自一月十五日上線將本行定額供購一案,"[['一', '自', 0, 1], ['零', '系', 1, 2], ['八', '統', 2, 3], ['年', '自', 3, 4], ['院', '行', 13, 14], ['唯', '供', 16, 17], ['有', '購', 17, 18], ['履', '一', 18, 19], ['約', '案', 19, 20]]",0.1,0.45
38,第三件是奉旨示將安排所長在一月二十三的上的下星期,第三件事是奉解是將安排所長在一月二三點上下事蹟,第三件事是奉指示呃安排所所在一月二三號的下午將,"[['解', '指', 6, 7], ['是', '示', 7, 8], ['將', '呃', 8, 9], ['長', '所', 12, 13], ['點', '號', 18, 19], ['上', '的', 19, 20], ['事', '午', 21, 22], ['蹟', '將', 22, 23]]",0.3333333333333333,0.375
39,那最後是所長剛指示的事項已洽詢該所的工安組組長,那最後謝所長剛解示的事項一搶詢開攝的工安組組長,那就是說所長剛剛示的時項一定要問電龍那的湯組長,"[['最', '就', 1, 2], ['後', '是', 2, 3], ['謝', '說', 3, 4], ['解', '剛', 7, 8], ['事', '時', 10, 11], ['搶', '定', 13, 14], ['詢', '要', 14, 15], ['開', '問', 15, 16], ['攝', '電', 16, 17], ['的', '龍', 17, 18], ['工', '那', 18, 19], ['安', '的', 19, 20], ['組', '湯', 20, 21]]",0.2608695652173913,0.6086956521739131
40,第一點本所各單位跨年度工令共有三十張分屬,第一點本所各單位跨年度工電共有三十張分屬,第一點本所各單位全所員工所共有三十張分屬,"[['跨', '全', 8, 9], ['年', '所', 9, 10], ['度', '員', 10, 11], ['電', '所', 12, 13]]",0.05,0.2
41,所長各位副所長各位長官大家早本週無提報事項報告完畢,所長各位副所長各位長官大家早本週無提報事項報告完畢,所長各位副官長各位長官大家早本週無提報事項報告完畢,"[['所', '官', 5, 6]]",0.0,0.04
42,三及一月三十下下星期三兩天執行春節前的,三七月三次向想下事十三兩天執行春節前的,他二月五日向記者證證三十年前是兩年前的,"[['三', '他', 0, 1], ['七', '二', 1, 2], ['三', '五', 3, 4], ['次', '日', 4, 5], ['想', '記', 6, 7], ['下', '者', 7, 8], ['事', '證', 8, 9], ['十', '證', 9, 10], ['兩', '十', 11, 12], ['天', '年', 12, 13], ['執', '前', 13, 14], ['行', '是', 14, 15], ['春', '兩', 15, 16], ['節', '年', 16, 17]]",0.3684210526315789,0.8421052631578947
43,所長好各位長官大家好整規組本週一件事情提報那有關一百零,欸所長好各位長官大家好整規組本週一件事情提喔那有關一百零,欸所長好各位長官大家好整規組本週一件事情提報那個兩p#的i百零,"[['喔', '報', 21, 22], ['有', '個', 23, 24], ['關', '兩', 24, 25], ['一', 'pr', 25, 26], ['百', '##i', 26, 27], ['零', '的', 27, 28]]",0.07407407407407407,0.25925925925925924
