,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,請各單位在一月十四號中午之前提供獎勵事由回覆計管組報告完畢,請各單位在一月十四號呃中午之前提供假意是由回復計管組報告完畢,請各單位在一月十四號的中午之前提供誠組事由回覆計管組報告完畢,"[['呃', '的', 10, 11], ['假', '誠', 17, 18], ['意', '組', 18, 19], ['是', '事', 19, 20], ['復', '覆', 22, 23]]",0.1724137931034483,0.10344827586206896
1,那重點是在固定式起重機升降機壓力容器及高壓氣體鋼瓶等,那重點是在固定死起中機新講積壓力用請及高壓請去剛評備,那重點是在固資式號重心上機行體作外線做解科機提做整正,"[['定', '資', 6, 7], ['死', '式', 7, 8], ['起', '號', 8, 9], ['中', '重', 9, 10], ['機', '心', 10, 11], ['新', '上', 11, 12], ['講', '機', 12, 13], ['積', '行', 13, 14], ['壓', '體', 14, 15], ['力', '作', 15, 16], ['用', '外', 16, 17], ['請', '線', 17, 18], ['及', '做', 18, 19], ['高', '解', 19, 20], ['壓', '科', 20, 21], ['請', '機', 21, 22], ['去', '提', 22, 23], ['剛', '做', 23, 24], ['評', '整', 24, 25], ['備', '正', 25, 26]]",0.4615384615384616,0.6923076923076923
2,受到管制禁止停車那請宣導同仁要配合而且要注意,受到管室盡止停冊那請宣導同仁要配合那且要注意,在指管制禁量管車那請宣導同仁要配合而且要注意,"[['受', '在', 0, 1], ['到', '指', 1, 2], ['室', '制', 3, 4], ['盡', '禁', 4, 5], ['止', '量', 5, 6], ['停', '管', 6, 7], ['冊', '車', 7, 8], ['那', '而', 17, 18]]",0.18181818181818185,0.18181818181818182
3,一請各單位在一月二十八號前中午完成一月份的報工,第一請各單位在一月八號前中午完成業份的報工,第一請各單位在一月十號前中午完成一務的報工,"[['八', '十', 9, 10], ['業', '一', 16, 17], ['份', '務', 17, 18]]",0.21739130434782608,0.21739130434782608
4,進行用戶接管的民挖作業那施工期間,進行用部呃結管林外作業那時光期間,進行院戶的接合委用作業那春段期間,"[['用', '院', 2, 3], ['部', '戶', 3, 4], ['呃', '的', 4, 5], ['結', '接', 5, 6], ['管', '合', 6, 7], ['林', '委', 7, 8], ['外', '用', 8, 9], ['時', '春', 12, 13], ['光', '段', 13, 14]]",0.5,0.5
5,好先行檢查那第二件事是本院那個廢污水的接,阿先行檢查那第二件事是喔本院那個備屋水,好先行檢查那第二件事是在本院那個廢用房,"[['阿', '好', 0, 1], ['喔', '在', 11, 12], ['備', '廢', 16, 17], ['屋', '用', 17, 18], ['水', '房', 18, 19]]",0.3,0.25
6,遙控組簡組長資材在資材組上線然後全員到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,遙控組簡組長資材在資材組上線然後組到齊報告完畢,"[['全', '組', 16, 17]]",0.041666666666666664,0.08333333333333333
7,呃院長室簽擬簽結的二級副主官以上長官的工作獎金,院長示簽以春節的二級副主管以上長官的工作獎金,院長將簽發簽結前二級副主管以上長官的工作獎金,"[['示', '將', 2, 3], ['以', '發', 4, 5], ['春', '簽', 5, 6], ['節', '結', 6, 7], ['的', '前', 7, 8]]",0.2608695652173913,0.21739130434782608
8,一是一月十五及十六就是明後兩天院部工安室要到,一是一月十五即時六就行民後兩天令部工安室要到,一是一月十五的十差就是明後兩司院部工安室要到,"[['即', '的', 6, 7], ['時', '十', 7, 8], ['六', '差', 8, 9], ['行', '是', 10, 11], ['民', '明', 11, 12], ['天', '司', 14, 15], ['令', '院', 15, 16]]",0.2272727272727273,0.13636363636363635
9,今天也會到那個遙導控組天齊及資材組等單位,今天也會到那個遙導控組織實及指材組簡單位,今天也會到那個遙導控組水以及資管組等單位,"[['織', '水', 11, 12], ['實', '以', 12, 13], ['指', '資', 14, 15], ['材', '管', 15, 16], ['簡', '等', 17, 18]]",0.2,0.15
