,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,請各單位在一月十四號中午之前提供獎勵事由回覆計管組報告完畢,請各單位在一月十四號呃中午之前提供假意是由回復計管組報告完畢,中各位單主月本號四十之十十十之供提個上的否組本組管的副的畢完,"[['請', '中', 0, 1], ['在', '主', 3, 4], ['一', '本', 4, 5], ['呃', '之', 6, 7], ['中', '十', 7, 8], ['午', '十', 8, 9], ['前', '十', 9, 10], ['假', '上', 10, 11], ['是', '的', 11, 12], ['意', '個', 11, 12], ['由', '否', 12, 13], ['回', '本', 13, 14], ['計', '的', 14, 15], ['復', '組', 14, 15], ['報', '的', 15, 16], ['告', '副', 16, 17]]",0.1724137931034483,0.8620689655172413
1,那重點是在固定式起重機升降機壓力容器及高壓氣體鋼瓶等,那重點是在固定死起中機新講積壓力用請及高壓請去剛評備,中們我是在年今資域器重的的增性體有大各掌時力機做案執,"[['那', '中', 0, 1], ['重', '我', 1, 2], ['點', '們', 2, 3], ['固', '今', 4, 5], ['死', '資', 5, 6], ['定', '年', 5, 6], ['起', '域', 6, 7], ['中', '重', 7, 8], ['新', '的', 8, 9], ['機', '器', 8, 9], ['講', '增', 9, 10], ['壓', '體', 10, 11], ['積', '的', 10, 11], ['用', '大', 11, 12], ['力', '性', 11, 12], ['及', '各', 12, 13], ['請', '有', 12, 13], ['高', '時', 13, 14], ['請', '機', 14, 15], ['壓', '掌', 14, 15], ['剛', '做', 15, 16], ['去', '力', 15, 16], ['評', '執', 16, 17], ['備', '案', 17, 18]]",0.4615384615384616,0.9230769230769231
2,受到管制禁止停車那請宣導同仁要配合而且要注意,受到管室盡止停冊那請宣導同仁要配合那且要注意,國在國一安的線的那另位各仁同再幫配那個要意注,"[['受', '在', 0, 1], ['管', '一', 1, 2], ['到', '國', 1, 2], ['盡', '的', 2, 3], ['室', '國', 2, 3], ['停', '的', 3, 4], ['止', '安', 3, 4], ['冊', '線', 4, 5], ['請', '另', 5, 6], ['宣', '各', 6, 7], ['導', '位', 7, 8], ['要', '再', 8, 9], ['合', '幫', 10, 11], ['且', '個', 11, 12]]",0.18181818181818185,0.8636363636363636
3,一請各單位在一月二十八號前中午完成一月份的報工,第一請各單位在一月八號前中午完成業份的報工,一中局各位單主月一號八前成完十將卷送的工簽,"[['第', '中', 0, 1], ['請', '局', 1, 2], ['在', '主', 4, 5], ['中', '完', 8, 9], ['完', '將', 9, 10], ['午', '成', 9, 10], ['業', '送', 10, 11], ['成', '十', 10, 11], ['份', '卷', 11, 12], ['報', '簽', 12, 13]]",0.21739130434782608,0.6956521739130435
4,進行用戶接管的民挖作業那施工期間,進行用部呃結管林外作業那時光期間,國在一了分分分的路案購那們本證部,"[['進', '在', 0, 1], ['用', '了', 1, 2], ['行', '國', 1, 2], ['呃', '分', 2, 3], ['部', '一', 2, 3], ['林', '的', 3, 4], ['結', '分', 3, 4], ['外', '路', 4, 5], ['管', '分', 4, 5], ['作', '購', 5, 6], ['業', '案', 6, 7], ['時', '本', 7, 8], ['期', '部', 8, 9], ['光', '們', 8, 9], ['間', '證', 9, 10]]",0.5,0.9375
5,好先行檢查那第二件事是本院那個廢污水的接,阿先行檢查那第二件事是喔本院那個備屋水,一國中行進那們第件事是本院本那個喔財水,"[['阿', '中', 0, 1], ['檢', '進', 1, 2], ['先', '國', 1, 2], ['查', '行', 2, 3], ['行', '一', 2, 3], ['二', '們', 4, 5], ['喔', '本', 7, 8], ['備', '水', 11, 12], ['屋', '財', 12, 13], ['水', '喔', 13, 14]]",0.3,0.6
6,遙控組簡組長資材在資材組上線然後全員到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,一國在簡長組報在在組材資線上後然在就員告報畢完,"[['遙', '在', 0, 1], ['控', '國', 1, 2], ['組', '一', 2, 3], ['資', '在', 3, 4], ['材', '報', 4, 5], ['全', '在', 8, 9], ['到', '員', 9, 10], ['齊', '就', 10, 11]]",0.041666666666666664,0.7083333333333334
7,呃院長室簽擬簽結的二級副主官以上長官的工作獎金,院長示簽以春節的二級副主管以上長官的工作獎金,國在別也的就後期間期管位主長的官長的導獎金獎,"[['院', '在', 0, 1], ['示', '也', 1, 2], ['長', '國', 1, 2], ['以', '的', 2, 3], ['簽', '別', 2, 3], ['春', '後', 3, 4], ['的', '期', 4, 5], ['節', '就', 4, 5], ['二', '期', 5, 6], ['副', '主', 6, 7], ['級', '間', 6, 7], ['以', '的', 7, 8], ['主', '位', 7, 8], ['上', '長', 8, 9], ['工', '獎', 10, 11], ['作', '導', 11, 12]]",0.2608695652173913,0.8260869565217391
8,一是一月十五及十六就是明後兩天院部工安室要到,一是一月十五即時六就行民後兩天令部工安室要到,在是進促二十到號起十是那眾組天有的行處門執到,"[['一', '在', 0, 1], ['一', '促', 2, 3], ['月', '進', 3, 4], ['即', '號', 4, 5], ['五', '二', 4, 5], ['六', '起', 5, 6], ['時', '到', 5, 6], ['就', '十', 6, 7], ['行', '是', 7, 8], ['民', '那', 8, 9], ['後', '眾', 9, 10], ['兩', '組', 10, 11], ['令', '的', 12, 13], ['工', '門', 13, 14], ['部', '有', 13, 14], ['要', '執', 14, 15], ['安', '處', 14, 15], ['室', '行', 15, 16]]",0.2272727272727273,0.8181818181818182
9,今天也會到那個遙導控組天齊及資材組等單位,今天也會到那個遙導控組織實及指材組簡單位,國中是會有那個中六資大組這施個水組的長組,"[['今', '中', 0, 1], ['也', '是', 1, 2], ['天', '國', 1, 2], ['到', '有', 3, 4], ['遙', '資', 6, 7], ['導', '六', 7, 8], ['實', '這', 8, 9], ['織', '大', 8, 9], ['控', '中', 8, 9], ['及', '施', 9, 10], ['指', '水', 10, 11], ['材', '個', 11, 12], ['簡', '的', 12, 13], ['單', '組', 13, 14], ['位', '長', 14, 15]]",0.2,0.8
