,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,請各單位在一月十四號中午之前提供獎勵事由回覆計管組報告完畢,請各單位在一月十四號呃中午之前提供假意是由回復計管組報告完畢,請各單位在一月十四號呃中午之前提供假意是由回覆計管組報告完畢,"[['復', '覆', 22, 23]]",0.1724137931034483,0.13793103448275862
1,那重點是在固定式起重機升降機壓力容器及高壓氣體鋼瓶等,那重點是在固定死起中機新講積壓力用請及高壓請去剛評備,那重點是在固定死起重機新講積壓力用請及高壓請去剛評備,"[['中', '重', 9, 10]]",0.4615384615384616,0.4230769230769231
2,受到管制禁止停車那請宣導同仁要配合而且要注意,受到管室盡止停冊那請宣導同仁要配合那且要注意,受到管室禁止停冊那請宣導同仁要配合那且要注意,"[['盡', '禁', 4, 5]]",0.18181818181818185,0.13636363636363635
3,一請各單位在一月二十八號前中午完成一月份的報工,第一請各單位在一月八號前中午完成業份的報工,第一請各單位在一月八號前中午完成業份的報工,[],0.21739130434782608,0.21739130434782608
4,進行用戶接管的民挖作業那施工期間,進行用部呃結管林外作業那時光期間,進行用部呃接管林外作業那時光期間,"[['結', '接', 5, 6]]",0.5,0.4375
5,好先行檢查那第二件事是本院那個廢污水的接,阿先行檢查那第二件事是喔本院那個備屋水,阿先行檢查那第二件事是喔本院那個備屋水,[],0.3,0.3
6,遙控組簡組長資材在資材組上線然後全員到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,[],0.041666666666666664,0.041666666666666664
7,呃院長室簽擬簽結的二級副主官以上長官的工作獎金,院長示簽以春節的二級副主管以上長官的工作獎金,院長示簽以春節的二級副主管以上長官的工作獎金,[],0.2608695652173913,0.2608695652173913
8,一是一月十五及十六就是明後兩天院部工安室要到,一是一月十五即時六就行民後兩天令部工安室要到,一十一月十五即十六就行民後兩天令部公安室要到,"[['是', '十', 1, 2], ['時', '十', 7, 8], ['工', '公', 17, 18]]",0.2272727272727273,0.2727272727272727
9,今天也會到那個遙導控組天齊及資材組等單位,今天也會到那個遙導控組織實及指材組簡單位,今天也會到那個遙導控組織實及指材組簡單位,[],0.2,0.2
