,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,請各單位在一月十四號中午之前提供獎勵事由回覆計管組報告完畢,請各單位在一月十四號呃中午之前提供假意是由回復計管組報告完畢,請各單位在一月十四號的中午之前提供創傳事由回復計管組報告完畢,"[['呃', '的', 10, 11], ['假', '創', 17, 18], ['意', '傳', 18, 19], ['是', '事', 19, 20]]",0.1724137931034483,0.13793103448275862
1,那重點是在固定式起重機升降機壓力容器及高壓氣體鋼瓶等,那重點是在固定死起中機新講積壓力用請及高壓請去剛評備,那重點是在固定式資電系那面的固利資以降降材電注做準備,"[['死', '式', 7, 8], ['起', '資', 8, 9], ['中', '電', 9, 10], ['機', '系', 10, 11], ['新', '那', 11, 12], ['講', '面', 12, 13], ['積', '的', 13, 14], ['壓', '固', 14, 15], ['力', '利', 15, 16], ['用', '資', 16, 17], ['請', '以', 17, 18], ['及', '降', 18, 19], ['高', '降', 19, 20], ['壓', '材', 20, 21], ['請', '電', 21, 22], ['去', '注', 22, 23], ['剛', '做', 23, 24], ['評', '準', 24, 25]]",0.4615384615384616,0.6923076923076923
2,受到管制禁止停車那請宣導同仁要配合而且要注意,受到管室盡止停冊那請宣導同仁要配合那且要注意,受管管制禁止停車那請宣導同仁要配合而且要注意,"[['到', '管', 1, 2], ['室', '制', 3, 4], ['盡', '禁', 4, 5], ['冊', '車', 7, 8], ['那', '而', 17, 18]]",0.18181818181818185,0.045454545454545456
3,一請各單位在一月二十八號前中午完成一月份的報工,第一請各單位在一月八號前中午完成業份的報工,第一請各單位在一月八號前中午完成月工的報工,"[['業', '月', 16, 17], ['份', '工', 17, 18]]",0.21739130434782608,0.21739130434782608
4,進行用戶接管的民挖作業那施工期間,進行用部呃結管林外作業那時光期間,進行院戶的結的戶的作業那這段期間,"[['用', '院', 2, 3], ['部', '戶', 3, 4], ['呃', '的', 4, 5], ['管', '的', 6, 7], ['林', '戶', 7, 8], ['外', '的', 8, 9], ['時', '這', 12, 13], ['光', '段', 13, 14]]",0.5,0.4375
5,好先行檢查那第二件事是本院那個廢污水的接,阿先行檢查那第二件事是喔本院那個備屋水,好先行檢查那第二件事是那本院那個廢污的,"[['阿', '好', 0, 1], ['喔', '那', 11, 12], ['備', '廢', 16, 17], ['屋', '污', 17, 18], ['水', '的', 18, 19]]",0.3,0.15
6,遙控組簡組長資材在資材組上線然後全員到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,[],0.041666666666666664,0.041666666666666664
7,呃院長室簽擬簽結的二級副主官以上長官的工作獎金,院長示簽以春節的二級副主管以上長官的工作獎金,院長室簽各簽院的二級副主管以上長官的工作獎金,"[['示', '室', 2, 3], ['以', '各', 4, 5], ['春', '簽', 5, 6], ['節', '院', 6, 7]]",0.2608695652173913,0.17391304347826086
8,一是一月十五及十六就是明後兩天院部工安室要到,一是一月十五即時六就行民後兩天令部工安室要到,一是一月十五及十後就是明後兩天院部工安室要到,"[['即', '及', 6, 7], ['時', '十', 7, 8], ['六', '後', 8, 9], ['行', '是', 10, 11], ['民', '明', 11, 12], ['令', '院', 15, 16]]",0.2272727272727273,0.045454545454545456
9,今天也會到那個遙導控組天齊及資材組等單位,今天也會到那個遙導控組織實及指材組簡單位,今天也會到那個遙導控組玄齊及資材組等單位,"[['織', '玄', 11, 12], ['實', '齊', 12, 13], ['指', '資', 14, 15], ['簡', '等', 17, 18]]",0.2,0.05
10,本所來執行本年度第一季的作業安全督檢,本所來執行本年度必一記的阿這業安全督件,本所來執行本年度第結季的的作業安全督檢,"[['必', '第', 8, 9], ['一', '結', 9, 10], ['記', '季', 10, 11], ['阿', '的', 12, 13], ['這', '作', 13, 14], ['件', '檢', 18, 19]]",0.2777777777777778,0.1111111111111111
11,那第二件事是那個本院的廢污水的接管工程,那第二件事謝個本院的費屋室的提管工程,那第二件事那是本院的廢務案的接管工程,"[['謝', '那', 5, 6], ['個', '是', 6, 7], ['費', '廢', 10, 11], ['屋', '務', 11, 12], ['室', '案', 12, 13], ['提', '接', 14, 15]]",0.3157894736842105,0.21052631578947367
12,及參與人員以利報工及加班的申請作業,及參與人員以利報公及加班的申請作業,及參與人員以利報工及加班的申請作業,"[['公', '工', 8, 9]]",0.05882352941176471,0.0
13,好從今天開始大概有兩三星期的時間會在,那從今天開始大概有兩三個星期時間會在,那從今天開始大概有兩三個星期時間會在,[],0.16666666666666666,0.16666666666666666
14,電子所三零七三零九還有本所三一零館,呃電子所三零七三零九還有本所三一名館,呃電子所三零七三零九還有本所三一零館,"[['名', '零', 16, 17]]",0.1176470588235294,0.058823529411764705
15,所長各位長官早工安組幾件事情提報,把所長各位長官早工安組阿幾件事性提報,呃所長各位長官早工安組有幾件事情提報,"[['把', '呃', 0, 1], ['阿', '有', 11, 12], ['性', '情', 15, 16]]",0.1875,0.125
16,承辦單位報告上次無管辦事項報告完畢,承辦單位報告上次無管辦事項報告完畢,承辦單位報告上次無管辦事項報告完畢,[],0.0,0.0
17,不要因為方便任意跨入管制區,好不要因為幫便院益畫入管制去,就不要因為方副設長進要港不區,"[['好', '就', 0, 1], ['幫', '方', 5, 6], ['便', '副', 6, 7], ['院', '設', 7, 8], ['益', '長', 8, 9], ['畫', '進', 9, 10], ['入', '要', 10, 11], ['管', '港', 11, 12], ['制', '不', 12, 13], ['去', '區', 13, 14]]",0.4615384615384616,0.6153846153846154
18,所長副所長各位長官大家好召開第二次晨會,所長副所長各位長官大家好召開第二次晨會,所長副所長各位長官大家好召開第二次晨會,[],0.0,0.0
19,承辦單位報告所長好報告所長回報人數,承辦單位報告週長好報告所長回報人數,承辦單位報告所長好報告所長回報人數,"[['週', '所', 6, 7]]",0.05882352941176471,0.0
20,好附近館舍的部份停車格會陸續的,阿附近管舍部份評的可能回陸續的,好維程館舍部份真近可能要陸續的,"[['阿', '好', 0, 1], ['附', '維', 1, 2], ['近', '程', 2, 3], ['管', '館', 3, 4], ['評', '真', 7, 8], ['的', '近', 8, 9], ['回', '要', 11, 12]]",0.5333333333333333,0.5333333333333333
21,報告所長財務組本週無提報事項,報告所長財務組本週無提報事項,報告所長財務組本週無提報事項,[],0.0,0.0
22,而遭到糾舉還有影響安全,找到九據還有影響安全,遭到證舉沒有影響安全,"[['找', '遭', 0, 1], ['九', '證', 2, 3], ['據', '舉', 3, 4], ['還', '沒', 4, 5]]",0.3636363636363637,0.2727272727272727
23,天頻吳主持人在計管組上線,天頻吳主持人在計管組上線,天頻吳主持人在計管組上線,[],0.0,0.0
24,精電組胡組長在電子戰組上線,精電組胡組長在電子戰組上線,精電組胡組長在電子戰組上線,[],0.0,0.0
25,由楊建文副主持人代理上線,由楊建文副主持人代理上線,由楊建文副主持人代理上線,[],0.0,0.0
26,那請相關單位配合那本組會在,那請相關單位配合那本組會在,那請相關單位配合那本組會在,[],0.0,0.0
27,全員到齊然後大成計畫,全元到齊然後大成計畫,全員到齊然後大成計畫,"[['元', '員', 1, 2]]",0.1,0.0
28,好請財務組黃組長,好請財務組黃組長,好請財務組黃組長,[],0.0,0.0
29,所長好今天應到三十一員,所長好今天應到三十一員,所長好今天應到三十一員,[],0.0,0.0
30,好現在請鍾計管組鍾組長,好加請中計管組鍾組長,好好謝請計管組鍾組長,"[['加', '好', 1, 2], ['請', '謝', 2, 3], ['中', '請', 3, 4]]",0.2727272727272727,0.2727272727272727
31,好好請繼續,好好請繼續,好好請繼續,[],0.0,0.0
32,通信組導控組遙控組天頻專管組天齊專管組天齊系工組等六個單位,通信組導控組遙控組陳頻專管組天齊專管組天齊是工組本六個單位,通信組導控組遙控組天頻專管組天齊專管組天齊系工組等六個單位,"[['陳', '天', 9, 10], ['是', '系', 21, 22], ['本', '等', 24, 25]]",0.10344827586206896,0.0
33,將於明天明天由楊副所長帶隊前往辦理以上是一項報告報告完畢,將於明天喔你那有楊副所長拜對喔而前忙辦理第三十一項報告報告完畢,由於明天由由會個王副所長帶同所目幫在辦理第三十一項報告報告完畢,"[['將', '由', 0, 1], ['喔', '由', 4, 5], ['你', '由', 5, 6], ['那', '會', 6, 7], ['有', '個', 7, 8], ['楊', '王', 8, 9], ['拜', '帶', 12, 13], ['對', '同', 13, 14], ['喔', '所', 14, 15], ['而', '目', 15, 16], ['前', '幫', 16, 17], ['忙', '在', 17, 18]]",0.42857142857142855,0.5
34,將簽奉副所長核定之需求規劃書含審查表送本組續辦報告完畢,將簽工副所長核定資需求規劃書安審查表重本組續辦報告完畢,將簽奉副所長核定之需求規劃書含審查表送本組續辦報告完畢,"[['工', '奉', 2, 3], ['資', '之', 8, 9], ['安', '含', 14, 15], ['重', '送', 18, 19]]",0.14814814814814814,0.0
35,呃所長還有各位長官早安品後組本周有一項報告那配合那個,呃所長還有各位長官早安龍品後組本週的一項報告喔那跟那個,呃所長還有各位長官早安喔品後組本週的一項報告喔那個那個,"[['龍', '喔', 11, 12], ['跟', '個', 24, 25]]",0.2307692307692308,0.23076923076923078
36,八年研究試製的急單提案請各個需求單位在一月三十一號之前,八年研究是製的及團提案請各需求單位在一月三十一要之前,八年研究試製的急急結案請各需求單位在一月三十一號之前,"[['是', '試', 4, 5], ['及', '急', 7, 8], ['團', '急', 8, 9], ['提', '結', 9, 10], ['要', '號', 23, 24]]",0.1851851851851852,0.1111111111111111
37,一零八年一月十五日上線將本院定額微額履約,一零八年一月十五日上線將本院定額唯有履約,一零八年一月十五日上線將本院定額微額履約,"[['唯', '微', 16, 17], ['有', '額', 17, 18]]",0.1,0.0
38,第三件是奉旨示將安排所長在一月二十三的上的下星期,第三件事是奉解是將安排所長在一月二三點上下事蹟,第三件事是奉一示將安排所長在一月二三號往下星情,"[['解', '一', 6, 7], ['是', '示', 7, 8], ['點', '號', 18, 19], ['上', '往', 19, 20], ['事', '星', 21, 22], ['蹟', '情', 22, 23]]",0.3333333333333333,0.2916666666666667
39,那最後是所長剛指示的事項已洽詢該所的工安組組長,那最後謝所長剛解示的事項一搶詢開攝的工安組組長,那最後是所長剛指示的事項已洽要該會請工安組組長,"[['謝', '是', 3, 4], ['解', '指', 7, 8], ['一', '已', 12, 13], ['搶', '洽', 13, 14], ['詢', '要', 14, 15], ['開', '該', 15, 16], ['攝', '會', 16, 17], ['的', '請', 17, 18]]",0.2608695652173913,0.13043478260869565
40,第一點本所各單位跨年度工令共有三十張分屬,第一點本所各單位跨年度工電共有三十張分屬,第一點本所各單位跨年度工令共有三十張分屬,"[['電', '令', 12, 13]]",0.05,0.0
41,所長各位副所長各位長官大家早本週無提報事項報告完畢,所長各位副所長各位長官大家早本週無提報事項報告完畢,所長各位副所長各位長官大家早本週無提報事項報告完畢,[],0.0,0.0
42,三及一月三十下下星期三兩天執行春節前的,三七月三次向想下事十三兩天執行春節前的,三一月三十下午下星是三兩天執行春節前的,"[['七', '一', 1, 2], ['次', '十', 4, 5], ['向', '下', 5, 6], ['想', '午', 6, 7], ['事', '星', 8, 9], ['十', '是', 9, 10]]",0.3684210526315789,0.15789473684210525
43,所長好各位長官大家好整規組本週一件事情提報那有關一百零,欸所長好各位長官大家好整規組本週一件事情提喔那有關一百零,欸所長好各位長官大家好整規組本週一件事情提報那有關一百零,"[['喔', '報', 21, 22]]",0.07407407407407407,0.037037037037037035
44,採購結果納入廠商評鑑管理請各單位配合報告完畢,採購結果納陸廠商評鑑管理請各單位配合報告完畢,採購結果納入廠商評鑑管理請各單位配合報告完畢,"[['陸', '入', 5, 6]]",0.045454545454545456,0.0
45,於本院研製修工作命令管理作業規定工令期程以,以本院延之行工作面軍定管理部作業規定公應期程議,於本週五執施政作命會會管理的作業規定及告商審以,"[['以', '於', 0, 1], ['院', '週', 2, 3], ['延', '五', 3, 4], ['之', '執', 4, 5], ['行', '施', 5, 6], ['工', '政', 6, 7], ['面', '命', 8, 9], ['軍', '會', 9, 10], ['定', '會', 10, 11], ['部', '的', 13, 14], ['公', '及', 18, 19], ['應', '告', 19, 20], ['期', '商', 20, 21], ['程', '審', 21, 22], ['議', '以', 22, 23]]",0.5238095238095238,0.5714285714285714
46,安全衛生巡視那屆時請相關單位配合,安全威先巡視那屆時期相關單位配合,安全衛生巡視那屆時請相關單位配合,"[['威', '衛', 2, 3], ['先', '生', 3, 4], ['期', '請', 9, 10]]",0.1875,0.0
47,他還不知道狀況那會持續查明報告完畢,他還不指導狀況那會持續查理報告完畢,他還在知道狀況那會持續查理報告完畢,"[['不', '在', 2, 3], ['指', '知', 3, 4], ['導', '道', 4, 5]]",0.17647058823529413,0.11764705882352941
48,所長各位長官好資材組兩點報告,所長各位長官好資材組兩點報告,所長各位長官好資材組兩點報告,[],0.0,0.0
49,第二點物籌處供應商組預劃在,第二點物籌處供應商組預劃在,第二點物籌處供應商組預劃在,[],0.0,0.0
50,那我們辦理那個本所的高階主管的滿意度調查,那我們辦理那個本所的高階計管的滿意度調長,那我們辦理那個本所的高階主管的滿意度調查,"[['計', '主', 12, 13], ['長', '查', 19, 20]]",0.1,0.0
51,報告所長通信組本週無提報事項報告完畢,報告所長通信組本週無提報事項報告完畢,報告所長通信組本週無提報事項報告完畢,[],0.0,0.0
52,呃資通資通電軍副指揮官的行程喔,呃資通資電軍通副及會管的行程喔,呃資通資電軍指聯副總長的行程喔,"[['通', '指', 6, 7], ['副', '聯', 7, 8], ['及', '副', 8, 9], ['會', '總', 9, 10], ['管', '長', 10, 11]]",0.3333333333333333,0.4
53,電戰組本週無提報事項報告完畢,請電戰組本週無提報事項報告完畢,請電戰組本週無提報事項報告完畢,[],0.07142857142857142,0.07142857142857142
54,不超過一年為原則不符請檢討處理,超過一年委員則不服警檢討處理,超過一名的員並會願請告討處理,"[['年', '名', 3, 4], ['委', '的', 4, 5], ['則', '並', 6, 7], ['不', '會', 7, 8], ['服', '願', 8, 9], ['警', '請', 9, 10], ['檢', '告', 10, 11]]",0.3333333333333333,0.5333333333333333
55,所長副所長各位長官大家早,所長副所長各位長官大家早,所長副所長各位長官大家早,[],0.0,0.0
56,好請品後組施組長,好請品後組施組長,好請品後組施組長,[],0.0,0.0
57,好請整規組盧組長,好請整規組盧組長,好請整規組盧組長,[],0.0,0.0
58,電戰組朱組長,電戰組朱組長,電戰組朱組長,[],0.0,0.0
59,好請資材組陳組長,好請資材組陳組長,好請資材組陳組長,[],0.0,0.0
60,你請他去問他們的所長,預起他去問他們所長,你請跑去問他們所長,"[['預', '你', 0, 1], ['起', '請', 1, 2], ['他', '跑', 2, 3]]",0.3,0.2
61,好謝謝請柯主任,好謝謝請柯主任,好謝謝請柯主任,[],0.0,0.0
62,請導控組劉組長,請導控組劉組長,請導控組劉組長,[],0.0,0.0
63,請通信組廖組長,請通信組廖組長,請通信組廖組長,[],0.0,0.0
64,報告所長水科組一件事情提報本日下午海軍官校電機系參訪萬象館,報告所長水科組一件事情提報本日下午海軍官小電機器參訪萬象館,報告所長水科組一件事情提報本日下午海軍官校電機系參訪萬象館,"[['小', '校', 20, 21], ['器', '系', 23, 24]]",0.06896551724137931,0.0
65,報告所長各位長官大家早指管組無提報事項,報告所長各位長位大家擾本指管組無提報事項,報告所長各位長官大家好呃指管組無提報事項,"[['位', '官', 7, 8], ['擾', '好', 10, 11], ['本', '呃', 11, 12]]",0.15789473684210525,0.10526315789473684
66,呃剩下人目前的人員是八十三員以上報告完畢,呃剩下呃目前的人員四八十三員以上報告完畢,呃剩下呃目前的人員是八十三員以上報告完畢,"[['四', '是', 9, 10]]",0.1,0.05
67,剩下一個四戰區四戰區現應該是這禮拜會打通,順這一個四戰區四算區確應該是這禮拜會保通,剩下一個四戰區四戰區現應該是這禮拜會打通,"[['順', '剩', 0, 1], ['這', '下', 1, 2], ['算', '戰', 8, 9], ['確', '現', 10, 11], ['保', '打', 18, 19]]",0.25,0.0
68,呃報告所長呃計算機組兩件事情提報第一件事情,呃報告所長在計算機組兩件事情提報第一件事情,呃報告所長呃計算機組兩件事情提報第一件事情,"[['在', '呃', 5, 6]]",0.047619047619047616,0.0
69,呃勇捷專案我們上禮拜呃已經把,呃勇捷專末我們上禮拜呃已經把,呃勇捷專案我們上禮拜呃已經把,"[['末', '案', 4, 5]]",0.07142857142857142,0.0
70,報告所長資安防護組本週無提報事項報告完畢,報告所長資安防護組本週無提報事項報告完畢,報告所長資安防護組本週無提報事項報告完畢,[],0.0,0.0
71,所長各位副所長及各位同仁大家早,所長各位副所長本及各位同大等,所長各位副所長以及各位同仁早,"[['本', '以', 7, 8], ['大', '仁', 12, 13], ['等', '早', 13, 14]]",0.26666666666666666,0.2
72,呃調派這個資安防護組呃本組,呃要派這個三安防護組呃本組,呃調派這個資安防護組呃本組,"[['要', '調', 1, 2], ['三', '資', 5, 6]]",0.15384615384615385,0.0
73,我們館裡面已經完成相關整備工作報告完畢,我們管裡面已經完成相關準備工作告完畢,我們館裡面已經完成相關準備工報告完畢,"[['管', '館', 2, 3], ['作', '報', 14, 15]]",0.15789473684210525,0.10526315789473684
74,呃感謝所長昨天的指導我們順利完成,呃感謝所長昨天的指導我們實順利完成,呃感謝所長昨天的指導我們會順利完成,"[['實', '會', 12, 13]]",0.0625,0.0625
75,呃本週一月十六號將有三員,呃本週一月十六號將有三員,呃本週一月十六號將有三員,[],0.0,0.0
76,報告所長無提報事項報告完畢,喔報告所長無提報事項報報告完畢,喔報告所長無提報事項好報告完畢,"[['報', '好', 10, 11]]",0.15384615384615385,0.15384615384615385
77,二戰區的也已經上線了那現在就是,二撰區的也已經算線了那現在個,二戰區的也已經上善了那現在是,"[['撰', '戰', 1, 2], ['算', '上', 7, 8], ['線', '善', 8, 9], ['個', '是', 13, 14]]",0.26666666666666666,0.13333333333333333
78,呃報告所長那個玄武計畫一件事情報告,報告所長那個玄武計畫一件事情報告,報告所長那個玄武計畫一件事情報告,[],0.05882352941176471,0.058823529411764705
79,發呃呈上呈第二件事情本組,把的整上呈第二件事情本組,發呃呈上呈第二件事情本組,"[['把', '發', 0, 1], ['的', '呃', 1, 2], ['整', '呈', 2, 3]]",0.25,0.0
80,報告所長亢龍計畫本週無提報事項,報告所長亢龍計畫本週無提報事項,報告所長亢龍計畫本週無提報事項,[],0.0,0.0
