,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,請各單位在一月十四號中午之前提供獎勵事由回覆計管組報告完畢,請各單位在一月十四號呃中午之前提供假意是由回復計管組報告完畢,請各單位在一月十四號的中午之前提供簡副事由回覆核以組報告完畢,"[['呃', '的', 10, 11], ['假', '簡', 17, 18], ['意', '副', 18, 19], ['是', '事', 19, 20], ['復', '覆', 22, 23], ['計', '核', 23, 24], ['管', '以', 24, 25]]",0.1724137931034483,0.1724137931034483
1,那重點是在固定式起重機升降機壓力容器及高壓氣體鋼瓶等,那重點是在固定死起中機新講積壓力用請及高壓請去剛評備,那目點是在今月資資的的有購的體使大大用時用電系做購啊,"[['重', '目', 1, 2], ['固', '今', 5, 6], ['定', '月', 6, 7], ['死', '資', 7, 8], ['起', '資', 8, 9], ['中', '的', 9, 10], ['機', '的', 10, 11], ['新', '有', 11, 12], ['講', '購', 12, 13], ['積', '的', 13, 14], ['壓', '體', 14, 15], ['力', '使', 15, 16], ['用', '大', 16, 17], ['請', '大', 17, 18], ['及', '用', 18, 19], ['高', '時', 19, 20], ['壓', '用', 20, 21], ['請', '電', 21, 22], ['去', '系', 22, 23], ['剛', '做', 23, 24], ['評', '購', 24, 25], ['備', '啊', 25, 26]]",0.4615384615384616,0.8461538461538461
2,受到管制禁止停車那請宣導同仁要配合而且要注意,受到管室盡止停冊那請宣導同仁要配合那且要注意,受工管制要止巡離那請宣導同仁要配合而定要注意,"[['到', '工', 1, 2], ['室', '制', 3, 4], ['盡', '要', 4, 5], ['停', '巡', 6, 7], ['冊', '離', 7, 8], ['那', '而', 17, 18], ['且', '定', 18, 19]]",0.18181818181818185,0.22727272727272727
3,一請各單位在一月二十八號前中午完成一月份的報工,第一請各單位在一月八號前中午完成業份的報工,第一請各單位在一月八號前中前完成報工的報工,"[['午', '前', 13, 14], ['業', '報', 16, 17], ['份', '工', 17, 18]]",0.21739130434782608,0.30434782608695654
4,進行用戶接管的民挖作業那施工期間,進行用部呃結管林外作業那時光期間,呃專實部作製行委製作業那春工部畢,"[['進', '呃', 0, 1], ['行', '專', 1, 2], ['用', '實', 2, 3], ['呃', '作', 4, 5], ['結', '製', 5, 6], ['管', '行', 6, 7], ['林', '委', 7, 8], ['外', '製', 8, 9], ['時', '春', 12, 13], ['光', '工', 13, 14], ['期', '部', 14, 15], ['間', '畢', 15, 16]]",0.5,0.75
5,好先行檢查那第二件事是本院那個廢污水的接,阿先行檢查那第二件事是喔本院那個備屋水,好先行檢謝那第二件事是那本關那個工防的,"[['阿', '好', 0, 1], ['查', '謝', 4, 5], ['喔', '那', 11, 12], ['院', '關', 13, 14], ['備', '工', 16, 17], ['屋', '防', 17, 18], ['水', '的', 18, 19]]",0.3,0.35
6,遙控組簡組長資材在資材組上線然後全員到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,遙控組簡組長請員在資材組上線那完全員速報告完畢,"[['資', '請', 6, 7], ['材', '員', 7, 8], ['然', '那', 14, 15], ['後', '完', 15, 16], ['到', '員', 17, 18], ['齊', '速', 18, 19]]",0.041666666666666664,0.25
7,呃院長室簽擬簽結的二級副主官以上長官的工作獎金,院長示簽以春節的二級副主管以上長官的工作獎金,院裁也授了上任前時級副軍元以上長官的工作獎金,"[['長', '裁', 1, 2], ['示', '也', 2, 3], ['簽', '授', 3, 4], ['以', '了', 4, 5], ['春', '上', 5, 6], ['節', '任', 6, 7], ['的', '前', 7, 8], ['二', '時', 8, 9], ['主', '軍', 11, 12], ['管', '元', 12, 13]]",0.2608695652173913,0.4782608695652174
8,一是一月十五及十六就是明後兩天院部工安室要到,一是一月十五即時六就行民後兩天令部工安室要到,一是一月十日日十後執是明明兩海下部長單部要到,"[['五', '日', 5, 6], ['即', '日', 6, 7], ['時', '十', 7, 8], ['六', '後', 8, 9], ['就', '執', 9, 10], ['行', '是', 10, 11], ['民', '明', 11, 12], ['後', '明', 12, 13], ['天', '海', 14, 15], ['令', '下', 15, 16], ['工', '長', 17, 18], ['安', '單', 18, 19], ['室', '部', 19, 20]]",0.2272727272727273,0.45454545454545453
9,今天也會到那個遙導控組天齊及資材組等單位,今天也會到那個遙導控組織實及指材組簡單位,今天也會到那個遙材控組資以施系材組等單位,"[['導', '材', 8, 9], ['織', '資', 11, 12], ['實', '以', 12, 13], ['及', '施', 13, 14], ['指', '系', 14, 15], ['簡', '等', 17, 18]]",0.2,0.25
10,本所來執行本年度第一季的作業安全督檢,本所來執行本年度必一記的阿這業安全督件,本所來執行購做務第須般的工作經安安督檢,"[['本', '購', 5, 6], ['年', '做', 6, 7], ['度', '務', 7, 8], ['必', '第', 8, 9], ['一', '須', 9, 10], ['記', '般', 10, 11], ['阿', '工', 12, 13], ['這', '作', 13, 14], ['業', '經', 14, 15], ['全', '安', 16, 17], ['件', '檢', 18, 19]]",0.2777777777777778,0.4444444444444444
11,那第二件事是那個本院的廢污水的接管工程,那第二件事謝個本院的費屋室的提管工程,那第二件事那是本院的廢裝案的防繕工程,"[['謝', '那', 5, 6], ['個', '是', 6, 7], ['費', '廢', 10, 11], ['屋', '裝', 11, 12], ['室', '案', 12, 13], ['提', '防', 14, 15], ['管', '繕', 15, 16]]",0.3157894736842105,0.3157894736842105
12,及參與人員以利報工及加班的申請作業,及參與人員以利報公及加班的申請作業,及參與人員以利報工及加班的認請作業,"[['公', '工', 8, 9], ['申', '認', 13, 14]]",0.05882352941176471,0.058823529411764705
13,好從今天開始大概有兩三星期的時間會在,那從今天開始大概有兩三個星期時間會在,那從今天開始大概有兩三個星期時間會在,[],0.16666666666666666,0.16666666666666666
