,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,請各單位在一月十四號中午之前提供獎勵事由回覆計管組報告完畢,請各單位在一月十四號呃中午之前提供假意是由回復計管組報告完畢,請各單位在一月十四號就中午之前提束資料事由回個新代好報告完畢,"[['呃', '就', 10, 11], ['供', '束', 16, 17], ['假', '資', 17, 18], ['意', '料', 18, 19], ['是', '事', 19, 20], ['復', '個', 22, 23], ['計', '新', 23, 24], ['管', '代', 24, 25], ['組', '好', 25, 26]]",0.1724137931034483,0.27586206896551724
1,那重點是在固定式起重機升降機壓力容器及高壓氣體鋼瓶等,那重點是在固定死起中機新講積壓力用請及高壓請去剛評備,那目點是在本週區梯行器上建的水沿大以用時料系組做調案,"[['重', '目', 1, 2], ['固', '本', 5, 6], ['定', '週', 6, 7], ['死', '區', 7, 8], ['起', '梯', 8, 9], ['中', '行', 9, 10], ['機', '器', 10, 11], ['新', '上', 11, 12], ['講', '建', 12, 13], ['積', '的', 13, 14], ['壓', '水', 14, 15], ['力', '沿', 15, 16], ['用', '大', 16, 17], ['請', '以', 17, 18], ['及', '用', 18, 19], ['高', '時', 19, 20], ['壓', '料', 20, 21], ['請', '系', 21, 22], ['去', '組', 22, 23], ['剛', '做', 23, 24], ['評', '調', 24, 25], ['備', '案', 25, 26]]",0.4615384615384616,0.8461538461538461
2,受到管制禁止停車那請宣導同仁要配合而且要注意,受到管室盡止停冊那請宣導同仁要配合那且要注意,喔計管制而求停送那請宣導同仁要配合而且要注意,"[['受', '喔', 0, 1], ['到', '計', 1, 2], ['室', '制', 3, 4], ['盡', '而', 4, 5], ['止', '求', 5, 6], ['冊', '送', 7, 8], ['那', '而', 17, 18]]",0.18181818181818185,0.22727272727272727
3,一請各單位在一月二十八號前中午完成一月份的報工,第一請各單位在一月八號前中午完成業份的報工,一一請各單位在一月二號前中午完成年報的報送,"[['第', '一', 0, 1], ['八', '二', 9, 10], ['業', '年', 16, 17], ['份', '報', 17, 18], ['工', '送', 20, 21]]",0.21739130434782608,0.30434782608695654
4,進行用戶接管的民挖作業那施工期間,進行用部呃結管林外作業那時光期間,到利後關借導的委宅付業那結工就在,"[['進', '到', 0, 1], ['行', '利', 1, 2], ['用', '後', 2, 3], ['部', '關', 3, 4], ['呃', '借', 4, 5], ['結', '導', 5, 6], ['管', '的', 6, 7], ['林', '委', 7, 8], ['外', '宅', 8, 9], ['作', '付', 9, 10], ['時', '結', 12, 13], ['光', '工', 13, 14], ['期', '就', 14, 15], ['間', '在', 15, 16]]",0.5,0.75
5,好先行檢查那第二件事是本院那個廢污水的接,阿先行檢查那第二件事是喔本院那個備屋水,好院院檢報那第二件事是阿本院那個資資的,"[['阿', '好', 0, 1], ['先', '院', 1, 2], ['行', '院', 2, 3], ['查', '報', 4, 5], ['喔', '阿', 11, 12], ['備', '資', 16, 17], ['屋', '資', 17, 18], ['水', '的', 18, 19]]",0.3,0.4
6,遙控組簡組長資材在資材組上線然後全員到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,遙控組簡組長資材在資材組上線呃全人上齊報告完畢,"[['然', '呃', 14, 15], ['後', '全', 15, 16], ['全', '人', 16, 17], ['到', '上', 17, 18]]",0.041666666666666664,0.16666666666666666
7,呃院長室簽擬簽結的二級副主官以上長官的工作獎金,院長示簽以春節的二級副主管以上長官的工作獎金,呃指要求結簽結的二導副主正以上長官的工作獎金,"[['院', '呃', 0, 1], ['長', '指', 1, 2], ['示', '要', 2, 3], ['簽', '求', 3, 4], ['以', '結', 4, 5], ['春', '簽', 5, 6], ['節', '結', 6, 7], ['級', '導', 9, 10], ['管', '正', 12, 13]]",0.2608695652173913,0.30434782608695654
8,一是一月十五及十六就是明後兩天院部工安室要到,一是一月十五即時六就行民後兩天令部工安室要到,一是一月十號及十間執是明後天司院部的安室要到,"[['五', '號', 5, 6], ['即', '及', 6, 7], ['時', '十', 7, 8], ['六', '間', 8, 9], ['就', '執', 9, 10], ['行', '是', 10, 11], ['民', '明', 11, 12], ['兩', '天', 13, 14], ['天', '司', 14, 15], ['令', '院', 15, 16], ['工', '的', 17, 18]]",0.2272727272727273,0.2727272727272727
9,今天也會到那個遙導控組天齊及資材組等單位,今天也會到那個遙導控組織實及指材組簡單位,今天也會到那個遙統組組天以及電材等等組長,"[['導', '統', 8, 9], ['控', '組', 9, 10], ['織', '天', 11, 12], ['實', '以', 12, 13], ['指', '電', 14, 15], ['組', '等', 16, 17], ['簡', '等', 17, 18], ['單', '組', 18, 19], ['位', '長', 19, 20]]",0.2,0.35
10,本所來執行本年度第一季的作業安全督檢,本所來執行本年度必一記的阿這業安全督件,本所來執行的個務第須季的作用品執全督查,"[['本', '的', 5, 6], ['年', '個', 6, 7], ['度', '務', 7, 8], ['必', '第', 8, 9], ['一', '須', 9, 10], ['記', '季', 10, 11], ['阿', '作', 12, 13], ['這', '用', 13, 14], ['業', '品', 14, 15], ['安', '執', 15, 16], ['件', '查', 18, 19]]",0.2777777777777778,0.4444444444444444
11,那第二件事是那個本院的廢污水的接管工程,那第二件事謝個本院的費屋室的提管工程,那第二件事情是本房的五資度的接離喔程,"[['謝', '情', 5, 6], ['個', '是', 6, 7], ['院', '房', 8, 9], ['費', '五', 10, 11], ['屋', '資', 11, 12], ['室', '度', 12, 13], ['提', '接', 14, 15], ['管', '離', 15, 16], ['工', '喔', 16, 17]]",0.3157894736842105,0.47368421052631576
12,及參與人員以利報工及加班的申請作業,及參與人員以利報公及加班的申請作業,及參與人員以利報工及加班的申請作業,"[['公', '工', 8, 9]]",0.05882352941176471,0.0
13,好從今天開始大概有兩三星期的時間會在,那從今天開始大概有兩三個星期時間會在,那從今天開始大概有兩三個星期時間會在,[],0.16666666666666666,0.16666666666666666
14,電子所三零七三零九還有本所三一零館,呃電子所三零七三零九還有本所三一名館,呃本控所三零七三零組還有本所三個零的,"[['電', '本', 1, 2], ['子', '控', 2, 3], ['九', '組', 9, 10], ['一', '個', 15, 16], ['名', '零', 16, 17], ['館', '的', 17, 18]]",0.1176470588235294,0.35294117647058826
15,所長各位長官早工安組幾件事情提報,把所長各位長官早工安組阿幾件事性提報,呃所長各位長官早工安組有幾件事情提報,"[['把', '呃', 0, 1], ['阿', '有', 11, 12], ['性', '情', 15, 16]]",0.1875,0.125
16,承辦單位報告上次無管辦事項報告完畢,承辦單位報告上次無管辦事項報告完畢,承辦單位報告上次無管辦事項報告完畢,[],0.0,0.0
