,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,請各單位在一月十四號中午之前提供獎勵事由回覆計管組報告完畢,請各單位在一月十四號呃中午之前提供假意是由回復計管組報告完畢,請各單位在一月十四號的中午之前提供創核事否回覆計管組報告完畢,"[['呃', '的', 10, 11], ['假', '創', 17, 18], ['意', '核', 18, 19], ['是', '事', 19, 20], ['由', '否', 20, 21], ['復', '覆', 22, 23]]",0.1724137931034483,0.13793103448275862
1,那重點是在固定式起重機升降機壓力容器及高壓氣體鋼瓶等,那重點是在固定死起中機新講積壓力用請及高壓請去剛評備,那重點是在固定式資重的那面的極的的以做履評電資做裝備,"[['死', '式', 7, 8], ['起', '資', 8, 9], ['中', '重', 9, 10], ['機', '的', 10, 11], ['新', '那', 11, 12], ['講', '面', 12, 13], ['積', '的', 13, 14], ['壓', '極', 14, 15], ['力', '的', 15, 16], ['用', '的', 16, 17], ['請', '以', 17, 18], ['及', '做', 18, 19], ['高', '履', 19, 20], ['壓', '評', 20, 21], ['請', '電', 21, 22], ['去', '資', 22, 23], ['剛', '做', 23, 24], ['評', '裝', 24, 25]]",0.4615384615384616,0.6538461538461539
2,受到管制禁止停車那請宣導同仁要配合而且要注意,受到管室盡止停冊那請宣導同仁要配合那且要注意,受到管制禁止解車那請宣導同仁要配合而個要注意,"[['室', '制', 3, 4], ['盡', '禁', 4, 5], ['停', '解', 6, 7], ['冊', '車', 7, 8], ['那', '而', 17, 18], ['且', '個', 18, 19]]",0.18181818181818185,0.09090909090909091
3,一請各單位在一月二十八號前中午完成一月份的報工,第一請各單位在一月八號前中午完成業份的報工,第一請各單位在一月八號前中午完成月工的報工,"[['業', '月', 16, 17], ['份', '工', 17, 18]]",0.21739130434782608,0.21739130434782608
4,進行用戶接管的民挖作業那施工期間,進行用部呃結管林外作業那時光期間,進行院部的接算委的作業那那段期間,"[['用', '院', 2, 3], ['呃', '的', 4, 5], ['結', '接', 5, 6], ['管', '算', 6, 7], ['林', '委', 7, 8], ['外', '的', 8, 9], ['時', '那', 12, 13], ['光', '段', 13, 14]]",0.5,0.5625
5,好先行檢查那第二件事是本院那個廢污水的接,阿先行檢查那第二件事是喔本院那個備屋水,好先行檢查那第二件事是喔本院那個廢污房,"[['阿', '好', 0, 1], ['備', '廢', 16, 17], ['屋', '污', 17, 18], ['水', '房', 18, 19]]",0.3,0.2
6,遙控組簡組長資材在資材組上線然後全員到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,[],0.041666666666666664,0.041666666666666664
7,呃院長室簽擬簽結的二級副主官以上長官的工作獎金,院長示簽以春節的二級副主管以上長官的工作獎金,院長室頒擬二關的二級副主管以上長官的工作獎金,"[['示', '室', 2, 3], ['簽', '頒', 3, 4], ['以', '擬', 4, 5], ['春', '二', 5, 6], ['節', '關', 6, 7]]",0.2608695652173913,0.21739130434782608
8,一是一月十五及十六就是明後兩天院部工安室要到,一是一月十五即時六就行民後兩天令部工安室要到,一是一月十五禮十前就是明後兩國院部工安室要到,"[['即', '禮', 6, 7], ['時', '十', 7, 8], ['六', '前', 8, 9], ['行', '是', 10, 11], ['民', '明', 11, 12], ['天', '國', 14, 15], ['令', '院', 15, 16]]",0.2272727272727273,0.13636363636363635
9,今天也會到那個遙導控組天齊及資材組等單位,今天也會到那個遙導控組織實及指材組簡單位,今天也會到那個遙導控組大齊及資材組等單位,"[['織', '大', 11, 12], ['實', '齊', 12, 13], ['指', '資', 14, 15], ['簡', '等', 17, 18]]",0.2,0.05
10,本所來執行本年度第一季的作業安全督檢,本所來執行本年度必一記的阿這業安全督件,本所來執行本年度第須項的的作個安全督檢,"[['必', '第', 8, 9], ['一', '須', 9, 10], ['記', '項', 10, 11], ['阿', '的', 12, 13], ['這', '作', 13, 14], ['業', '個', 14, 15], ['件', '檢', 18, 19]]",0.2777777777777778,0.2222222222222222
11,那第二件事是那個本院的廢污水的接管工程,那第二件事謝個本院的費屋室的提管工程,那第二件事那是本院的房務案的加管工程,"[['謝', '那', 5, 6], ['個', '是', 6, 7], ['費', '房', 10, 11], ['屋', '務', 11, 12], ['室', '案', 12, 13], ['提', '加', 14, 15]]",0.3157894736842105,0.3157894736842105
