,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,請各單位在一月十四號中午之前提供獎勵事由回覆計管組報告完畢,請各單位在一月十四號呃中午之前提供假意是由回復計管組報告完畢,請各單位在一月十四號呃中午之前提供本覆是否辦成的理由報告完畢,"[['假', '本', 17, 18], ['意', '覆', 18, 19], ['由', '否', 20, 21], ['回', '辦', 21, 22], ['復', '成', 22, 23], ['計', '的', 23, 24], ['管', '理', 24, 25], ['組', '由', 25, 26]]",0.1724137931034483,0.3448275862068966
1,那重點是在固定式起重機升降機壓力容器及高壓氣體鋼瓶等,那重點是在固定死起中機新講積壓力用請及高壓請去剛評備,那尤點是脫加模式之重要安裝氣體機容器跟高控機機做調正,"[['重', '尤', 1, 2], ['在', '脫', 4, 5], ['固', '加', 5, 6], ['定', '模', 6, 7], ['死', '式', 7, 8], ['起', '之', 8, 9], ['中', '重', 9, 10], ['機', '要', 10, 11], ['新', '安', 11, 12], ['講', '裝', 12, 13], ['積', '氣', 13, 14], ['壓', '體', 14, 15], ['力', '機', 15, 16], ['用', '容', 16, 17], ['請', '器', 17, 18], ['及', '跟', 18, 19], ['壓', '控', 20, 21], ['請', '機', 21, 22], ['去', '機', 22, 23], ['剛', '做', 23, 24], ['評', '調', 24, 25], ['備', '正', 25, 26]]",0.4615384615384616,0.6923076923076923
2,受到管制禁止停車那請宣導同仁要配合而且要注意,受到管室盡止停冊那請宣導同仁要配合那且要注意,受到管制禁止停車那請宣導同仁要配合而且要注意,"[['室', '制', 3, 4], ['盡', '禁', 4, 5], ['冊', '車', 7, 8], ['那', '而', 17, 18]]",0.18181818181818185,0.0
3,一請各單位在一月二十八號前中午完成一月份的報工,第一請各單位在一月八號前中午完成業份的報工,所一請各單位在一月八號前中午完成二報的審工,"[['第', '所', 0, 1], ['業', '二', 16, 17], ['份', '報', 17, 18], ['報', '審', 19, 20]]",0.21739130434782608,0.30434782608695654
4,進行用戶接管的民挖作業那施工期間,進行用部呃結管林外作業那時光期間,上午的那個替招決標作業那同前還有,"[['進', '上', 0, 1], ['行', '午', 1, 2], ['用', '的', 2, 3], ['部', '那', 3, 4], ['呃', '個', 4, 5], ['結', '替', 5, 6], ['管', '招', 6, 7], ['林', '決', 7, 8], ['外', '標', 8, 9], ['時', '同', 12, 13], ['光', '前', 13, 14], ['期', '還', 14, 15], ['間', '有', 15, 16]]",0.5,0.8125
5,好先行檢查那第二件事是本院那個廢污水的接,阿先行檢查那第二件事是喔本院那個備屋水,好先產檢查那第二件事是喔本所那個資年所,"[['阿', '好', 0, 1], ['行', '產', 2, 3], ['院', '所', 13, 14], ['備', '資', 16, 17], ['屋', '年', 17, 18], ['水', '所', 18, 19]]",0.3,0.4
6,遙控組簡組長資材在資材組上線然後全員到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,遙控組簡組長資材在資材組上線那後全到齊報告完畢,"[['然', '那', 14, 15]]",0.041666666666666664,0.08333333333333333
7,呃院長室簽擬簽結的二級副主官以上長官的工作獎金,院長示簽以春節的二級副主管以上長官的工作獎金,院長室簽簽及結前二級副主官以上長官的工作獎金,"[['示', '室', 2, 3], ['以', '簽', 4, 5], ['春', '及', 5, 6], ['節', '結', 6, 7], ['的', '前', 7, 8], ['管', '官', 12, 13]]",0.2608695652173913,0.17391304347826086
8,一是一月十五及十六就是明後兩天院部工安室要到,一是一月十五即時六就行民後兩天令部工安室要到,一是一月十五及十六就是明後兩天院部工安室要到,"[['即', '及', 6, 7], ['時', '十', 7, 8], ['行', '是', 10, 11], ['民', '明', 11, 12], ['令', '院', 15, 16]]",0.2272727272727273,0.0
9,今天也會到那個遙導控組天齊及資材組等單位,今天也會到那個遙導控組織實及指材組簡單位,今天也會到那個遙資控組域以及遙材組簡單長,"[['導', '資', 8, 9], ['織', '域', 11, 12], ['實', '以', 12, 13], ['指', '遙', 14, 15], ['位', '長', 19, 20]]",0.2,0.3
10,本所來執行本年度第一季的作業安全督檢,本所來執行本年度必一記的阿這業安全督件,本所來執行本年度的一零三第作業安全督查,"[['必', '的', 8, 9], ['記', '零', 10, 11], ['的', '三', 11, 12], ['阿', '第', 12, 13], ['這', '作', 13, 14], ['件', '查', 18, 19]]",0.2777777777777778,0.2777777777777778
11,那第二件事是那個本院的廢污水的接管工程,那第二件事謝個本院的費屋室的提管工程,那第二件事情是本院的消防作的安全檢程,"[['謝', '情', 5, 6], ['個', '是', 6, 7], ['費', '消', 10, 11], ['屋', '防', 11, 12], ['室', '作', 12, 13], ['提', '安', 14, 15], ['管', '全', 15, 16], ['工', '檢', 16, 17]]",0.3157894736842105,0.47368421052631576
12,及參與人員以利報工及加班的申請作業,及參與人員以利報公及加班的申請作業,及參與人員以利報工及加班的申請作業,"[['公', '工', 8, 9]]",0.05882352941176471,0.0
13,好從今天開始大概有兩三星期的時間會在,那從今天開始大概有兩三個星期時間會在,那從今天開始大概有兩三個星期一間會在,"[['時', '一', 14, 15]]",0.16666666666666666,0.2222222222222222
14,電子所三零七三零九還有本所三一零館,呃電子所三零七三零九還有本所三一名館,呃電子所三零七三零位還有本所三一零館,"[['九', '位', 9, 10], ['名', '零', 16, 17]]",0.1176470588235294,0.11764705882352941
15,所長各位長官早工安組幾件事情提報,把所長各位長官早工安組阿幾件事性提報,呃所長各位長官早工安組有幾件事情提報,"[['把', '呃', 0, 1], ['阿', '有', 11, 12], ['性', '情', 15, 16]]",0.1875,0.125
16,承辦單位報告上次無管辦事項報告完畢,承辦單位報告上次無管辦事項報告完畢,承辦單位報告上次無管辦事項報告完畢,[],0.0,0.0
17,不要因為方便任意跨入管制區,好不要因為幫便院益畫入管制去,各管組喔來幫忙把們跟入新務區,"[['好', '各', 0, 1], ['不', '管', 1, 2], ['要', '組', 2, 3], ['因', '喔', 3, 4], ['為', '來', 4, 5], ['便', '忙', 6, 7], ['院', '把', 7, 8], ['益', '們', 8, 9], ['畫', '跟', 9, 10], ['管', '新', 11, 12], ['制', '務', 12, 13], ['去', '區', 13, 14]]",0.4615384615384616,0.9230769230769231
18,所長副所長各位長官大家好召開第二次晨會,所長副所長各位長官大家好召開第二次晨會,所長副所長各位長官大家好召開第二次晨會,[],0.0,0.0
19,承辦單位報告所長好報告所長回報人數,承辦單位報告週長好報告所長回報人數,承辦單位報告所長好報告所長回報人數,"[['週', '所', 6, 7]]",0.05882352941176471,0.0
20,好附近館舍的部份停車格會陸續的,阿附近管舍部份評的可能回陸續的,跟靶部的各部近那檢目點是歐新的,"[['阿', '跟', 0, 1], ['附', '靶', 1, 2], ['近', '部', 2, 3], ['管', '的', 3, 4], ['舍', '各', 4, 5], ['份', '近', 6, 7], ['評', '那', 7, 8], ['的', '檢', 8, 9], ['可', '目', 9, 10], ['能', '點', 10, 11], ['回', '是', 11, 12], ['陸', '歐', 12, 13], ['續', '新', 13, 14]]",0.5333333333333333,0.9333333333333333
21,報告所長財務組本週無提報事項,報告所長財務組本週無提報事項,報告所長導管組本週無提報事項,"[['財', '導', 4, 5], ['務', '管', 5, 6]]",0.0,0.14285714285714285
22,而遭到糾舉還有影響安全,找到九據還有影響安全,要須時開才有時間發發,"[['找', '要', 0, 1], ['到', '須', 1, 2], ['九', '時', 2, 3], ['據', '開', 3, 4], ['還', '才', 4, 5], ['影', '時', 6, 7], ['響', '間', 7, 8], ['安', '發', 8, 9], ['全', '發', 9, 10]]",0.3636363636363637,0.9090909090909091
23,天頻吳主持人在計管組上線,天頻吳主持人在計管組上線,天頻吳主持人在計管組上線,[],0.0,0.0
24,精電組胡組長在電子戰組上線,精電組胡組長在電子戰組上線,精電組胡組長在電子戰組上線,[],0.0,0.0
25,由楊建文副主持人代理上線,由楊建文副主持人代理上線,由楊建文副主持人代理上線,[],0.0,0.0
26,那請相關單位配合那本組會在,那請相關單位配合那本組會在,那請相關單位配合那本組會在,[],0.0,0.0
27,全員到齊然後大成計畫,全元到齊然後大成計畫,全體盤管然後大成計畫,"[['元', '體', 1, 2], ['到', '盤', 2, 3], ['齊', '管', 3, 4]]",0.1,0.3
28,好請財務組黃組長,好請財務組黃組長,好請財務組黃組長,[],0.0,0.0
29,所長好今天應到三十一員,所長好今天應到三十一員,所長好今天應到三十一員,[],0.0,0.0
30,好現在請鍾計管組鍾組長,好加請中計管組鍾組長,好現請計計管組鍾組長,"[['加', '現', 1, 2], ['中', '計', 3, 4]]",0.2727272727272727,0.18181818181818182
