,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,請各單位在一月十四號中午之前提供獎勵事由回覆計管組報告完畢,請各單位在一月十四號呃中午之前提供假意是由回復計管組報告完畢,請各單位在一月十四號呃中午之前提供正次事由回覆計管組報告完畢,"[['假', '正', 10, 11], ['意', '次', 11, 12], ['是', '事', 11, 12], ['復', '覆', 14, 15]]",0.1724137931034483,0.10344827586206896
1,那重點是在固定式起重機升降機壓力容器及高壓氣體鋼瓶等,那重點是在固定死起中機新講積壓力用請及高壓請去剛評備,那重點是在所所有的那個新建的的應用以及必個的入的預題,"[['固', '所', 4, 5], ['定', '所', 5, 6], ['死', '有', 5, 6], ['起', '的', 6, 7], ['中', '那', 7, 8], ['機', '個', 8, 9], ['講', '建', 9, 10], ['積', '的', 10, 11], ['壓', '的', 10, 11], ['力', '應', 11, 12], ['請', '以', 12, 13], ['高', '必', 13, 14], ['壓', '個', 14, 15], ['請', '的', 14, 15], ['去', '入', 15, 16], ['剛', '的', 15, 16], ['評', '預', 16, 17], ['備', '題', 17, 18]]",0.4615384615384616,0.7692307692307693
2,受到管制禁止停車那請宣導同仁要配合而且要注意,受到管室盡止停冊那請宣導同仁要配合那且要注意,請指管喔或有檢導那請宣導同仁要配合而且要注意,"[['受', '請', 0, 1], ['到', '指', 1, 2], ['室', '喔', 2, 3], ['盡', '或', 2, 3], ['止', '有', 3, 4], ['停', '檢', 3, 4], ['冊', '導', 4, 5], ['那', '而', 10, 11]]",0.18181818181818185,0.3181818181818182
3,一請各單位在一月二十八號前中午完成一月份的報工,第一請各單位在一月八號前中午完成業份的報工,所一請各單位在一月八號前中午完成驗工的作業,"[['第', '所', 0, 1], ['業', '驗', 10, 11], ['份', '工', 11, 12], ['報', '作', 12, 13], ['工', '業', 13, 14]]",0.21739130434782608,0.34782608695652173
4,進行用戶接管的民挖作業那施工期間,進行用部呃結管林外作業那時光期間,呃軍備部在行個對外會約那這段期間,"[['進', '呃', 0, 1], ['行', '軍', 1, 2], ['用', '備', 1, 2], ['呃', '在', 2, 3], ['結', '行', 3, 4], ['林', '對', 3, 4], ['管', '個', 4, 5], ['作', '會', 5, 6], ['業', '約', 6, 7], ['時', '這', 7, 8], ['光', '段', 8, 9]]",0.5,0.8125
5,好先行檢查那第二件事是本院那個廢污水的接,阿先行檢查那第二件事是喔本院那個備屋水,系先行檢查那第二件事是說本院那個水訊喔,"[['阿', '系', 0, 1], ['喔', '說', 7, 8], ['備', '水', 11, 12], ['屋', '訊', 12, 13], ['水', '喔', 13, 14]]",0.3,0.3
6,遙控組簡組長資材在資材組上線然後全員到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,遙控組簡組長資材在資材組上線長全員到齊報告完畢,"[['然', '長', 7, 8], ['後', '全', 8, 9], ['全', '員', 8, 9]]",0.041666666666666664,0.08333333333333333
7,呃院長室簽擬簽結的二級副主官以上長官的工作獎金,院長示簽以春節的二級副主管以上長官的工作獎金,呃簽結簽給本院的二級副以及以上長官的工作獎核,"[['院', '呃', 0, 1], ['長', '簽', 1, 2], ['示', '結', 1, 2], ['以', '給', 2, 3], ['春', '本', 3, 4], ['節', '院', 4, 5], ['主', '以', 7, 8], ['管', '及', 8, 9], ['金', '核', 12, 13]]",0.2608695652173913,0.391304347826087
8,一是一月十五及十六就是明後兩天院部工安室要到,一是一月十五即時六就行民後兩天令部工安室要到,一是一月十日星拜六執行明後兩天院部工安室要到,"[['五', '日', 4, 5], ['即', '星', 4, 5], ['時', '拜', 5, 6], ['就', '執', 6, 7], ['民', '明', 8, 9], ['令', '院', 12, 13]]",0.2272727272727273,0.22727272727272727
9,今天也會到那個遙導控組天齊及資材組等單位,今天也會到那個遙導控組織實及指材組簡單位,今天也會到那個遙材控組務們是遙材組各單位,"[['導', '材', 7, 8], ['織', '務', 8, 9], ['實', '們', 8, 9], ['及', '是', 9, 10], ['指', '遙', 10, 11], ['簡', '各', 12, 13]]",0.2,0.3
10,本所來執行本年度第一季的作業安全督檢,本所來執行本年度必一記的阿這業安全督件,本所來執行購個務零登記的作個個人檢查那,"[['本', '購', 4, 5], ['年', '個', 5, 6], ['必', '零', 5, 6], ['度', '務', 6, 7], ['一', '登', 6, 7], ['阿', '作', 9, 10], ['這', '個', 10, 11], ['安', '人', 10, 11], ['業', '個', 11, 12], ['全', '檢', 11, 12], ['督', '查', 11, 12], ['件', '那', 12, 13]]",0.2777777777777778,0.6666666666666666
11,那第二件事是那個本院的廢污水的接管工程,那第二件事謝個本院的費屋室的提管工程,那第二件事那個本院研究中案的量火工評,"[['謝', '那', 4, 5], ['的', '研', 7, 8], ['費', '究', 8, 9], ['屋', '中', 9, 10], ['室', '案', 10, 11], ['提', '量', 10, 11], ['管', '火', 11, 12], ['程', '評', 12, 13]]",0.3157894736842105,0.42105263157894735
12,及參與人員以利報工及加班的申請作業,及參與人員以利報公及加班的申請作業,及參與人員辦利報工及加班的申請作業,"[['以', '辦', 3, 4], ['公', '工', 5, 6]]",0.05882352941176471,0.058823529411764705
13,好從今天開始大概有兩三星期的時間會在,那從今天開始大概有兩三個星期時間會在,那從今天開始大概有兩三個星期時間會在,[],0.16666666666666666,0.16666666666666666
14,電子所三零七三零九還有本所三一零館,呃電子所三零七三零九還有本所三一名館,呃電子所三有三三三組還有本所的一零館,"[['零', '有', 3, 4], ['七', '三', 4, 5], ['零', '三', 6, 7], ['九', '組', 7, 8], ['三', '的', 7, 8], ['名', '零', 8, 9]]",0.1176470588235294,0.35294117647058826
15,所長各位長官早工安組幾件事情提報,把所長各位長官早工安組阿幾件事性提報,呃所長各位長官早工安組有幾件事情提報,"[['把', '呃', 0, 1], ['阿', '有', 6, 7], ['性', '情', 9, 10]]",0.1875,0.125
16,承辦單位報告上次無管辦事項報告完畢,承辦單位報告上次無管辦事項報告完畢,承辦單位報告上次無管辦事項報告完畢,[],0.0,0.0
17,不要因為方便任意跨入管制區,好不要因為幫便院益畫入管制去,那不前正在完成各計畫的上進度,"[['好', '那', 0, 1], ['因', '正', 1, 2], ['要', '前', 2, 3], ['為', '在', 2, 3], ['幫', '完', 2, 3], ['便', '成', 3, 4], ['院', '各', 4, 5], ['益', '計', 5, 6], ['入', '的', 6, 7], ['管', '上', 6, 7], ['制', '進', 7, 8], ['去', '度', 7, 8]]",0.4615384615384616,1.0
18,所長副所長各位長官大家好召開第二次晨會,所長副所長各位長官大家好召開第二次晨會,所長副所長各位長官大家好召開第二次晨會,[],0.0,0.0
