,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,請各單位在一月十四號中午之前提供獎勵事由回覆計管組報告完畢,請各單位在一月十四號呃中午之前提供假意是由回復計管組報告完畢,請各單位在一月十四號的中午之前提供創意事由回覆計管組報告完畢,"[['呃', '的', 10, 11], ['假', '創', 17, 18], ['是', '事', 19, 20], ['復', '覆', 22, 23]]",0.1724137931034483,0.10344827586206896
1,那重點是在固定式起重機升降機壓力容器及高壓氣體鋼瓶等,那重點是在固定死起中機新講積壓力用請及高壓請去剛評備,那重點是在固定式固壓產品的有效使用以及菌案的風險準備,"[['死', '式', 7, 8], ['起', '固', 8, 9], ['中', '壓', 9, 10], ['機', '產', 10, 11], ['新', '品', 11, 12], ['講', '的', 12, 13], ['積', '有', 13, 14], ['壓', '效', 14, 15], ['力', '使', 15, 16], ['請', '以', 17, 18], ['高', '菌', 19, 20], ['壓', '案', 20, 21], ['請', '的', 21, 22], ['去', '風', 22, 23], ['剛', '險', 23, 24], ['評', '準', 24, 25]]",0.4615384615384616,0.6538461538461539
2,受到管制禁止停車那請宣導同仁要配合而且要注意,受到管室盡止停冊那請宣導同仁要配合那且要注意,受到管制禁止停車那請宣導同仁要配合而且要注意,"[['室', '制', 3, 4], ['盡', '禁', 4, 5], ['冊', '車', 7, 8], ['那', '而', 17, 18]]",0.18181818181818185,0.0
3,一請各單位在一月二十八號前中午完成一月份的報工,第一請各單位在一月八號前中午完成業份的報工,第一請各單位在一月八號前中午完成月份的報工,"[['業', '月', 16, 17]]",0.21739130434782608,0.17391304347826086
4,進行用戶接管的民挖作業那施工期間,進行用部呃結管林外作業那時光期間,進行院部的員工的大作業那春節期間,"[['用', '院', 2, 3], ['呃', '的', 4, 5], ['結', '員', 5, 6], ['管', '工', 6, 7], ['林', '的', 7, 8], ['外', '大', 8, 9], ['時', '春', 12, 13], ['光', '節', 13, 14]]",0.5,0.5625
5,好先行檢查那第二件事是本院那個廢污水的接,阿先行檢查那第二件事是喔本院那個備屋水,好先行檢查那第二件事是是本院那個廢污水,"[['阿', '好', 0, 1], ['喔', '是', 11, 12], ['備', '廢', 16, 17], ['屋', '污', 17, 18]]",0.3,0.15
6,遙控組簡組長資材在資材組上線然後全員到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,[],0.041666666666666664,0.041666666666666664
7,呃院長室簽擬簽結的二級副主官以上長官的工作獎金,院長示簽以春節的二級副主管以上長官的工作獎金,院長室核具二級的二級副主管以上長官的工作獎金,"[['示', '室', 2, 3], ['簽', '核', 3, 4], ['以', '具', 4, 5], ['春', '二', 5, 6], ['節', '級', 6, 7]]",0.2608695652173913,0.2608695652173913
8,一是一月十五及十六就是明後兩天院部工安室要到,一是一月十五即時六就行民後兩天令部工安室要到,一是一月十五禮拜六就是明後兩天院部工安室要到,"[['即', '禮', 6, 7], ['時', '拜', 7, 8], ['行', '是', 10, 11], ['民', '明', 11, 12], ['令', '院', 15, 16]]",0.2272727272727273,0.09090909090909091
9,今天也會到那個遙導控組天齊及資材組等單位,今天也會到那個遙導控組織實及指材組簡單位,今天也會到那個遙導控組大成及資材組等單位,"[['織', '大', 11, 12], ['實', '成', 12, 13], ['指', '資', 14, 15], ['簡', '等', 17, 18]]",0.2,0.1
10,本所來執行本年度第一季的作業安全督檢,本所來執行本年度必一記的阿這業安全督件,本所來執行本年度第一季的阿作業安全督檢,"[['必', '第', 8, 9], ['記', '季', 10, 11], ['這', '作', 13, 14], ['件', '檢', 18, 19]]",0.2777777777777778,0.05555555555555555
11,那第二件事是那個本院的廢污水的接管工程,那第二件事謝個本院的費屋室的提管工程,那第二件事那個本院的房務室的隔個課程,"[['謝', '那', 5, 6], ['費', '房', 10, 11], ['屋', '務', 11, 12], ['提', '隔', 14, 15], ['管', '個', 15, 16], ['工', '課', 16, 17]]",0.3157894736842105,0.3684210526315789
12,及參與人員以利報工及加班的申請作業,及參與人員以利報公及加班的申請作業,及參與人員以利報工及加班的申請作業,"[['公', '工', 8, 9]]",0.05882352941176471,0.0
13,好從今天開始大概有兩三星期的時間會在,那從今天開始大概有兩三個星期時間會在,那從今天開始大概有兩三個星期時間會在,[],0.16666666666666666,0.16666666666666666
14,電子所三零七三零九還有本所三一零館,呃電子所三零七三零九還有本所三一名館,呃電子所三零七三零九還有本所三一零館,"[['名', '零', 16, 17]]",0.1176470588235294,0.058823529411764705
15,所長各位長官早工安組幾件事情提報,把所長各位長官早工安組阿幾件事性提報,呃所長各位長官早工安組有幾件事情提報,"[['把', '呃', 0, 1], ['阿', '有', 11, 12], ['性', '情', 15, 16]]",0.1875,0.125
16,承辦單位報告上次無管辦事項報告完畢,承辦單位報告上次無管辦事項報告完畢,承辦單位報告上次無管辦事項報告完畢,[],0.0,0.0
17,不要因為方便任意跨入管制區,好不要因為幫便院益畫入管制去,他不要因為方便把人塞入管制區,"[['好', '他', 0, 1], ['幫', '方', 5, 6], ['院', '把', 7, 8], ['益', '人', 8, 9], ['畫', '塞', 9, 10], ['去', '區', 13, 14]]",0.4615384615384616,0.3076923076923077
18,所長副所長各位長官大家好召開第二次晨會,所長副所長各位長官大家好召開第二次晨會,所長副所長各位長官大家好召開第二次晨會,[],0.0,0.0
19,承辦單位報告所長好報告所長回報人數,承辦單位報告週長好報告所長回報人數,承辦單位報告所長好報告所長回報人數,"[['週', '所', 6, 7]]",0.05882352941176471,0.0
20,好附近館舍的部份停車格會陸續的,阿附近管舍部份評的可能回陸續的,好附購案的部份真的可以請陸續的,"[['阿', '好', 0, 1], ['近', '購', 2, 3], ['管', '案', 3, 4], ['舍', '的', 4, 5], ['評', '真', 7, 8], ['能', '以', 10, 11], ['回', '請', 11, 12]]",0.5333333333333333,0.5333333333333333
21,報告所長財務組本週無提報事項,報告所長財務組本週無提報事項,報告所長財務組本週無提報事項,[],0.0,0.0
22,而遭到糾舉還有影響安全,找到九據還有影響安全,遭到攔舉還有影響安全,"[['找', '遭', 0, 1], ['九', '攔', 2, 3], ['據', '舉', 3, 4]]",0.3636363636363637,0.18181818181818182
23,天頻吳主持人在計管組上線,天頻吳主持人在計管組上線,天頻吳主持人在計管組上線,[],0.0,0.0
24,精電組胡組長在電子戰組上線,精電組胡組長在電子戰組上線,精電組胡組長在電子戰組上線,[],0.0,0.0
25,由楊建文副主持人代理上線,由楊建文副主持人代理上線,由楊建文副主持人代理上線,[],0.0,0.0
26,那請相關單位配合那本組會在,那請相關單位配合那本組會在,那請相關單位配合那本組會在,[],0.0,0.0
27,全員到齊然後大成計畫,全元到齊然後大成計畫,全員到齊然後大成計畫,"[['元', '員', 1, 2]]",0.1,0.0
28,好請財務組黃組長,好請財務組黃組長,好請財務組黃組長,[],0.0,0.0
29,所長好今天應到三十一員,所長好今天應到三十一員,所長好今天應到三十一員,[],0.0,0.0
30,好現在請鍾計管組鍾組長,好加請中計管組鍾組長,好好請鍾計管組鍾組長,"[['加', '好', 1, 2], ['中', '鍾', 3, 4]]",0.2727272727272727,0.18181818181818182
31,好好請繼續,好好請繼續,好好請繼續,[],0.0,0.0
32,通信組導控組遙控組天頻專管組天齊專管組天齊系工組等六個單位,通信組導控組遙控組陳頻專管組天齊專管組天齊是工組本六個單位,通信組導控組遙控組天頻專管組天齊專管組天齊系工組等六個單位,"[['陳', '天', 9, 10], ['是', '系', 21, 22], ['本', '等', 24, 25]]",0.10344827586206896,0.0
33,將於明天明天由楊副所長帶隊前往辦理以上是一項報告報告完畢,將於明天喔你那有楊副所長拜對喔而前忙辦理第三十一項報告報告完畢,等於明天會後會請楊副所長針對會議幫忙辦理第三十一項報告報告完畢,"[['將', '等', 0, 1], ['喔', '會', 4, 5], ['你', '後', 5, 6], ['那', '會', 6, 7], ['有', '請', 7, 8], ['拜', '針', 12, 13], ['喔', '會', 14, 15], ['而', '議', 15, 16], ['前', '幫', 16, 17]]",0.42857142857142855,0.5
34,將簽奉副所長核定之需求規劃書含審查表送本組續辦報告完畢,將簽工副所長核定資需求規劃書安審查表重本組續辦報告完畢,將簽奉副所長核定之需求規劃報含審查表送本組續辦報告完畢,"[['工', '奉', 2, 3], ['資', '之', 8, 9], ['書', '報', 13, 14], ['安', '含', 14, 15], ['重', '送', 18, 19]]",0.14814814814814814,0.037037037037037035
35,呃所長還有各位長官早安品後組本周有一項報告那配合那個,呃所長還有各位長官早安龍品後組本週的一項報告喔那跟那個,呃所長還有各位長官早那個品後組本週的一項報告喔那個那個,"[['安', '那', 10, 11], ['龍', '個', 11, 12], ['跟', '個', 24, 25]]",0.2307692307692308,0.2692307692307692
36,八年研究試製的急單提案請各個需求單位在一月三十一號之前,八年研究是製的及團提案請各需求單位在一月三十一要之前,八年研究試製的急單提案請各需求單位在一月三十一號之前,"[['是', '試', 4, 5], ['及', '急', 7, 8], ['團', '單', 8, 9], ['要', '號', 23, 24]]",0.1851851851851852,0.037037037037037035
37,一零八年一月十五日上線將本院定額微額履約,一零八年一月十五日上線將本院定額唯有履約,一零八年一月十五日上線將本院定額還有履約,"[['唯', '還', 16, 17]]",0.1,0.1
38,第三件是奉旨示將安排所長在一月二十三的上的下星期,第三件事是奉解是將安排所長在一月二三點上下事蹟,第三件事是奉旨示將安排所長在一月二三號召開會議,"[['解', '旨', 6, 7], ['是', '示', 7, 8], ['點', '號', 18, 19], ['上', '召', 19, 20], ['下', '開', 20, 21], ['事', '會', 21, 22], ['蹟', '議', 22, 23]]",0.3333333333333333,0.3333333333333333
39,那最後是所長剛指示的事項已洽詢該所的工安組組長,那最後謝所長剛解示的事項一搶詢開攝的工安組組長,那最後是所長剛指示的事項已洽詢該所的工安組組長,"[['謝', '是', 3, 4], ['解', '指', 7, 8], ['一', '已', 12, 13], ['搶', '洽', 13, 14], ['開', '該', 15, 16], ['攝', '所', 16, 17]]",0.2608695652173913,0.0
40,第一點本所各單位跨年度工令共有三十張分屬,第一點本所各單位跨年度工電共有三十張分屬,第一點本所各單位跨年度工令共有三十張分屬,"[['電', '令', 12, 13]]",0.05,0.0
41,所長各位副所長各位長官大家早本週無提報事項報告完畢,所長各位副所長各位長官大家早本週無提報事項報告完畢,所長各位副所長各位長官大家早本週無提報事項報告完畢,[],0.0,0.0
42,三及一月三十下下星期三兩天執行春節前的,三七月三次向想下事十三兩天執行春節前的,於二月三十下午三月十三兩天執行春節前的,"[['三', '於', 0, 1], ['七', '二', 1, 2], ['次', '十', 4, 5], ['向', '下', 5, 6], ['想', '午', 6, 7], ['下', '三', 7, 8], ['事', '月', 8, 9]]",0.3684210526315789,0.3684210526315789
43,所長好各位長官大家好整規組本週一件事情提報那有關一百零,欸所長好各位長官大家好整規組本週一件事情提喔那有關一百零,欸所長好各位長官大家好整規組本週一件事情提報那有關一百零,"[['喔', '報', 21, 22]]",0.07407407407407407,0.037037037037037035
44,採購結果納入廠商評鑑管理請各單位配合報告完畢,採購結果納陸廠商評鑑管理請各單位配合報告完畢,採購結果納入廠商評鑑管理請各單位配合報告完畢,"[['陸', '入', 5, 6]]",0.045454545454545456,0.0
45,於本院研製修工作命令管理作業規定工令期程以,以本院延之行工作面軍定管理部作業規定公應期程議,本本年度執行工作暨安全管理及作業規定的近期會議,"[['以', '本', 0, 1], ['院', '年', 2, 3], ['延', '度', 3, 4], ['之', '執', 4, 5], ['面', '暨', 8, 9], ['軍', '安', 9, 10], ['定', '全', 10, 11], ['部', '及', 13, 14], ['公', '的', 18, 19], ['應', '近', 19, 20], ['程', '會', 21, 22]]",0.5238095238095238,0.6190476190476191
46,安全衛生巡視那屆時請相關單位配合,安全威先巡視那屆時期相關單位配合,安全衛生巡視那屆時請相關單位配合,"[['威', '衛', 2, 3], ['先', '生', 3, 4], ['期', '請', 9, 10]]",0.1875,0.0
47,他還不知道狀況那會持續查明報告完畢,他還不指導狀況那會持續查理報告完畢,他還在準備狀況那會持續查明報告完畢,"[['不', '在', 2, 3], ['指', '準', 3, 4], ['導', '備', 4, 5], ['理', '明', 12, 13]]",0.17647058823529413,0.17647058823529413
48,所長各位長官好資材組兩點報告,所長各位長官好資材組兩點報告,所長各位長官好資材組兩點報告,[],0.0,0.0
49,第二點物籌處供應商組預劃在,第二點物籌處供應商組預劃在,第二點物籌處供應商組預劃在,[],0.0,0.0
50,那我們辦理那個本所的高階主管的滿意度調查,那我們辦理那個本所的高階計管的滿意度調長,那我們辦理那個本所的高階主管的滿意度調查,"[['計', '主', 12, 13], ['長', '查', 19, 20]]",0.1,0.0
51,報告所長通信組本週無提報事項報告完畢,報告所長通信組本週無提報事項報告完畢,報告所長通信組本週無提報事項報告完畢,[],0.0,0.0
52,呃資通資通電軍副指揮官的行程喔,呃資通資電軍通副及會管的行程喔,呃資通資電軍總案組他們的行程喔,"[['通', '總', 6, 7], ['副', '案', 7, 8], ['及', '組', 8, 9], ['會', '他', 9, 10], ['管', '們', 10, 11]]",0.3333333333333333,0.4
53,電戰組本週無提報事項報告完畢,請電戰組本週無提報事項報告完畢,呃電戰組本週無提報事項報告完畢,"[['請', '呃', 0, 1]]",0.07142857142857142,0.07142857142857142
54,不超過一年為原則不符請檢討處理,超過一年委員則不服警檢討處理,超過一名旅客則不願意協助處理,"[['年', '名', 3, 4], ['委', '旅', 4, 5], ['員', '客', 5, 6], ['服', '願', 8, 9], ['警', '意', 9, 10], ['檢', '協', 10, 11], ['討', '助', 11, 12]]",0.3333333333333333,0.5333333333333333
