,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,請各單位在一月十四號中午之前提供獎勵事由回覆計管組報告完畢,請各單位在一月十四號呃中午之前提供假意是由回復計管組報告完畢,請各單位在九月十四日的中午之前提供注意，以恢復監管。報告完畢,"[['一', '九', 5, 6], ['號', '日', 9, 10], ['呃', '的', 10, 11], ['假', '注', 17, 18], ['是', '，', 19, 20], ['由', '以', 20, 21], ['回', '恢', 21, 22], ['計', '監', 23, 24], ['組', '。', 25, 26]]",0.1724137931034483,0.3793103448275862
1,那重點是在固定式起重機升降機壓力容器及高壓氣體鋼瓶等,那重點是在固定死起中機新講積壓力用請及高壓請去剛評備,但重點是不一定比起手機來更有壓力，以及高度失控的設備,"[['那', '但', 0, 1], ['在', '不', 4, 5], ['固', '一', 5, 6], ['死', '比', 7, 8], ['中', '手', 9, 10], ['新', '來', 11, 12], ['講', '更', 12, 13], ['積', '有', 13, 14], ['用', '，', 16, 17], ['請', '以', 17, 18], ['壓', '度', 20, 21], ['請', '失', 21, 22], ['去', '控', 22, 23], ['剛', '的', 23, 24], ['評', '設', 24, 25]]",0.4615384615384616,0.6153846153846154
2,受到管制禁止停車那請宣導同仁要配合而且要注意,受到管室盡止停冊那請宣導同仁要配合那且要注意,若是教會停止註冊那麼教會同樣要配合而且要注意,"[['受', '若', 0, 1], ['到', '是', 1, 2], ['管', '教', 2, 3], ['室', '會', 3, 4], ['盡', '停', 4, 5], ['停', '註', 6, 7], ['請', '麼', 9, 10], ['宣', '教', 10, 11], ['導', '會', 11, 12], ['仁', '樣', 13, 14], ['那', '而', 17, 18]]",0.18181818181818185,0.5
3,一請各單位在一月二十八號前中午完成一月份的報工,第一請各單位在一月八號前中午完成業份的報工,十一、各單位在八月二號的中午完成月份的施工,"[['第', '十', 0, 1], ['請', '、', 2, 3], ['一', '八', 7, 8], ['八', '二', 9, 10], ['前', '的', 11, 12], ['業', '月', 16, 17], ['報', '施', 19, 20]]",0.21739130434782608,0.34782608695652173
4,進行用戶接管的民挖作業那施工期間,進行用部呃結管林外作業那時光期間,在軍事部門主管對外事業的李年期。,"[['進', '在', 0, 1], ['行', '軍', 1, 2], ['用', '事', 2, 3], ['呃', '門', 4, 5], ['結', '主', 5, 6], ['林', '對', 7, 8], ['作', '事', 9, 10], ['那', '的', 11, 12], ['時', '李', 12, 13], ['光', '年', 13, 14], ['間', '。', 15, 16]]",0.5,0.875
5,好先行檢查那第二件事是本院那個廢污水的接,阿先行檢查那第二件事是喔本院那個備屋水,要進行檢查的第二件事是在醫院做準備喝。,"[['阿', '要', 0, 1], ['先', '進', 1, 2], ['那', '的', 5, 6], ['喔', '在', 11, 12], ['本', '醫', 12, 13], ['那', '做', 14, 15], ['個', '準', 15, 16], ['屋', '喝', 17, 18], ['水', '。', 18, 19]]",0.3,0.6
6,遙控組簡組長資材在資材組上線然後全員到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,監督組副組長資材組資材組上長最後的工作報告完畢,"[['遙', '監', 0, 1], ['控', '督', 1, 2], ['簡', '副', 3, 4], ['在', '組', 8, 9], ['線', '長', 13, 14], ['然', '最', 14, 15], ['全', '的', 16, 17], ['到', '工', 17, 18], ['齊', '作', 18, 19]]",0.041666666666666664,0.4166666666666667
7,呃院長室簽擬簽結的二級副主官以上長官的工作獎金,院長示簽以春節的二級副主管以上長官的工作獎金,市表彰獎金各縣的各級副主管以上長官的工作獎金,"[['院', '市', 0, 1], ['長', '表', 1, 2], ['示', '彰', 2, 3], ['簽', '獎', 3, 4], ['以', '金', 4, 5], ['春', '各', 5, 6], ['節', '縣', 6, 7], ['二', '各', 8, 9]]",0.2608695652173913,0.43478260869565216
8,一是一月十五及十六就是明後兩天院部工安室要到,一是一月十五即時六就行民後兩天令部工安室要到,就是五月十五零、六日，最後兩天全部保安都要到,"[['一', '就', 0, 1], ['一', '五', 2, 3], ['即', '零', 6, 7], ['時', '、', 7, 8], ['就', '日', 9, 10], ['行', '，', 10, 11], ['民', '最', 11, 12], ['令', '全', 15, 16], ['工', '保', 17, 18], ['室', '都', 19, 20]]",0.2272727272727273,0.45454545454545453
9,今天也會到那個遙導控組天齊及資材組等單位,今天也會到那個遙導控組織實及指材組簡單位,今天我看到那個把指材組寫成「指材組」單位,"[['也', '我', 2, 3], ['會', '看', 3, 4], ['遙', '把', 7, 8], ['導', '指', 8, 9], ['控', '材', 9, 10], ['織', '寫', 11, 12], ['實', '成', 12, 13], ['及', '「', 13, 14], ['簡', '」', 17, 18]]",0.2,0.5
10,本所來執行本年度第一季的作業安全督檢,本所來執行本年度必一記的阿這業安全督件,，用來執行本年度第一批電腦商業安全軟件,"[['本', '，', 0, 1], ['所', '用', 1, 2], ['必', '第', 8, 9], ['記', '批', 10, 11], ['的', '電', 11, 12], ['阿', '腦', 12, 13], ['這', '商', 13, 14], ['督', '軟', 17, 18]]",0.2777777777777778,0.4444444444444444
11,那第二件事是那個本院的廢污水的接管工程,那第二件事謝個本院的費屋室的提管工程,而第二件事是在醫院的房間內的血管工程,"[['那', '而', 0, 1], ['謝', '是', 5, 6], ['個', '在', 6, 7], ['本', '醫', 7, 8], ['費', '房', 10, 11], ['屋', '間', 11, 12], ['室', '內', 12, 13], ['提', '血', 14, 15]]",0.3157894736842105,0.42105263157894735
