,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,請各單位在一月十四號中午之前提供獎勵事由回覆計管組報告完畢,請各單位在一月十四號呃中午之前提供假意是由回復計管組報告完畢,請各單位在一月十四號的中午之前提供獎日事由回覆計管組報告完畢,"[['呃', '的', 10, 11], ['假', '獎', 17, 18], ['意', '日', 18, 19], ['是', '事', 19, 20], ['復', '覆', 22, 23]]",0.1724137931034483,0.06896551724137931
1,那重點是在固定式起重機升降機壓力容器及高壓氣體鋼瓶等,那重點是在固定死起中機新講積壓力用請及高壓請去剛評備,那重點是在固定資資重的有購的體使大以用採賓電資做準估,"[['死', '資', 7, 8], ['起', '資', 8, 9], ['中', '重', 9, 10], ['機', '的', 10, 11], ['新', '有', 11, 12], ['講', '購', 12, 13], ['積', '的', 13, 14], ['壓', '體', 14, 15], ['力', '使', 15, 16], ['用', '大', 16, 17], ['請', '以', 17, 18], ['及', '用', 18, 19], ['高', '採', 19, 20], ['壓', '賓', 20, 21], ['請', '電', 21, 22], ['去', '資', 22, 23], ['剛', '做', 23, 24], ['評', '準', 24, 25], ['備', '估', 25, 26]]",0.4615384615384616,0.6923076923076923
2,受到管制禁止停車那請宣導同仁要配合而且要注意,受到管室盡止停冊那請宣導同仁要配合那且要注意,受檢管制禁速管車那請宣導同仁要配合而定要注意,"[['到', '檢', 1, 2], ['室', '制', 3, 4], ['盡', '禁', 4, 5], ['止', '速', 5, 6], ['停', '管', 6, 7], ['冊', '車', 7, 8], ['那', '而', 17, 18], ['且', '定', 18, 19]]",0.18181818181818185,0.18181818181818182
3,一請各單位在一月二十八號前中午完成一月份的報工,第一請各單位在一月八號前中午完成業份的報工,第一請各單位在一月八號前中午完成月度的報工,"[['業', '月', 16, 17], ['份', '度', 17, 18]]",0.21739130434782608,0.21739130434782608
4,進行用戶接管的民挖作業那施工期間,進行用部呃結管林外作業那時光期間,進行院電的托案委製作業那春段期間,"[['用', '院', 2, 3], ['部', '電', 3, 4], ['呃', '的', 4, 5], ['結', '托', 5, 6], ['管', '案', 6, 7], ['林', '委', 7, 8], ['外', '製', 8, 9], ['時', '春', 12, 13], ['光', '段', 13, 14]]",0.5,0.5625
5,好先行檢查那第二件事是本院那個廢污水的接,阿先行檢查那第二件事是喔本院那個備屋水,好先行檢查那第二件事是那本院那個廢污的,"[['阿', '好', 0, 1], ['喔', '那', 11, 12], ['備', '廢', 16, 17], ['屋', '污', 17, 18], ['水', '的', 18, 19]]",0.3,0.15
6,遙控組簡組長資材在資材組上線然後全員到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,[],0.041666666666666664,0.041666666666666664
7,呃院長室簽擬簽結的二級副主官以上長官的工作獎金,院長示簽以春節的二級副主管以上長官的工作獎金,院長也會了兩期前二級副主管以上長官的工作獎金,"[['示', '也', 2, 3], ['簽', '會', 3, 4], ['以', '了', 4, 5], ['春', '兩', 5, 6], ['節', '期', 6, 7], ['的', '前', 7, 8]]",0.2608695652173913,0.34782608695652173
8,一是一月十五及十六就是明後兩天院部工安室要到,一是一月十五即時六就行民後兩天令部工安室要到,一是一月十號小十後執是明明兩海院部工安室要到,"[['五', '號', 5, 6], ['即', '小', 6, 7], ['時', '十', 7, 8], ['六', '後', 8, 9], ['就', '執', 9, 10], ['行', '是', 10, 11], ['民', '明', 11, 12], ['後', '明', 12, 13], ['天', '海', 14, 15], ['令', '院', 15, 16]]",0.2272727272727273,0.2727272727272727
9,今天也會到那個遙導控組天齊及資材組等單位,今天也會到那個遙導控組織實及指材組簡單位,今天也會到那個遙導控組精以施資管組等單位,"[['織', '精', 11, 12], ['實', '以', 12, 13], ['及', '施', 13, 14], ['指', '資', 14, 15], ['材', '管', 15, 16], ['簡', '等', 17, 18]]",0.2,0.2
10,本所來執行本年度第一季的作業安全督檢,本所來執行本年度必一記的阿這業安全督件,本所來執行本年度第須般的的作個安全衛檢,"[['必', '第', 8, 9], ['一', '須', 9, 10], ['記', '般', 10, 11], ['阿', '的', 12, 13], ['這', '作', 13, 14], ['業', '個', 14, 15], ['督', '衛', 17, 18], ['件', '檢', 18, 19]]",0.2777777777777778,0.2777777777777778
11,那第二件事是那個本院的廢污水的接管工程,那第二件事謝個本院的費屋室的提管工程,那第二件事那是本院的庫務島的接機工程,"[['謝', '那', 5, 6], ['個', '是', 6, 7], ['費', '庫', 10, 11], ['屋', '務', 11, 12], ['室', '島', 12, 13], ['提', '接', 14, 15], ['管', '機', 15, 16]]",0.3157894736842105,0.3157894736842105
12,及參與人員以利報工及加班的申請作業,及參與人員以利報公及加班的申請作業,及參與人員以利報工及加班的申請作業,"[['公', '工', 8, 9]]",0.05882352941176471,0.0
13,好從今天開始大概有兩三星期的時間會在,那從今天開始大概有兩三個星期時間會在,那從今天開始大概有兩三個星期時間會在,[],0.16666666666666666,0.16666666666666666
14,電子所三零七三零九還有本所三一零館,呃電子所三零七三零九還有本所三一名館,呃電子所三零七三零九還有本所三一零呃,"[['名', '零', 16, 17], ['館', '呃', 17, 18]]",0.1176470588235294,0.11764705882352941
15,所長各位長官早工安組幾件事情提報,把所長各位長官早工安組阿幾件事性提報,呃所長各位長官早工安組有幾件事情提報,"[['把', '呃', 0, 1], ['阿', '有', 11, 12], ['性', '情', 15, 16]]",0.1875,0.125
16,承辦單位報告上次無管辦事項報告完畢,承辦單位報告上次無管辦事項報告完畢,承辦單位報告上次無管辦事項報告完畢,[],0.0,0.0
17,不要因為方便任意跨入管制區,好不要因為幫便院益畫入管制去,但不要因為方副利長介到管制期,"[['好', '但', 0, 1], ['幫', '方', 5, 6], ['便', '副', 6, 7], ['院', '利', 7, 8], ['益', '長', 8, 9], ['畫', '介', 9, 10], ['入', '到', 10, 11], ['去', '期', 13, 14]]",0.4615384615384616,0.5384615384615384
18,所長副所長各位長官大家好召開第二次晨會,所長副所長各位長官大家好召開第二次晨會,所長副所長各位長官大家好召開第二次晨會,[],0.0,0.0
19,承辦單位報告所長好報告所長回報人數,承辦單位報告週長好報告所長回報人數,承辦單位報告所長好報告所長回報人數,"[['週', '所', 6, 7]]",0.05882352941176471,0.0
20,好附近館舍的部份停車格會陸續的,阿附近管舍部份評的可能回陸續的,好附近館舍部會真那可能會陸續的,"[['阿', '好', 0, 1], ['管', '館', 3, 4], ['份', '會', 6, 7], ['評', '真', 7, 8], ['的', '那', 8, 9], ['回', '會', 11, 12]]",0.5333333333333333,0.4
21,報告所長財務組本週無提報事項,報告所長財務組本週無提報事項,報告所長財務組本週無提報事項,[],0.0,0.0
22,而遭到糾舉還有影響安全,找到九據還有影響安全,爬到證點還有影響安全,"[['找', '爬', 0, 1], ['九', '證', 2, 3], ['據', '點', 3, 4]]",0.3636363636363637,0.36363636363636365
23,天頻吳主持人在計管組上線,天頻吳主持人在計管組上線,天頻吳主持人在計管組上線,[],0.0,0.0
24,精電組胡組長在電子戰組上線,精電組胡組長在電子戰組上線,精電組胡組長在電子戰組上線,[],0.0,0.0
25,由楊建文副主持人代理上線,由楊建文副主持人代理上線,由楊建文副主持人代理上線,[],0.0,0.0
26,那請相關單位配合那本組會在,那請相關單位配合那本組會在,那請相關單位配合那本組會在,[],0.0,0.0
27,全員到齊然後大成計畫,全元到齊然後大成計畫,乾員到齊然後大成計畫,"[['全', '乾', 0, 1], ['元', '員', 1, 2]]",0.1,0.1
28,好請財務組黃組長,好請財務組黃組長,好請財務組黃組長,[],0.0,0.0
29,所長好今天應到三十一員,所長好今天應到三十一員,所長好今天應到三十一員,[],0.0,0.0
30,好現在請鍾計管組鍾組長,好加請中計管組鍾組長,好請請鍾計管組鍾組長,"[['加', '請', 1, 2], ['中', '鍾', 3, 4]]",0.2727272727272727,0.18181818181818182
31,好好請繼續,好好請繼續,好好請繼續,[],0.0,0.0
32,通信組導控組遙控組天頻專管組天齊專管組天齊系工組等六個單位,通信組導控組遙控組陳頻專管組天齊專管組天齊是工組本六個單位,通信組導控組遙控組天武專管組天齊專管組天齊系工組等六個單位,"[['陳', '天', 9, 10], ['頻', '武', 10, 11], ['是', '系', 21, 22], ['本', '等', 24, 25]]",0.10344827586206896,0.034482758620689655
33,將於明天明天由楊副所長帶隊前往辦理以上是一項報告報告完畢,將於明天喔你那有楊副所長拜對喔而前忙辦理第三十一項報告報告完畢,將於明天由由們個楊副所長針訪所請幫會辦理第三十一項報告報告完畢,"[['喔', '由', 4, 5], ['你', '由', 5, 6], ['那', '們', 6, 7], ['有', '個', 7, 8], ['拜', '針', 12, 13], ['對', '訪', 13, 14], ['喔', '所', 14, 15], ['而', '請', 15, 16], ['前', '幫', 16, 17], ['忙', '會', 17, 18]]",0.42857142857142855,0.4642857142857143
34,將簽奉副所長核定之需求規劃書含審查表送本組續辦報告完畢,將簽工副所長核定資需求規劃書安審查表重本組續辦報告完畢,將簽奉副所長核定之需求規劃資含審查表送點組續辦報告完畢,"[['工', '奉', 2, 3], ['資', '之', 8, 9], ['書', '資', 13, 14], ['安', '含', 14, 15], ['重', '送', 18, 19], ['本', '點', 19, 20]]",0.14814814814814814,0.07407407407407407
35,呃所長還有各位長官早安品後組本周有一項報告那配合那個,呃所長還有各位長官早安龍品後組本週的一項報告喔那跟那個,呃所長還有各位長官早安喔品後組本週有一項報告喔那請那個,"[['龍', '喔', 11, 12], ['的', '有', 17, 18], ['跟', '請', 24, 25]]",0.2307692307692308,0.19230769230769232
