,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,請各單位在一月十四號中午之前提供獎勵事由回覆計管組報告完畢,請各單位在一月十四號呃中午之前提供假意是由回復計管組報告完畢,請請請各在在望請各計呃那請那告那報那二那那那長那告副那一中國,"[['各', '請', 1, 2], ['單', '請', 2, 3], ['位', '各', 3, 4], ['一', '在', 4, 5], ['月', '望', 5, 6], ['十', '請', 5, 6], ['四', '各', 6, 7], ['號', '計', 7, 8], ['中', '那', 7, 8], ['午', '請', 8, 9], ['之', '那', 8, 9], ['前', '告', 9, 10], ['提', '那', 9, 10], ['供', '報', 10, 11], ['假', '那', 10, 11], ['意', '二', 11, 12], ['是', '那', 11, 12], ['由', '那', 12, 13], ['回', '那', 13, 14], ['復', '長', 14, 15], ['計', '那', 14, 15], ['管', '告', 15, 16], ['報', '那', 15, 16], ['組', '副', 16, 17], ['告', '一', 16, 17], ['完', '中', 16, 17], ['畢', '國', 17, 18]]",0.1724137931034483,0.9655172413793104
1,那重點是在固定式起重機升降機壓力容器及高壓氣體鋼瓶等,那重點是在固定死起中機新講積壓力用請及高壓請去剛評備,那那如第第第案第第那關那第關那有那告報那個那是那中國,"[['重', '那', 1, 2], ['點', '如', 2, 3], ['是', '第', 2, 3], ['在', '第', 3, 4], ['固', '第', 4, 5], ['定', '案', 5, 6], ['死', '第', 5, 6], ['起', '第', 6, 7], ['中', '那', 7, 8], ['機', '關', 8, 9], ['新', '那', 8, 9], ['講', '第', 9, 10], ['積', '關', 10, 11], ['壓', '那', 10, 11], ['力', '有', 11, 12], ['用', '那', 11, 12], ['請', '告', 12, 13], ['及', '報', 12, 13], ['高', '那', 13, 14], ['壓', '個', 14, 15], ['請', '那', 14, 15], ['去', '是', 15, 16], ['剛', '那', 15, 16], ['評', '中', 16, 17], ['備', '國', 17, 18]]",0.4615384615384616,0.9615384615384616
2,受到管制禁止停車那請宣導同仁要配合而且要注意,受到管室盡止停冊那請宣導同仁要配合那且要注意,請指該請那有有有那那那一那有那有有那好那在國,"[['受', '請', 0, 1], ['到', '指', 1, 2], ['管', '該', 1, 2], ['室', '請', 2, 3], ['盡', '那', 2, 3], ['止', '有', 3, 4], ['停', '有', 3, 4], ['冊', '有', 4, 5], ['請', '那', 5, 6], ['宣', '那', 6, 7], ['導', '一', 7, 8], ['同', '那', 7, 8], ['仁', '有', 8, 9], ['要', '那', 8, 9], ['配', '有', 9, 10], ['合', '有', 10, 11], ['且', '好', 11, 12], ['要', '那', 12, 13], ['注', '在', 13, 14], ['意', '國', 14, 15]]",0.18181818181818185,0.9545454545454546
3,一請各單位在一月二十八號前中午完成一月份的報工,第一請各單位在一月八號前中午完成業份的報工,所一請請請各一一計那計那那所那所在京北中國,"[['第', '所', 0, 1], ['各', '請', 2, 3], ['單', '請', 3, 4], ['位', '各', 4, 5], ['在', '一', 4, 5], ['月', '計', 6, 7], ['八', '那', 6, 7], ['號', '計', 7, 8], ['前', '那', 7, 8], ['中', '那', 8, 9], ['午', '所', 9, 10], ['完', '那', 9, 10], ['成', '所', 10, 11], ['業', '在', 10, 11], ['份', '京', 11, 12], ['的', '北', 11, 12], ['報', '中', 12, 13], ['工', '國', 13, 14]]",0.21739130434782608,0.9130434782608695
4,進行用戶接管的民挖作業那施工期間,進行用部呃結管林外作業那時光期間,呃軍進行轉們們在進在三在在年在國,"[['進', '呃', 0, 1], ['行', '軍', 1, 2], ['用', '進', 1, 2], ['部', '行', 2, 3], ['呃', '轉', 2, 3], ['結', '們', 3, 4], ['林', '在', 3, 4], ['管', '們', 4, 5], ['外', '進', 4, 5], ['作', '在', 5, 6], ['業', '三', 6, 7], ['那', '在', 6, 7], ['時', '在', 7, 8], ['光', '年', 8, 9], ['期', '在', 8, 9], ['間', '國', 9, 10]]",0.5,1.0
5,好先行檢查那第二件事是本院那個廢污水的接,阿先行檢查那第二件事是喔本院那個備屋水,系先行那一那那各那那那那那們那那中國一,"[['阿', '系', 0, 1], ['檢', '那', 1, 2], ['查', '一', 2, 3], ['第', '那', 3, 4], ['二', '各', 4, 5], ['件', '那', 4, 5], ['事', '那', 5, 6], ['是', '那', 6, 7], ['喔', '那', 7, 8], ['本', '那', 8, 9], ['院', '們', 9, 10], ['個', '那', 10, 11], ['備', '中', 11, 12], ['屋', '國', 12, 13], ['水', '一', 13, 14]]",0.3,0.8
6,遙控組簡組長資材在資材組上線然後全員到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,遙控組通本長資個然然們組我我那有那那長那一在國,"[['簡', '通', 1, 2], ['組', '本', 2, 3], ['材', '個', 4, 5], ['在', '然', 4, 5], ['資', '然', 5, 6], ['材', '們', 6, 7], ['上', '我', 6, 7], ['線', '我', 7, 8], ['然', '那', 7, 8], ['後', '有', 8, 9], ['全', '那', 8, 9], ['到', '那', 9, 10], ['齊', '長', 10, 11], ['報', '那', 10, 11], ['告', '一', 11, 12], ['完', '在', 11, 12], ['畢', '國', 12, 13]]",0.041666666666666664,0.75
7,呃院長室簽擬簽結的二級副主官以上長官的工作獎金,院長示簽以春節的二級副主管以上長官的工作獎金,呃簽呃簽呃呃簽呃二二呃院呃呃是這國中中國在國,"[['院', '呃', 0, 1], ['長', '簽', 1, 2], ['示', '呃', 1, 2], ['以', '呃', 2, 3], ['春', '呃', 3, 4], ['節', '簽', 4, 5], ['的', '呃', 4, 5], ['級', '二', 6, 7], ['副', '呃', 6, 7], ['主', '院', 7, 8], ['以', '呃', 7, 8], ['管', '呃', 8, 9], ['上', '是', 8, 9], ['長', '這', 8, 9], ['官', '國', 9, 10], ['的', '中', 9, 10], ['工', '中', 10, 11], ['作', '國', 11, 12], ['獎', '在', 11, 12], ['金', '國', 12, 13]]",0.2608695652173913,0.8695652173913043
8,一是一月十五及十六就是明後兩天院部工安室要到,一是一月十五即時六就行民後兩天令部工安室要到,一是一是那是下禮本本三那另另另那個那們一北在,"[['月', '是', 3, 4], ['十', '那', 3, 4], ['五', '是', 4, 5], ['即', '下', 4, 5], ['時', '禮', 5, 6], ['六', '本', 5, 6], ['就', '本', 6, 7], ['行', '三', 7, 8], ['民', '那', 8, 9], ['後', '另', 9, 10], ['兩', '另', 10, 11], ['天', '另', 11, 12], ['令', '那', 12, 13], ['部', '個', 13, 14], ['工', '那', 13, 14], ['安', '們', 14, 15], ['要', '北', 14, 15], ['室', '一', 15, 16], ['到', '在', 15, 16]]",0.2272727272727273,0.8636363636363636
9,今天也會到那個遙導控組天齊及資材組等單位,今天也會到那個遙導控組織實及指材組簡單位,今天那今那那本本所所本本本那遙控第全中國,"[['也', '那', 1, 2], ['會', '今', 2, 3], ['到', '那', 3, 4], ['個', '本', 5, 6], ['遙', '本', 6, 7], ['導', '所', 7, 8], ['組', '本', 7, 8], ['控', '所', 8, 9], ['織', '本', 8, 9], ['實', '本', 8, 9], ['及', '那', 9, 10], ['指', '遙', 10, 11], ['材', '控', 11, 12], ['組', '第', 11, 12], ['簡', '全', 12, 13], ['單', '中', 13, 14], ['位', '國', 14, 15]]",0.2,0.85
