,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,請各單位在一月十四號中午之前提供獎勵事由回覆計管組報告完畢,請各單位在一月十四號呃中午之前提供假意是由回復計管組報告完畢,請各單位在一月十四號呃中午之前提供資料回覆初批的一組報告完畢,"[['假', '資', 17, 18], ['意', '料', 18, 19], ['是', '回', 19, 20], ['由', '覆', 20, 21], ['回', '初', 21, 22], ['復', '批', 22, 23], ['計', '的', 23, 24], ['管', '一', 24, 25]]",0.1724137931034483,0.3103448275862069
1,那重點是在固定式起重機升降機壓力容器及高壓氣體鋼瓶等,那重點是在固定死起中機新講積壓力用請及高壓請去剛評備,那尤其是在春段期間各單位的崗位建設所以離密電備參加的,"[['重', '尤', 1, 2], ['點', '其', 2, 3], ['固', '春', 5, 6], ['定', '段', 6, 7], ['死', '期', 7, 8], ['起', '間', 8, 9], ['中', '各', 9, 10], ['機', '單', 10, 11], ['新', '位', 11, 12], ['講', '的', 12, 13], ['積', '崗', 13, 14], ['壓', '位', 14, 15], ['力', '建', 15, 16], ['用', '設', 16, 17], ['請', '所', 17, 18], ['及', '以', 18, 19], ['高', '離', 19, 20], ['壓', '密', 20, 21], ['請', '電', 21, 22], ['去', '備', 22, 23], ['剛', '參', 23, 24], ['評', '加', 24, 25], ['備', '的', 25, 26]]",0.4615384615384616,0.8846153846153846
2,受到管制禁止停車那請宣導同仁要配合而且要注意,受到管室盡止停冊那請宣導同仁要配合那且要注意,受成管制外止停練那請宣導同仁要配合那也要注意,"[['到', '成', 1, 2], ['室', '制', 3, 4], ['盡', '外', 4, 5], ['冊', '練', 7, 8], ['且', '也', 18, 19]]",0.18181818181818185,0.22727272727272727
3,一請各單位在一月二十八號前中午完成一月份的報工,第一請各單位在一月八號前中午完成業份的報工,所以請各單位在一月八號前中午完成一工的報工,"[['第', '所', 0, 1], ['一', '以', 1, 2], ['業', '一', 16, 17], ['份', '工', 17, 18]]",0.21739130434782608,0.2608695652173913
4,進行用戶接管的民挖作業那施工期間,進行用部呃結管林外作業那時光期間,實行這個正證認證的作業那整個部份,"[['進', '實', 0, 1], ['用', '這', 2, 3], ['部', '個', 3, 4], ['呃', '正', 4, 5], ['結', '證', 5, 6], ['管', '認', 6, 7], ['林', '證', 7, 8], ['外', '的', 8, 9], ['時', '整', 12, 13], ['光', '個', 13, 14], ['期', '部', 14, 15], ['間', '份', 15, 16]]",0.5,0.75
5,好先行檢查那第二件事是本院那個廢污水的接,阿先行檢查那第二件事是喔本院那個備屋水,好先行檢查那第二件事是那本們那個營管處,"[['阿', '好', 0, 1], ['喔', '那', 11, 12], ['院', '們', 13, 14], ['備', '營', 16, 17], ['屋', '管', 17, 18], ['水', '處', 18, 19]]",0.3,0.35
6,遙控組簡組長資材在資材組上線然後全員到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,[],0.041666666666666664,0.041666666666666664
7,呃院長室簽擬簽結的二級副主官以上長官的工作獎金,院長示簽以春節的二級副主管以上長官的工作獎金,院長室簽擬簽結的二級副主官以上長官的工作獎金,"[['示', '室', 2, 3], ['以', '擬', 4, 5], ['春', '簽', 5, 6], ['節', '結', 6, 7], ['管', '官', 12, 13]]",0.2608695652173913,0.043478260869565216
8,一是一月十五及十六就是明後兩天院部工安室要到,一是一月十五即時六就行民後兩天令部工安室要到,一是一月十九號喔也就是明後兩天的火工公程要到,"[['五', '九', 5, 6], ['即', '號', 6, 7], ['時', '喔', 7, 8], ['六', '也', 8, 9], ['行', '是', 10, 11], ['民', '明', 11, 12], ['令', '的', 15, 16], ['部', '火', 16, 17], ['安', '公', 18, 19], ['室', '程', 19, 20]]",0.2272727272727273,0.36363636363636365
9,今天也會到那個遙導控組天齊及資材組等單位,今天也會到那個遙導控組織實及指材組簡單位,今天也會到那個遙材控組組長及資材組簡單長,"[['導', '材', 8, 9], ['織', '組', 11, 12], ['實', '長', 12, 13], ['指', '資', 14, 15], ['位', '長', 19, 20]]",0.2,0.25
