,Truth,ASR_Predict,asr_acc,asr_wer,right_word
0,軍職跟公教不一樣的地方是上校平均退伍年齡大概五十歲,之直登公找不一樣的地方訴上一小平晨退股內領的的十水,0.44,0.6,"['公', '不一樣的地方', '上', '平', '退', '十', '']"
1,退輔會的努力希望能夠堅持將這一些差異性,會的努力失望能過之子成自己師差與事,0.368421052631579,0.631578947368421,"['會的努力', '望能', '差', '']"
2,那麼公務人員教師退休可以到六十五歲,所們對顧委也走思最收可到任損事,0.117647058823529,0.882352941176471,"['可', '到', '']"
3,那麼也肯定剛才幾位處長回答的,所麼也肯定幹在只未促造回答的,0.5,0.5,"['麼也肯定', '回答的', '']"
4,念大學大概都是他在當公教人員的時候念大學,並大學大度藏在等公交為熱練打,0.25,0.75,"['大學大', '在', '公', '']"
5,退役上校教補費的問題,最預上小就費毒題,0.3,0.7,"['上', '費', '題', '']"
6,那麼退役上校平均年齡五十歲,對於作著平均零五十歲,0.384615384615385,0.615384615384615,"['平均', '五十歲', '']"
7,防疫措施非常的嚴峻,防疫出了非常的嚴峻,0.777777777777778,0.222222222222222,"['防疫', '非常的嚴峻', '']"
8,所以多數退役上校的子女,是多數最一上小的子女,0.545454545454545,0.454545454545455,"['多數', '上', '的子女', '']"
9,首先肯定退輔會,首先肯定退不會,0.857142857142857,0.142857142857143,"['首先肯定退', '會', '']"
10,退輔會各級榮民醫院,不會各級組名一月,0.333333333333333,0.666666666666667,"['會各級', '']"
11,退輔會馮主委李副主委,最股會紅委比副作位,0.3,0.7,"['會', '委', '副', '']"
12,那退下來還有沒有人在念大學有,退下一問拿建立的用,0.142857142857143,0.857142857142857,"['退下', '']"
13,那麼第二個我要問的現在的,第種來問的現在的,0.5,0.5,"['第', '問的現在的', '']"
14,還在讀高中或者大學,還在讀高動獲的大學,0.666666666666667,0.333333333333333,"['還在讀高', '大學', '']"
15,所以他有沒有享受這個福利有,是在日想制的福有,0.153846153846154,0.846153846153846,"['福', '有', '']"
16,軍人大概都晚婚,春輪打的東莞會,0,1,['']
17,大概都在高中大學,下載都在工準發學,0.375,0.625,"['都在', '學', '']"
18,爭取應有的權益,爭取應有的權益,1,0,"['爭取應有的權益', '']"
19,為退役的上校,所最意的想效,0.166666666666667,0.833333333333333,"['的', '']"
20,所以幾乎沒有孩子,是知乎沒有孩子,0.625,0.375,"['乎沒有孩子', '']"
21,呂玉林委員所提的,立玲委員所提的,0.625,0.375,"['委員所提的', '']"
22,從這個角度這是不公平的,誠市的角度就不品道,0.272727272727273,0.727272727272727,"['角度', '不', '']"
23,我在這裡做一點補充,所在這裡做的村,0.444444444444444,0.555555555555556,"['在這裡做', '']"
24,謝謝副主委的說明,視覺工作的順女,0.125,0.875,"['的', '']"
25,都能夠全力支持,有不全地支詞,0.285714285714286,0.714285714285714,"['全', '支', '']"
26,向上級去反應,小小局取法應,0.166666666666667,0.833333333333333,"['應', '']"
27,以及各級榮家,許知各級總教,0.333333333333333,0.666666666666667,"['各級', '']"
28,是讓公教人員,是公正佐夜,0.333333333333333,0.666666666666667,"['是', '公', '']"
29,就像委員講的,這項穩講的,0.333333333333333,0.666666666666667,"['講的', '']"
30,是我跟委員補充,是我根人,0.285714285714286,0.714285714285714,"['是我', '']"
31,所以我相信,出我修息,0.2,0.8,"['我', '']"
32,那個我們對於那個這這這個需求我們是用以緩濟急的方式,的我們對不個此次的系統我們稅動一務繼續的方式,0.36,0.64,"['我們對', '個', '我們', '的方式', '']"
33,跟跟委員報告我們主委非常關心他每個禮拜禮拜,好跟革更為報告我們就的觀設他每這禮拜沒白理,0.428571428571429,0.666666666666667,"['跟', '報告我們', '他每', '禮拜', '']"
34,以緩濟急支應,以及法繼起好指運喔,0.166666666666667,1.33333333333333,"['以', '']"
35,這個審議的時候沒有將你們納入,這個損議的手沒有講引不勞路,0.428571428571429,0.571428571428571,"['這個', '議的', '沒有', '']"
36,一億七千一萬換句話說,一七次一萬的換熱水,0.5,0.6,"['一', '七', '一萬', '換', '']"
37,那剛剛講我們喔我們這個,所剛講我們單等不這個,0.545454545454545,0.454545454545455,"['剛講我們', '這個', '']"
38,防治紓困振新條例裡面,房住書穩正式條例裡面,0.4,0.6,"['條例裡面', '']"
39,退輔會一毛錢都沒有編,最不會一謀全不沒有邊,0.4,0.6,"['會一', '沒有', '']"
40,六千九百萬元,法律肚子九百的辦你,0.333333333333333,1.16666666666667,"['九百', '']"
41,我們認為從我們的公預算,什麼次為成本的工益上,0.181818181818182,0.818181818181818,"['為', '的', '']"
42,都有主持相關的會議啦,主持項本的會議,0.5,0.5,"['主持', '的會議', '']"
43,所以這也是我們不了解,最這訴我們不了解,0.6,0.4,"['這', '我們不了解', '']"
44,所做的各種準備措施,所做的各種準備措施,1,0,"['所做的各種準備措施', '']"
45,各級榮民醫院,訴及能民一類,0.166666666666667,0.833333333333333,"['民', '']"
46,是到底情形是怎麼樣,是導地情緒是怎要,0.444444444444444,0.555555555555556,"['是', '情', '是怎', '']"
47,我相信花了不少預算,所相信化了不少預算,0.777777777777778,0.222222222222222,"['相信', '了不少預算', '']"
48,退輔會編列的預算,推不會編變的預算,0.625,0.375,"['會編', '的預算', '']"
49,榮民要做基金會,中敏第救期決,0,1,['']
50,如果你們提出來了,蘋果女的提出來了,0.625,0.375,"['果', '提出來了', '']"
51,以及榮家的需求,以及準家的需求,0.857142857142857,0.142857142857143,"['以及', '家的需求', '']"
52,榮民榮譽基金會的,功的幾監會,0.125,0.875,"['的', '']"
53,用這一種方式,最總方式,0.333333333333333,0.666666666666667,"['方式', '']"
54,公預算的部分是兩億六,登省故事兩一個,0.1,0.9,"['兩', '']"
55,或者提出需求,就著提出吃誰,0.333333333333333,0.666666666666667,"['提出', '']"
56,是不是能符合,是不是能死責,0.666666666666667,0.333333333333333,"['是不是能', '']"
57,是值得堪慮的,是資的產率的,0.333333333333333,0.666666666666667,"['是', '的', '']"
58,為甚麼退輔會,所熊麼對同罪,0.166666666666667,0.833333333333333,"['麼', '']"
59,沒有提出需求,所有提出市程,0.5,0.5,"['有提出', '']"
60,那麼我再請教一下,有在請教要,0.25,0.75,"['請教', '']"
61,但是這次的,是自這次的,0.8,0.4,"['是', '這次的', '']"
62,而行政院沒有給,所行度沒給,0.428571428571429,0.571428571428571,"['行', '沒', '給', '']"
63,來來來去支應,來了的去之意,0.333333333333333,0.666666666666667,"['來', '去', '']"
64,如果你們可以爭取到為什麼不去爭取能夠對,所果你們可以爭取道為什麼不只爭取能不隊,0.736842105263158,0.263157894736842,"['果你們可以爭取', '為什麼不', '爭取能', '']"
65,輔導會去年編制今年的預算,輔導會去年子知零的預算,0.666666666666667,0.333333333333333,"['輔導會去年', '的預算', '']"
66,年初給付一定用現有的榮民,因穩你自求地種是民的中明,0.083333333333333,0.916666666666667,"['民', '']"
67,負擔的防疫責任相當的重大,負擔著法異則日商當的重大,0.5,0.5,"['負擔', '當的重大', '']"
68,這一點我請副主委回去跟主委報告,這給握情副組為不去個組意到,0.2,0.8,"['這', '副', '去', '']"
69,比如說是榮民的月月退,百敏的一屆機退,0.2,0.9,"['的', '退', '']"
70,我們從這邊移過來其實在業務其他的,本針這的敵過取在救其他的,0.375,0.625,"['這', '過', '在', '其他的', '']"
71,那你的以緩濟急的這個科子目項目,你的一緩計值的這個科技目項目,0.666666666666667,0.333333333333333,"['你的', '緩', '的這個科', '目項目', '']"
72,如果年度那裡還有急迫需求,所本別度力冕還有極各度需求,0.416666666666667,0.666666666666667,"['度', '還有', '需求', '']"
73,所以這一部份我們一向都會有一個,是這動我不的項的會有個,0.333333333333333,0.666666666666667,"['這', '我', '會有', '個', '']"
74,各級防疫做出更好的貢獻,日及防意做出度好的貢獻,0.636363636363636,0.363636363636364,"['防', '做出', '好的貢獻', '']"
75,這樣子合起來四億,建走合諧私語,0.125,0.875,"['合', '']"
76,可是到年底的時候,實失到年底的生,0.5,0.5,"['到年底的', '']"
77,應該都有他的科子目,應內都有他的科指密,0.666666666666667,0.333333333333333,"['應', '都有他的科', '']"
78,去爭取因為退輔會,去爭取因為最不會,0.75,0.25,"['去爭取因為', '會', '']"
79,尤其是各級榮民醫院,取是六級總頂一月,0.222222222222222,0.777777777777778,"['是', '級', '']"
80,只要是給付的部分,只要是起訴的部分好,0.75,0.375,"['只要是', '的部分', '']"
81,我們的業務其實是不受影響的,整的第五其是不受影響的,0.615384615384615,0.384615384615385,"['的', '其', '是不受影響的', '']"
82,做了很多事我都肯定,做很多是和都肯定,0.666666666666667,0.333333333333333,"['做', '很多', '都肯定', '']"
83,而不是吃自己的預算,不計吃自己的預算,0.777777777777778,0.222222222222222,"['不', '吃自己的預算', '']"
84,跟從我們的基金預算,全文的極聚地山,0.111111111111111,0.888888888888889,"['的', '']"
