,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,請各單位在一月十四號中午之前提供獎勵事由回覆計管組報告完畢,請各單位在一月十四號呃中午之前提供假意是由回復計管組報告完畢,請各單位在一月十四號就中午之前提供注由事由回復計管組報告完畢,"[['呃', '就', 10, 11], ['假', '注', 17, 18], ['意', '由', 18, 19], ['是', '事', 19, 20]]",0.1724137931034483,0.13793103448275862
1,那重點是在固定式起重機升降機壓力容器及高壓氣體鋼瓶等,那重點是在固定死起中機新講積壓力用請及高壓請去剛評備,那重點是在固定區梯重有上的的壓沿大以用時長組提做準估,"[['死', '區', 7, 8], ['起', '梯', 8, 9], ['中', '重', 9, 10], ['機', '有', 10, 11], ['新', '上', 11, 12], ['講', '的', 12, 13], ['積', '的', 13, 14], ['力', '沿', 15, 16], ['用', '大', 16, 17], ['請', '以', 17, 18], ['及', '用', 18, 19], ['高', '時', 19, 20], ['壓', '長', 20, 21], ['請', '組', 21, 22], ['去', '提', 22, 23], ['剛', '做', 23, 24], ['評', '準', 24, 25], ['備', '估', 25, 26]]",0.4615384615384616,0.6538461538461539
2,受到管制禁止停車那請宣導同仁要配合而且要注意,受到管室盡止停冊那請宣導同仁要配合那且要注意,喔主警制禁量停車那請宣導同仁要配合而且要注意,"[['受', '喔', 0, 1], ['到', '主', 1, 2], ['管', '警', 2, 3], ['室', '制', 3, 4], ['盡', '禁', 4, 5], ['止', '量', 5, 6], ['冊', '車', 7, 8], ['那', '而', 17, 18]]",0.18181818181818185,0.18181818181818182
3,一請各單位在一月二十八號前中午完成一月份的報工,第一請各單位在一月八號前中午完成業份的報工,第一請各單位在一月五號前中午完成月務的報工,"[['八', '五', 9, 10], ['業', '月', 16, 17], ['份', '務', 17, 18]]",0.21739130434782608,0.2608695652173913
4,進行用戶接管的民挖作業那施工期間,進行用部呃結管林外作業那時光期間,進行院戶的接的委宅作業那春段期間,"[['用', '院', 2, 3], ['部', '戶', 3, 4], ['呃', '的', 4, 5], ['結', '接', 5, 6], ['管', '的', 6, 7], ['林', '委', 7, 8], ['外', '宅', 8, 9], ['時', '春', 12, 13], ['光', '段', 13, 14]]",0.5,0.4375
5,好先行檢查那第二件事是本院那個廢污水的接,阿先行檢查那第二件事是喔本院那個備屋水,好先行檢查那第二件事是阿本院那個廢用專,"[['阿', '好', 0, 1], ['喔', '阿', 11, 12], ['備', '廢', 16, 17], ['屋', '用', 17, 18], ['水', '專', 18, 19]]",0.3,0.25
6,遙控組簡組長資材在資材組上線然後全員到齊報告完畢,遙控組簡組長資材在資材組上線然後全到齊報告完畢,遙控組簡組長資材在資材組上線然後人到齊報告完畢,"[['全', '人', 16, 17]]",0.041666666666666664,0.08333333333333333
7,呃院長室簽擬簽結的二級副主官以上長官的工作獎金,院長示簽以春節的二級副主管以上長官的工作獎金,院要室求結二結的二級副主管以上長官的工作獎金,"[['長', '要', 1, 2], ['示', '室', 2, 3], ['簽', '求', 3, 4], ['以', '結', 4, 5], ['春', '二', 5, 6], ['節', '結', 6, 7]]",0.2608695652173913,0.2608695652173913
8,一是一月十五及十六就是明後兩天院部工安室要到,一是一月十五即時六就行民後兩天令部工安室要到,一是一月十五星十間執是明後天司院部工安室要到,"[['即', '星', 6, 7], ['時', '十', 7, 8], ['六', '間', 8, 9], ['就', '執', 9, 10], ['行', '是', 10, 11], ['民', '明', 11, 12], ['兩', '天', 13, 14], ['天', '司', 14, 15], ['令', '院', 15, 16]]",0.2272727272727273,0.22727272727272727
9,今天也會到那個遙導控組天齊及資材組等單位,今天也會到那個遙導控組織實及指材組簡單位,今天也會到那個遙導控組天以及資管等等單位,"[['織', '天', 11, 12], ['實', '以', 12, 13], ['指', '資', 14, 15], ['材', '管', 15, 16], ['組', '等', 16, 17], ['簡', '等', 17, 18]]",0.2,0.15
